SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
dfb,CA,-1378963.8779,1180940.4511,12,0,2,-1,-2,4,-4,0,3,-3,0,0,0,0,1,0,0,0,-1,0,1,1
dfb,CA,-1328963.8779,1180940.4511,4,0,0,0,0,0,0,0,2,15,-16,-1,0,2,-2,0,0,0,0,0,0,0
dfb,CA,-1403963.8779,1205940.4511,9,0,3,-3,0,0,2,-2,2,8,-9,-1,0,0,0,0,0,0,1,2,0,2
dfb,CA,-1378963.8779,1205940.4511,11,0,7,-4,-3,11,-11,0,11,-11,0,0,0,0,1,-1,1,1,0,6,-6,-1
dfb,CA,-1353963.8779,1205940.4511,6,0,0,0,5,-5,2,-1,-1,0,0,0,0,0,1,-1,0,1,1,-2,0,0
dfb,CA,-1553963.8779,1230940.4511,10,4,-3,-1,0,0,0,0,0,0,0,0,0,1,0,4,-4,1,-2,2,6,-3
dfb,CA,-1528963.8779,1230940.4511,9,1,-1,0,0,0,0,0,0,0,0,0,0,3,3,3,-7,9,-11,2,0,-1
dfb,CA,-1478963.8779,1230940.4511,11,6,-3,-2,-1,3,-3,0,0,1,-1,0,0,0,2,1,-3,0,1,0,0,0
dfb,CA,-1453963.8779,1230940.4511,5,1,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dfb,CA,-1428963.8779,1230940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-2
dfb,CA,-1403963.8779,1230940.4511,3,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,2,-2,1,-1,0
dfb,CA,-1378963.8779,1230940.4511,7,0,1,-1,0,0,2,-2,0,0,0,0,0,0,2,-2,0,1,8,1,-7,-3
dfb,CA,-1353963.8779,1230940.4511,3,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,1,-1,1
dfb,CA,-1328963.8779,1230940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-2
dfb,CA,-1628963.8779,1255940.4511,4,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,3,-3,2,9
dfb,CA,-1603963.8779,1255940.4511,10,4,-4,1,1,-2,6,-6,0,0,0,0,0,0,0,0,2,0,6,-3,-2,3
dfb,CA,-1578963.8779,1255940.4511,9,7,-7,4,0,-4,4,-4,0,1,0,-1,0,0,0,0,0,1,0,-1,0,4
dfb,CA,-1553963.8779,1255940.4511,8,0,0,1,-1,0,0,0,2,-1,-1,0,0,0,1,-1,0,1,-1,3,5,-2
dfb,CA,-1528963.8779,1255940.4511,7,2,-2,0,0,0,0,0,0,1,-1,0,0,0,0,2,-2,2,-2,5,8,0
dfb,CA,-1478963.8779,1255940.4511,7,10,-8,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,7,-5,1
dfb,CA,-1428963.8779,1255940.4511,4,0,0,0,0,0,2,-2,0,0,0,0,1,-1,0,0,0,5,-5,2,-2,0
dfb,CA,-1403963.8779,1255940.4511,9,2,-1,-1,2,-1,0,-1,0,0,0,0,0,0,0,0,2,2,-4,1,2,-3
dfb,CA,-1378963.8779,1255940.4511,8,4,3,-7,1,-1,10,-10,0,0,0,0,0,0,0,0,1,0,-1,1,0,-1
dfb,CA,-1328963.8779,1255940.4511,3,0,0,2,-2,0,0,0,0,0,0,0,6,-6,0,0,0,0,0,0,1,-1
dfb,CA,-1278963.8779,1255940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3
dfb,CA,-1653963.8779,1280940.4511,11,1,3,-5,0,0,0,0,1,3,-4,0,0,0,0,0,1,0,1,3,-1,0
dfb,CA,-1628963.8779,1280940.4511,14,0,0,0,0,0,23,-15,-1,24,-30,0,-1,0,1,0,6,2,2,-8,14,2
dfb,CA,-1603963.8779,1280940.4511,7,1,-1,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,1,1,-1,5,-1
dfb,CA,-1578963.8779,1280940.4511,4,6,-6,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,7,-6,-1
dfb,CA,-1553963.8779,1280940.4511,7,0,2,-2,3,-3,0,0,0,0,0,0,0,0,0,0,0,1,6,-5,0,-1
dfb,CA,-1528963.8779,1280940.4511,8,4,-3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-6,2,-2,11
dfb,CA,-1503963.8779,1280940.4511,10,11,-7,-3,-1,0,0,0,2,-2,0,0,0,0,0,7,-7,1,1,6,6,7
dfb,CA,-1478963.8779,1280940.4511,5,11,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
dfb,CA,-1403963.8779,1280940.4511,9,-2,10,-13,-1,0,1,0,-1,0,1,-1,1,-1,0,0,0,0,0,0,0,5
dfb,CA,-1378963.8779,1280940.4511,8,6,1,-8,0,3,-2,-1,0,0,0,0,0,0,0,0,1,1,-2,0,1,-1
dfb,CA,-1353963.8779,1280940.4511,3,0,0,0,0,0,0,0,0,2,-2,1,-1,0,1,-1,0,0,0,0,0,0
dfb,CA,-1328963.8779,1280940.4511,11,1,-1,3,8,-11,0,0,0,0,2,2,0,-1,-2,0,-1,4,-4,0,1,-1
dfb,CA,-1278963.8779,1280940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,-4
dfb,CA,-1728963.8779,1305940.4511,12,0,0,0,0,1,-1,0,0,0,2,0,-2,13,-11,0,0,-1,3,-3,3,-3
dfb,CA,-1703963.8779,1305940.4511,11,0,2,1,-3,0,0,1,-1,4,-4,0,0,0,1,2,0,0,-3,3,2,-4
dfb,CA,-1678963.8779,1305940.4511,7,1,-1,1,-1,0,0,0,0,1,-1,0,0,0,1,-1,3,1,-3,-1,0,0
dfb,CA,-1653963.8779,1305940.4511,10,-1,0,1,2,-3,1,-1,2,-2,0,0,0,0,0,0,1,0,2,-3,2,0
dfb,CA,-1628963.8779,1305940.4511,9,1,-1,0,0,0,6,-5,0,-1,0,0,0,0,0,1,-1,2,-2,1,0,6
dfb,CA,-1603963.8779,1305940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0
dfb,CA,-1578963.8779,1305940.4511,8,9,-9,0,0,0,0,1,-1,0,0,0,0,0,1,2,-3,1,1,0,-2,2
dfb,CA,-1553963.8779,1305940.4511,6,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,-2,-6,6
dfb,CA,-1528963.8779,1305940.4511,8,5,-2,4,-6,-1,0,0,0,0,0,0,0,0,0,0,0,5,-5,10,-3,10
dfb,CA,-1478963.8779,1305940.4511,8,9,-8,-4,0,0,0,10,-10,3,-3,0,1,-1,0,0,0,0,0,0,1,0
dfb,CA,-1403963.8779,1305940.4511,4,2,6,-8,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,1
