SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
dftm,CA,-1678963.8779,1280940.4511,3,0,0,0,0,0,0,0,0,2,6,-8,0,0,0,0,0,0,0,0,4,-4
dftm,CA,-1678963.8779,1305940.4511,3,0,0,0,0,0,0,0,0,0,39,-39,6,-6,0,0,0,0,0,0,33,-33
dftm,CA,-1703963.8779,1330940.4511,3,0,0,0,0,0,0,0,0,1,28,-29,3,-3,0,0,0,0,0,0,0,0
dftm,CA,-1678963.8779,1330940.4511,3,0,0,0,0,0,0,0,0,0,18,-11,11,-18,0,0,0,0,0,0,0,0
dftm,CA,-1678963.8779,1380940.4511,3,0,0,0,0,0,0,0,0,0,8,-4,-1,-3,0,0,0,0,0,0,0,0
dftm,CA,-1653963.8779,1380940.4511,4,0,0,0,0,0,0,0,0,0,8,-6,0,-2,0,0,0,0,0,0,1,-1
dftm,CA,-1628963.8779,1380940.4511,4,0,0,0,0,0,0,0,0,0,8,-6,1,-3,0,0,0,0,0,0,0,1
dftm,CA,-1628963.8779,1405940.4511,5,0,0,0,0,0,2,-2,0,0,1,1,6,-8,0,0,0,0,0,0,6,-6
dftm,CA,-1703963.8779,1455940.4511,3,0,0,0,0,0,0,0,0,1,3,-4,3,-3,0,0,0,0,0,0,0,0
dftm,CA,-1678963.8779,1455940.4511,4,0,0,0,0,0,0,0,0,5,14,-18,12,-13,0,0,0,0,0,0,0,0
dftm,CA,-1653963.8779,1455940.4511,4,0,0,0,0,0,0,0,3,23,79,-105,26,-26,0,0,0,0,0,0,0,0
dftm,CA,-1703963.8779,1480940.4511,3,0,0,0,0,0,0,0,0,19,37,-56,27,-27,0,0,0,0,0,0,0,0
dftm,CA,-1678963.8779,1480940.4511,5,0,0,0,0,0,2,-2,0,25,61,-64,7,-29,0,0,0,0,0,0,0,0
dftm,CA,-1653963.8779,1480940.4511,3,0,0,0,0,0,0,0,0,4,6,-10,4,-4,0,0,0,0,0,0,0,0
dftm,CA,-1753963.8779,1505940.4511,3,0,0,0,0,0,0,0,0,0,12,17,-16,-13,0,0,0,0,0,0,0,0
dftm,CA,-1728963.8779,1505940.4511,4,0,0,0,0,0,0,0,0,0,71,180,-123,-87,-41,0,0,0,0,0,0,0
dftm,CA,-1703963.8779,1505940.4511,4,0,0,0,0,0,0,0,0,0,76,62,-42,-74,-22,0,0,0,0,0,0,0
dftm,CA,-1678963.8779,1505940.4511,5,0,0,0,0,0,0,0,0,5,43,-27,-3,-18,0,0,0,0,0,3,-3,0
dftm,CA,-1653963.8779,1505940.4511,3,0,0,0,0,0,0,0,0,17,29,-46,30,-30,0,0,0,0,0,0,0,0
dftm,CA,-1778963.8779,1530940.4511,3,0,0,0,0,0,0,0,0,0,1,2,14,-17,0,0,0,0,0,0,0,0
dftm,CA,-1753963.8779,1530940.4511,5,0,2,-2,0,0,0,0,0,0,5,33,32,-60,-10,0,0,0,0,0,0,0
dftm,CA,-1728963.8779,1530940.4511,3,0,0,0,0,0,0,0,0,0,0,34,9,-34,-9,0,0,0,0,0,0,0
dftm,CA,-1703963.8779,1530940.4511,3,0,0,0,0,0,0,0,0,0,0,28,-12,-14,-2,0,0,0,0,0,0,0
dftm,CA,-1778963.8779,1555940.4511,4,0,0,0,0,0,0,0,0,0,8,18,0,-23,-3,0,0,0,0,0,0,0
dftm,CA,-1778963.8779,1580940.4511,3,0,0,0,0,0,0,0,0,0,2,8,0,-10,0,0,0,0,0,0,0,0
