SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
esbw,CA,1371036.1221,680940.451099999,8,0,0,0,5,2,-5,-2,0,3,1,-4,0,0,0,0,0,6,-2,-4,11,-11
esbw,CA,1421036.1221,680940.451099999,4,0,0,2,66,-5,-63,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
esbw,CA,1421036.1221,705940.451099999,4,0,0,16,81,56,-153,0,0,0,17,-17,0,0,0,0,0,0,0,0,0,0
esbw,CA,1021036.1221,730940.451099999,3,0,0,0,0,0,0,30,26,-56,0,0,6,-6,0,0,0,0,0,0,0,0
esbw,CA,1046036.1221,730940.451099999,7,-1,0,0,0,0,0,0,2,2,-4,102,-17,4,-89,10,-10,0,0,0,0,0
esbw,CA,1071036.1221,730940.451099999,12,-8,-27,0,0,0,4,38,80,0,-122,844,-354,183,-673,17,22,-39,0,0,0,21
esbw,CA,1096036.1221,730940.451099999,11,0,0,0,0,0,0,0,0,30,43,495,-225,42,-384,4,18,-21,-2,0,8,2
esbw,CA,1121036.1221,730940.451099999,4,0,0,0,0,0,0,0,0,0,233,-56,-15,-78,-84,0,0,0,0,0,0,0
esbw,CA,921036.1221,755940.451099999,4,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,153,-153,0,0,12,-2
esbw,CA,946036.1221,755940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,3,-2
esbw,CA,1046036.1221,755940.451099999,6,-1,0,0,0,0,0,0,0,7,-7,85,7,-68,-24,0,0,0,0,0,0,5
esbw,CA,1071036.1221,755940.451099999,7,-14,0,0,0,0,0,0,6,14,-20,600,-70,-373,-157,0,0,0,0,0,0,5
esbw,CA,1096036.1221,755940.451099999,6,0,0,0,0,0,0,0,0,31,11,550,-371,128,-349,0,0,0,0,0,0,5
esbw,CA,896036.122099999,780940.451099999,8,0,0,0,0,0,4,60,106,-65,-42,-30,-33,0,0,0,0,0,0,0,3,20
esbw,CA,921036.1221,780940.451099999,6,0,0,0,0,0,0,2,0,-2,0,1,-1,0,0,0,2,-2,0,0,21,41
esbw,CA,946036.1221,780940.451099999,5,0,0,0,0,0,0,0,0,2,-2,34,-32,-2,0,0,0,0,0,0,92,59
esbw,CA,971036.1221,780940.451099999,6,5,-5,0,0,0,0,0,5,-1,-4,44,-44,0,0,0,0,0,0,0,31,68
esbw,CA,1071036.1221,780940.451099999,5,0,0,0,0,0,0,0,0,0,33,-33,189,-115,-74,0,0,0,0,0,1,90
