SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ftc,CA,1196036.1221,555940.451099999,3,0,0,0,0,0,0,0,0,0,0,69,-5,-56,-8,0,0,0,0,0,0,0
ftc,CA,1221036.1221,555940.451099999,3,0,0,0,0,0,0,0,0,0,0,23,2,-24,-1,0,0,0,0,0,0,0
ftc,CA,1196036.1221,580940.451099999,3,0,0,0,0,0,0,0,0,0,0,75,157,-224,-8,0,0,0,0,0,0,0
ftc,CA,1221036.1221,580940.451099999,3,0,0,0,0,0,0,0,0,0,0,29,-1,-27,-1,0,0,0,0,0,0,0
ftc,CA,1171036.1221,605940.451099999,3,0,0,0,0,0,0,0,0,0,0,9,15,-14,-10,0,0,0,0,0,0,0
ftc,CA,1196036.1221,605940.451099999,5,0,0,10,10,-20,0,0,0,0,0,46,118,-132,-32,0,0,0,0,0,0,0
ftc,CA,1221036.1221,605940.451099999,8,0,0,0,24,-3,-21,0,0,0,0,20,0,-5,-14,22,7,-30,0,0,0,0
ftc,CA,1246036.1221,605940.451099999,6,0,0,0,0,0,0,0,0,0,0,2,17,-9,-6,5,38,-47,0,0,0,0
ftc,CA,1196036.1221,630940.451099999,10,0,0,10,-1,0,-9,0,0,0,0,85,119,-112,-40,-30,35,-56,-1,0,0,0
ftc,CA,1221036.1221,630940.451099999,7,0,0,0,0,0,0,0,0,0,0,138,247,-213,-12,57,131,-328,-20,0,0,0
ftc,CA,1246036.1221,630940.451099999,6,0,0,0,0,0,0,0,0,0,0,0,83,-39,150,-74,119,-235,-4,0,0,0
ftc,CA,1271036.1221,630940.451099999,5,0,0,0,0,0,0,0,0,0,0,0,1,0,33,-25,17,-26,0,0,0,0
ftc,CA,1171036.1221,655940.451099999,4,0,0,0,0,0,0,0,0,0,0,64,73,-97,8,-48,0,0,0,0,0,0
ftc,CA,1196036.1221,655940.451099999,10,0,0,24,36,-13,-47,0,0,0,0,160,181,-195,65,-169,94,-77,-59,0,0,0
ftc,CA,1221036.1221,655940.451099999,5,0,0,0,0,0,0,0,0,0,0,0,16,-4,26,-36,12,-14,0,0,0,0
ftc,CA,1296036.1221,655940.451099999,7,0,11,12,-23,0,0,0,0,0,0,112,29,-72,-11,-58,0,0,0,18,-18,0
ftc,CA,1321036.1221,655940.451099999,5,0,0,6,-6,0,0,0,0,0,0,7,30,-10,-1,-26,0,0,0,0,0,0
ftc,CA,1171036.1221,680940.451099999,3,0,0,0,0,0,0,0,0,0,0,0,3,2,1,-6,0,0,0,0,0,0
ftc,CA,1296036.1221,680940.451099999,4,497,1213,-1688,-22,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0
ftc,CA,1371036.1221,680940.451099999,3,0,0,0,0,0,0,0,0,0,0,60,-14,-46,0,0,0,0,15,-15,0,0
ftc,CA,1396036.1221,680940.451099999,3,0,0,0,0,0,0,0,0,0,0,212,-23,-189,0,0,0,0,37,-37,0,0
ftc,CA,1421036.1221,680940.451099999,4,0,130,-130,0,0,0,0,0,0,0,101,50,-151,0,0,0,0,18,-18,0,0
ftc,CA,1446036.1221,680940.451099999,3,0,99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-16,-53,0
ftc,CA,1271036.1221,705940.451099999,5,209,964,-968,-205,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,-7,0
ftc,CA,1296036.1221,705940.451099999,5,220,950,-859,-311,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-50,-2,0
ftc,CA,1321036.1221,705940.451099999,3,96,617,-713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-63,0,0
ftc,CA,1346036.1221,705940.451099999,3,0,44,-44,0,0,0,0,0,0,0,42,-34,-8,0,0,0,0,0,0,0,0
