SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
jpbw,CA,1196036.1221,755940.451099999,6,0,0,0,0,0,0,60,-60,22,365,-120,41,296,-604,0,0,0,0,0,0,0
jpbw,CA,1221036.1221,755940.451099999,4,0,0,0,0,0,0,0,0,19,153,-26,-146,224,-224,0,0,0,0,0,0,0
jpbw,CA,1021036.1221,780940.451099999,7,0,0,0,0,0,33,-15,-18,35,-35,0,0,0,0,0,103,-10,-80,-13,1,-1
jpbw,CA,1171036.1221,780940.451099999,3,0,0,0,0,0,0,49,-49,0,0,240,-240,29,-29,0,0,0,0,0,0,0
jpbw,CA,1196036.1221,780940.451099999,5,0,0,0,0,0,0,59,-59,0,652,-351,215,587,-1103,0,0,0,0,0,0,0
jpbw,CA,1221036.1221,780940.451099999,4,0,0,0,0,0,0,64,-64,61,169,-230,0,4,-4,0,0,0,0,0,0,0
jpbw,CA,1246036.1221,780940.451099999,3,0,0,0,0,0,0,0,0,160,111,102,-373,0,0,0,0,0,0,0,0,0
jpbw,CA,1096036.1221,805940.451099999,4,0,0,0,0,25,4,64,-93,0,0,0,0,0,0,0,0,0,0,0,0,4
jpbw,CA,1446036.1221,805940.451099999,4,0,0,0,0,0,0,0,0,7,-5,2,0,-4,0,0,0,0,0,0,0,0
jpbw,CA,1021036.1221,830940.451099999,4,0,0,0,0,0,5,16,-21,58,-55,-3,0,0,0,0,0,0,0,0,0,0
jpbw,CA,1396036.1221,830940.451099999,3,0,0,0,0,0,0,0,0,0,71,-59,6,-18,0,0,0,0,0,0,0,0
jpbw,CA,1146036.1221,855940.451099999,3,0,0,0,0,14,30,127,-171,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,1496036.1221,855940.451099999,4,0,0,0,0,7,18,-18,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,1071036.1221,930940.451099999,3,0,0,0,0,0,0,0,0,560,-96,-442,-22,0,0,0,0,0,0,0,0,0
jpbw,CA,171036.122099999,955940.451099999,4,0,0,0,0,0,262,-18,-204,-8,-32,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,196036.122099999,955940.451099999,3,0,0,0,0,0,59,280,-339,71,-71,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,146036.122099999,980940.451099999,4,0,0,0,0,0,33,574,-602,33,-38,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,171036.122099999,980940.451099999,4,0,0,0,0,0,1029,-163,-682,164,-348,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,196036.122099999,980940.451099999,4,0,0,0,0,0,592,260,-837,92,-107,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,221036.122099999,980940.451099999,4,0,0,0,0,0,222,731,-945,-6,-2,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,246036.122099999,980940.451099999,3,0,0,0,0,0,41,1003,-1032,-12,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,271036.122099999,980940.451099999,3,0,0,0,0,0,0,671,-610,-42,-19,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,96036.1220999993,1005940.4511,4,0,0,0,0,0,0,95,-82,-7,4,-10,0,0,0,0,0,0,0,0,0,0
jpbw,CA,121036.122099999,1005940.4511,3,0,0,0,0,0,0,416,-307,114,-223,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,171036.122099999,1005940.4511,3,0,0,0,0,0,112,740,-852,30,-30,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,196036.122099999,1005940.4511,4,0,0,0,0,0,347,398,-685,132,-192,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,221036.122099999,1005940.4511,4,0,0,0,0,0,80,1112,-1175,-14,-3,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,246036.122099999,1005940.4511,3,0,0,0,0,0,395,994,-1389,0,0,0,0,0,0,0,0,0,0,0,0,25
jpbw,CA,96036.1220999993,1030940.4511,3,0,0,0,0,0,0,695,-151,-47,-497,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,121036.122099999,1030940.4511,3,0,0,0,0,0,0,1416,-222,189,-1383,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,146036.122099999,1030940.4511,4,0,0,0,0,0,0,642,-522,43,-163,0,0,0,0,0,0,0,0,0,2,-2
jpbw,CA,171036.122099999,1030940.4511,5,0,0,0,0,0,48,954,-878,65,-189,0,0,0,0,0,0,0,0,0,10,-10
jpbw,CA,196036.122099999,1030940.4511,5,0,0,0,0,0,193,997,-1188,83,-85,0,0,0,0,0,0,0,0,0,5,-5
jpbw,CA,221036.122099999,1030940.4511,6,0,0,0,0,0,42,1316,-1352,27,-33,0,0,0,0,0,0,0,0,0,17,80
jpbw,CA,246036.122099999,1030940.4511,6,0,0,0,0,0,122,940,-1046,-13,-3,0,0,0,0,0,0,0,0,0,8,119
jpbw,CA,271036.122099999,1030940.4511,3,0,0,0,0,0,0,15,-15,0,0,0,0,0,0,0,0,0,0,0,3,217
jpbw,CA,121036.122099999,1055940.4511,3,0,0,0,0,0,0,527,-462,46,-111,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,146036.122099999,1055940.4511,3,0,0,0,0,0,0,1578,-1146,-105,-327,0,0,0,0,0,0,0,0,0,0,0
jpbw,CA,171036.122099999,1055940.4511,5,0,0,0,0,0,0,1888,-1342,36,-582,0,0,0,0,0,0,0,0,0,6,9
jpbw,CA,196036.122099999,1055940.4511,4,0,0,0,0,0,0,756,-756,29,-29,0,0,0,0,0,0,0,0,0,16,93
jpbw,CA,221036.122099999,1055940.4511,5,0,0,0,0,0,0,339,-335,2,-6,0,0,0,0,0,0,0,0,0,4,24
jpbw,CA,246036.122099999,1055940.4511,3,0,0,0,0,0,0,32,-32,13,-13,0,0,0,0,0,0,0,0,0,0,85
jpbw,CA,71036.1220999993,1080940.4511,4,0,0,0,0,0,0,3,-3,130,-130,0,0,0,0,0,0,0,0,0,2,147
jpbw,CA,96036.1220999993,1080940.4511,5,0,0,0,0,0,0,188,-110,-33,-45,0,0,0,0,0,0,0,0,0,52,130
jpbw,CA,121036.122099999,1080940.4511,5,0,0,0,0,0,0,1492,-685,-76,-731,0,0,0,0,0,0,0,0,0,3,191
jpbw,CA,146036.122099999,1080940.4511,6,0,0,0,0,0,0,681,-570,4,-115,42,-42,0,0,0,0,0,0,0,26,186
