SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
mpb,CA,-1403963.8779,1180940.4511,5,0,0,0,0,0,30,-21,-5,-4,0,0,0,0,0,8,-8,0,0,0,7,-7
mpb,CA,-1378963.8779,1180940.4511,6,0,8,-8,12,-12,47,-47,0,0,3,-3,0,0,0,2,-2,0,0,0,2,-2
mpb,CA,-1353963.8779,1180940.4511,8,0,0,0,0,0,16,-13,0,4,-7,1,-1,0,0,12,-12,0,0,9,-7,-2
mpb,CA,-1328963.8779,1180940.4511,8,0,4,-4,0,0,18,-13,0,-5,0,0,3,-3,0,23,-23,45,-45,6,-6,0
mpb,CA,-1503963.8779,1205940.4511,10,0,0,0,0,0,2,2,-4,6,-6,1,0,6,3,-4,1,1,-8,0,0,0
mpb,CA,-1478963.8779,1205940.4511,12,0,0,0,0,11,34,-27,9,12,-23,17,-14,-19,0,6,-4,-2,0,2,4,-6
mpb,CA,-1453963.8779,1205940.4511,20,30,-24,-13,9,80,88,-71,-9,-35,-53,24,-9,6,-8,-7,-12,18,-22,5,-5,15
mpb,CA,-1428963.8779,1205940.4511,16,-5,-6,-7,13,21,26,21,-71,10,-8,2,-14,0,3,-3,0,6,-6,11,-9,14
mpb,CA,-1403963.8779,1205940.4511,17,-9,-2,5,0,30,75,-103,10,-4,6,-7,-13,3,-3,7,-7,6,-6,2,4,-6
mpb,CA,-1378963.8779,1205940.4511,7,0,7,-7,0,0,33,-18,-15,13,-8,-5,0,0,31,-31,0,0,0,0,5,-5
mpb,CA,-1353963.8779,1205940.4511,9,0,2,-2,0,28,52,-60,-11,-9,20,-20,0,0,0,7,-7,0,0,7,-7,5
mpb,CA,-1328963.8779,1205940.4511,4,0,0,0,0,0,0,0,4,-4,0,0,3,-3,5,-5,0,0,5,-5,0,0
mpb,CA,-1553963.8779,1230940.4511,14,0,0,8,-2,8,8,-5,-17,15,-1,-9,13,-9,7,5,-21,13,-13,8,-8,0
mpb,CA,-1528963.8779,1230940.4511,19,6,-6,3,3,66,88,-3,-72,141,15,-130,-63,44,-38,-28,-2,8,-30,28,-24,-6
mpb,CA,-1503963.8779,1230940.4511,22,-4,0,2,10,44,-2,59,-57,85,12,-43,-1,-2,-22,-62,27,46,-82,30,27,-44
mpb,CA,-1478963.8779,1230940.4511,21,8,-2,-3,9,98,174,-147,-43,79,17,-29,-80,-32,-38,24,-22,17,-33,22,-17,-1
mpb,CA,-1453963.8779,1230940.4511,21,-1,-3,4,20,44,174,77,-62,-73,39,-67,-111,48,-12,-52,-24,12,-28,25,-10,-12
mpb,CA,-1428963.8779,1230940.4511,20,-77,-82,35,-15,118,145,-150,-71,-3,-8,43,-34,73,-43,-65,34,-2,-60,16,-16,13
mpb,CA,-1403963.8779,1230940.4511,22,-28,1,24,-26,100,256,-259,-82,96,-63,33,26,-56,-20,-24,15,-2,-12,11,12,-31
mpb,CA,-1378963.8779,1230940.4511,15,3,3,-2,10,12,60,-50,-32,74,-59,0,-8,-7,-2,-2,0,5,-5,0,0,0
mpb,CA,-1353963.8779,1230940.4511,17,-2,9,48,11,119,138,-192,-40,74,-31,-62,-74,5,-5,3,3,16,-22,2,6,-8
mpb,CA,-1328963.8779,1230940.4511,5,0,0,0,0,0,6,-6,0,3,6,-9,0,0,0,1,-1,2,-2,0,0,0
mpb,CA,-1628963.8779,1255940.4511,8,0,0,0,0,0,0,2,-2,0,11,-11,0,7,19,88,-34,36,-102,-14,0,0
mpb,CA,-1603963.8779,1255940.4511,16,0,0,0,0,12,-3,34,-34,15,-20,14,-7,43,-20,129,-49,-46,-65,2,5,-10
mpb,CA,-1578963.8779,1255940.4511,20,5,-6,7,68,124,276,-76,2,201,-114,-293,-58,-25,-43,73,-35,-7,-102,17,-13,-4
mpb,CA,-1553963.8779,1255940.4511,19,17,-15,13,16,91,262,-192,-168,168,-65,-41,-61,4,-17,0,-12,5,5,-5,16,-21
mpb,CA,-1528963.8779,1255940.4511,12,0,0,33,19,265,68,50,-223,160,-144,-159,-47,-20,-2,0,0,5,-5,0,0,0
mpb,CA,-1503963.8779,1255940.4511,16,6,-6,4,63,89,203,-26,-51,152,-56,-114,-108,-121,-35,11,-3,-8,0,6,-3,-3
mpb,CA,-1478963.8779,1255940.4511,17,16,29,-15,35,17,267,50,-65,155,-97,-29,-188,-133,-44,0,0,0,3,-3,2,0
mpb,CA,-1453963.8779,1255940.4511,19,28,8,-19,63,67,266,-76,-41,344,-138,-27,-260,-135,-56,-20,-1,5,-8,3,-1,-2
mpb,CA,-1428963.8779,1255940.4511,22,-94,-138,89,23,258,325,-77,-302,534,-267,-101,-165,-215,-65,-38,-19,25,-23,8,-13,9
mpb,CA,-1403963.8779,1255940.4511,13,7,-105,72,47,42,35,-83,-97,3,7,-7,-24,0,4,-4,0,0,0,0,0,0
mpb,CA,-1378963.8779,1255940.4511,14,0,6,2,20,114,338,-230,-33,163,-222,91,-150,-99,4,-4,0,0,0,0,6,-3
mpb,CA,-1353963.8779,1255940.4511,13,0,13,52,9,76,250,-217,-23,68,-12,-6,-124,-86,0,5,-5,0,0,4,-4,0
mpb,CA,-1328963.8779,1255940.4511,12,0,0,8,20,6,116,-23,-45,55,67,-61,-96,-23,-24,0,0,2,-2,0,0,0
