SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
sb,CA,-1328963.8779,1180940.4511,3,0,0,0,0,3,-3,0,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0
sb,CA,-1703963.8779,1280940.4511,3,0,0,0,0,0,0,0,2,0,7,-9,0,0,0,0,0,0,0,0,0,0
sb,CA,-1328963.8779,1280940.4511,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-7,4,-3,-3
sb,CA,-1778963.8779,1305940.4511,4,0,0,0,0,0,0,0,0,0,0,0,0,20,-18,-2,0,0,6,9,-15,0
sb,CA,-1753963.8779,1305940.4511,13,0,0,0,0,0,2,-1,19,-12,12,-18,3,33,-15,-11,8,-12,-8,2,-2,0
sb,CA,-1728963.8779,1305940.4511,11,0,2,-2,22,-6,-8,15,115,-98,25,-65,0,1,5,-6,0,3,-3,0,0,0
sb,CA,-1703963.8779,1305940.4511,9,0,2,-2,13,18,-28,6,60,39,-17,-89,-2,0,0,0,0,0,0,0,0,0
sb,CA,-1528963.8779,1305940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
sb,CA,-1453963.8779,1305940.4511,6,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,1,6,-7,1,1,-1
sb,CA,-1353963.8779,1305940.4511,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-4,-1,8,-5
sb,CA,-1328963.8779,1305940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,-14,4,-1
sb,CA,-1778963.8779,1330940.4511,11,0,0,0,2,-2,1,0,-1,0,1,-1,0,1,11,-11,-1,14,16,40,44,-114
sb,CA,-1753963.8779,1330940.4511,13,0,0,0,0,0,6,-6,0,0,7,-1,3,7,6,7,-15,-1,13,-17,8,-16
sb,CA,-1728963.8779,1330940.4511,10,0,0,0,3,-3,0,0,0,4,62,-65,1,-1,10,-2,-6,-1,-2,0,0,0
sb,CA,-1703963.8779,1330940.4511,3,0,0,0,0,0,0,0,0,0,2,0,-2,0,0,0,0,1,-1,0,0,0
sb,CA,-1528963.8779,1330940.4511,8,0,0,0,0,2,-2,4,-4,0,0,0,0,0,0,0,2,2,3,-4,1,-3
sb,CA,-1453963.8779,1330940.4511,3,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,-1,1,-1,0
sb,CA,-1353963.8779,1330940.4511,17,0,0,0,1,0,-1,10,34,-16,-26,8,9,0,35,69,-39,5,-81,13,-12,1
sb,CA,-1328963.8779,1330940.4511,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,38,-2,64,-17
sb,CA,-1778963.8779,1355940.4511,6,1,-1,0,0,1,0,-1,2,-2,0,0,0,0,2,-2,0,0,0,0,15,-15
sb,CA,-1503963.8779,1355940.4511,5,0,0,0,0,0,0,5,-5,0,0,0,0,0,0,0,0,1,5,-4,-1,-1
sb,CA,-1453963.8779,1355940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-10,5,26,-1
sb,CA,-1428963.8779,1355940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,3,2,4
sb,CA,-1378963.8779,1355940.4511,8,0,0,0,0,0,0,0,0,0,0,1,0,2,3,-2,-4,4,-4,6,-6,1
sb,CA,-1353963.8779,1355940.4511,12,0,0,0,0,0,0,0,1,-1,3,5,-2,-2,21,10,43,98,-176,99,46,-62
sb,CA,-1328963.8779,1355940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,-41,17,0
sb,CA,-1753963.8779,1380940.4511,3,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,2,-2,0,0,0,0,0
sb,CA,-1503963.8779,1380940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,2,-2,10,-10
sb,CA,-1453963.8779,1380940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,2,-1,-2,1,-1
sb,CA,-1428963.8779,1380940.4511,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,1,1
sb,CA,-1353963.8779,1380940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,19,-15,18
sb,CA,-1828963.8779,1430940.4511,4,0,0,6,-6,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,CA,-1828963.8779,1455940.4511,4,0,0,0,0,1,1,-2,0,0,0,0,0,0,0,0,0,2,-2,0,1,-1
sb,CA,-1778963.8779,1455940.4511,4,0,0,0,0,0,0,0,0,0,0,4,-4,0,0,0,0,1,-1,1,0,-1
sb,CA,-1503963.8779,1455940.4511,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-3,1,0
sb,CA,-1878963.8779,1480940.4511,3,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,2,-2,0,0,3,-3
