SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
tcbw,CA,-1628963.8779,1530940.4511,4,0,0,0,0,0,0,0,0,0,0,8,-8,0,0,2,-2,0,0,2,-2,6
tcbw,CA,-1628963.8779,1555940.4511,7,0,0,0,0,0,0,0,0,0,0,0,0,38,-38,149,-118,38,41,21,-131,34
tcbw,CA,-1603963.8779,1555940.4511,9,0,0,0,0,0,0,0,0,14,-14,3,-3,15,-15,17,-15,4,21,14,-41,40
tcbw,CA,-1578963.8779,1555940.4511,6,0,0,0,0,0,0,0,0,0,0,0,0,33,-33,3,5,9,9,26,-52,0
tcbw,CA,-1653963.8779,1580940.4511,9,0,0,89,-89,11,-11,10,-10,0,0,0,0,0,0,49,-49,3,42,79,-111,32
tcbw,CA,-1628963.8779,1580940.4511,13,21,-21,237,-192,27,-72,181,-181,345,-345,0,0,2,-2,157,-66,158,-204,88,-120,-13
tcbw,CA,-1603963.8779,1580940.4511,13,0,0,49,-49,10,-10,18,-10,220,-228,0,0,184,-173,108,-85,62,115,123,-334,43
tcbw,CA,-1578963.8779,1580940.4511,13,27,-27,68,-68,18,-18,13,12,217,-242,5,-5,211,-211,129,-57,99,224,-56,-339,0
tcbw,CA,-1553963.8779,1580940.4511,6,0,0,0,0,0,0,0,0,10,-10,0,0,5,-5,18,-18,3,18,20,-41,0
tcbw,CA,-1653963.8779,1605940.4511,6,82,-82,75,-75,29,-29,17,-17,25,-25,0,0,0,0,0,0,10,-10,0,0,0
tcbw,CA,-1628963.8779,1605940.4511,8,132,-132,201,-171,91,-121,2,-2,0,0,0,0,0,0,31,-31,2,-2,27,-27,0
tcbw,CA,-1603963.8779,1605940.4511,13,19,-19,52,-52,44,-44,9,2,124,-135,129,-129,38,-35,179,-182,110,55,-117,-48,0
tcbw,CA,-1578963.8779,1605940.4511,12,264,-264,232,-232,100,-100,7,25,36,-68,42,-42,201,-201,52,-52,193,54,-245,-2,0
tcbw,CA,-1553963.8779,1605940.4511,10,139,-139,63,-63,36,-36,9,-2,65,-72,0,0,10,-10,13,-13,0,8,-1,-7,0
tcbw,CA,-1528963.8779,1605940.4511,7,20,-20,0,0,12,-12,3,-3,6,-6,3,-3,4,-4,0,0,0,0,2,-2,0
tcbw,CA,-1503963.8779,1605940.4511,7,-4,0,61,-61,0,0,3,-3,0,0,0,0,0,0,0,0,40,80,-12,-8,-100
tcbw,CA,-1478963.8779,1605940.4511,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,79,-47,-64
tcbw,CA,-1678963.8779,1630940.4511,4,0,0,3,-3,0,0,0,0,0,0,17,-17,0,0,10,-10,0,0,16,-16,0
tcbw,CA,-1653963.8779,1630940.4511,9,165,-610,208,-208,0,0,127,-127,0,0,0,0,0,41,219,-260,0,21,-8,-13,15
tcbw,CA,-1628963.8779,1630940.4511,12,635,-637,273,-273,50,-50,7,-7,88,-88,0,0,0,7,-2,-5,0,59,-57,18,-19
tcbw,CA,-1603963.8779,1630940.4511,12,277,-277,480,-480,74,-74,0,1,172,-173,32,-32,22,3,120,-104,-1,-40,2,-2,0
tcbw,CA,-1578963.8779,1630940.4511,10,151,-151,259,-259,41,-41,0,1,74,-75,8,-8,71,-71,9,-9,4,-4,2,-2,0
tcbw,CA,-1553963.8779,1630940.4511,10,460,-460,75,-75,60,-60,20,0,21,-41,7,-7,10,-10,17,-17,0,0,7,-7,0
tcbw,CA,-1528963.8779,1630940.4511,12,250,-250,94,-94,36,-36,13,-13,28,-28,1,-1,5,-5,20,-20,4,7,3,-3,-11
tcbw,CA,-1503963.8779,1630940.4511,11,33,-51,67,-67,0,0,10,-10,0,0,4,-4,8,5,10,-23,0,37,146,-128,-55
tcbw,CA,-1478963.8779,1630940.4511,6,-15,-4,9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,104,-32,-77
tcbw,CA,-1678963.8779,1655940.4511,3,16,-16,333,-333,0,0,0,0,0,0,7,-7,0,0,0,0,0,0,0,0,0
tcbw,CA,-1653963.8779,1655940.4511,9,198,-198,80,-72,-8,0,154,-154,0,0,0,0,0,15,74,-89,0,21,17,-38,35
tcbw,CA,-1628963.8779,1655940.4511,8,163,-163,94,-94,64,-64,0,0,27,-27,0,0,0,0,116,-116,0,23,135,-158,8
tcbw,CA,-1603963.8779,1655940.4511,10,260,-260,219,-219,168,-168,26,-12,27,-25,18,-34,0,0,55,-55,0,0,4,-4,0
tcbw,CA,-1578963.8779,1655940.4511,10,47,-47,31,-31,19,-19,11,-11,29,-29,4,-4,3,3,5,-11,0,0,4,-4,0
tcbw,CA,-1553963.8779,1655940.4511,12,304,-304,98,-98,17,-17,6,-6,65,-65,9,-9,16,-16,51,-51,6,6,1,-13,1
tcbw,CA,-1528963.8779,1655940.4511,14,93,-154,28,-28,29,-29,27,-21,96,-102,18,-18,1,-1,134,-134,4,14,109,-114,-13
tcbw,CA,-1503963.8779,1655940.4511,9,-133,-3,12,-12,0,0,0,0,0,0,0,0,3,0,40,-43,3,-3,186,-137,-49
tcbw,CA,-1478963.8779,1655940.4511,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,-6,3,-2,140,-141,0
tcbw,CA,-1653963.8779,1680940.4511,7,0,0,52,19,-71,0,5,-5,0,0,0,0,0,0,31,-31,5,21,-26,0,5
tcbw,CA,-1628963.8779,1680940.4511,9,0,0,223,-150,-73,0,6,-6,0,0,13,-13,0,0,63,-59,72,-50,-17,-9,0
tcbw,CA,-1603963.8779,1680940.4511,10,57,-57,230,-111,-84,-35,9,-9,50,-50,0,0,0,0,74,-74,112,-106,135,-141,0
tcbw,CA,-1578963.8779,1680940.4511,12,10,-55,40,-40,98,-98,16,-16,93,-60,5,-38,17,18,37,-72,0,7,-7,0,0
tcbw,CA,-1553963.8779,1680940.4511,10,-23,-43,0,0,0,0,0,0,12,-12,19,-19,30,-29,2,-3,4,5,11,-20,0
tcbw,CA,-1528963.8779,1680940.4511,7,-10,-111,73,-73,0,0,0,0,4,-4,0,0,12,-12,117,-117,0,0,39,-39,0
tcbw,CA,-1503963.8779,1680940.4511,6,-129,0,0,0,0,0,0,0,0,0,19,-19,8,12,33,-53,0,0,185,-185,0
tcbw,CA,-1678963.8779,1705940.4511,4,0,0,110,-110,0,0,77,-77,0,0,0,0,0,0,80,-80,0,0,23,-23,0
tcbw,CA,-1653963.8779,1705940.4511,10,0,0,587,-582,96,-101,174,-174,0,0,24,-24,7,70,404,-481,297,-297,371,-371,0
tcbw,CA,-1628963.8779,1705940.4511,12,0,0,34,16,90,-140,43,-43,0,9,-6,-3,49,74,-30,-93,154,-129,41,-66,0
tcbw,CA,-1603963.8779,1705940.4511,11,0,0,147,132,-274,-5,94,-94,0,0,3,-3,0,17,3,-20,103,-24,-18,-43,-18
tcbw,CA,-1578963.8779,1705940.4511,13,-33,0,56,-54,31,-33,8,-8,15,6,5,-26,62,-3,9,-68,7,-7,23,-23,0
tcbw,CA,-1553963.8779,1705940.4511,6,-254,-31,0,0,0,0,0,0,0,0,0,0,21,-1,3,-23,0,0,66,-66,0
tcbw,CA,-1528963.8779,1705940.4511,5,-190,0,0,0,0,0,0,0,63,-63,0,0,17,-17,3,-3,0,0,131,-131,0
tcbw,CA,-1503963.8779,1705940.4511,3,0,0,0,0,0,0,0,0,0,0,3,-3,0,4,-4,0,0,0,19,-19,0
tcbw,CA,-1678963.8779,1730940.4511,11,0,7,73,-80,0,0,89,-89,16,-16,425,-425,167,199,-24,-342,262,-262,35,-35,38
tcbw,CA,-1653963.8779,1730940.4511,12,0,30,182,-212,0,0,4,-4,20,-20,266,-266,345,85,91,-521,489,-433,416,-472,48
tcbw,CA,-1628963.8779,1730940.4511,11,0,0,22,-10,-11,-1,1,-1,0,0,10,-10,133,66,-121,-78,122,-122,79,-79,1
