SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wbbb,CA,-1303963.8779,1155940.4511,6,0,0,0,0,0,0,0,5,-3,-2,2,-2,0,1,0,0,-1,0,0,0,0
wbbb,CA,-1403963.8779,1180940.4511,5,0,5,-5,1,-1,3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,2,-2
wbbb,CA,-1378963.8779,1180940.4511,8,0,0,0,0,0,0,1,2,4,-7,1,-1,0,0,0,0,3,-3,2,0,-1
wbbb,CA,-1353963.8779,1180940.4511,10,-1,3,-3,2,-2,0,0,1,-1,1,-1,0,0,1,-1,0,1,-1,2,-1,1
wbbb,CA,-1328963.8779,1180940.4511,15,1,0,-1,0,3,2,-5,5,1,-1,1,-6,1,1,-2,0,4,-1,7,-9,0
wbbb,CA,-1303963.8779,1180940.4511,3,0,0,0,0,0,0,1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0
wbbb,CA,-1453963.8779,1205940.4511,4,0,0,0,2,-2,2,-2,2,-2,0,0,0,0,0,0,0,0,0,2,-2,0
wbbb,CA,-1428963.8779,1205940.4511,13,1,0,-1,9,-3,25,-27,-1,-2,3,-4,0,0,0,0,0,2,-2,8,-5,-2
wbbb,CA,-1403963.8779,1205940.4511,7,0,1,-1,7,-6,21,-18,-4,1,-1,0,0,0,0,0,0,0,0,0,2,-2
wbbb,CA,-1378963.8779,1205940.4511,4,0,0,0,0,0,0,2,1,-3,0,1,-1,0,0,0,0,1,-1,0,0,0
wbbb,CA,-1353963.8779,1205940.4511,16,0,0,0,7,-1,6,-8,2,-4,0,4,-6,0,3,-2,1,6,-5,8,-1,-7
wbbb,CA,-1328963.8779,1205940.4511,8,1,0,-1,0,0,0,2,2,-2,-1,0,-1,0,0,0,0,0,0,0,1,-1
wbbb,CA,-1528963.8779,1230940.4511,8,2,-2,0,1,3,3,-7,5,-5,0,0,0,0,0,0,0,14,-14,2,1,-3
