SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wsbw,CA,-1353963.8779,1180940.4511,3,0,0,0,0,0,0,0,0,0,0,0,39,-2,-31,-6,0,0,0,0,0,0
wsbw,CA,-1328963.8779,1180940.4511,3,0,0,0,0,0,0,0,0,0,0,0,154,87,-239,-2,0,0,0,0,0,0
wsbw,CA,-1628963.8779,1255940.4511,3,0,0,0,0,0,0,0,0,0,0,0,68,0,-66,-2,0,0,0,0,0,0
wsbw,CA,-1703963.8779,1280940.4511,5,0,0,0,0,0,0,0,0,8,1,6,-3,19,-31,0,0,0,0,0,0,0
wsbw,CA,-1678963.8779,1280940.4511,9,0,0,0,0,0,0,0,0,13,25,25,157,10,-229,-1,4,-4,0,6,-5,-1
wsbw,CA,-1653963.8779,1280940.4511,5,0,0,0,0,0,0,0,0,0,0,0,783,-182,-599,-2,0,0,0,86,-85,-1
wsbw,CA,-1628963.8779,1280940.4511,5,0,0,0,0,0,0,0,0,0,0,0,551,214,-763,-2,48,20,-68,0,0,0
wsbw,CA,-1728963.8779,1305940.4511,7,0,0,0,0,0,0,1,17,1,37,-39,-15,29,-31,0,0,0,0,0,0,0
wsbw,CA,-1703963.8779,1305940.4511,9,0,0,0,2,-2,0,6,144,213,67,-216,172,-6,-375,-5,0,0,0,0,0,0
wsbw,CA,-1678963.8779,1305940.4511,6,0,0,0,0,0,0,0,13,67,149,-143,290,56,-432,0,0,0,0,0,0,0
wsbw,CA,-1653963.8779,1305940.4511,3,0,0,0,0,0,0,0,0,0,0,0,18,68,-86,0,3,-3,0,0,0,0
wsbw,CA,-1803963.8779,1330940.4511,3,0,0,0,0,0,0,12,25,-17,-20,0,0,0,0,0,0,0,0,0,0,0
wsbw,CA,-1753963.8779,1330940.4511,8,0,0,0,0,0,2,31,-9,20,6,85,9,-132,-12,0,0,0,0,0,0,0
wsbw,CA,-1728963.8779,1330940.4511,8,0,0,0,0,0,57,57,39,-104,108,-90,-40,46,-73,0,0,0,0,0,0,0
wsbw,CA,-1703963.8779,1330940.4511,9,0,0,0,0,1,3,124,102,69,201,-353,120,134,-401,0,0,0,0,0,0,0
wsbw,CA,-1678963.8779,1330940.4511,9,0,0,1,-1,0,0,0,3,86,468,-444,375,100,-582,7,-13,0,0,0,0,0
wsbw,CA,-1653963.8779,1330940.4511,3,0,0,0,0,0,0,0,0,0,0,0,98,-88,-9,-1,0,0,0,0,0,0
wsbw,CA,-1628963.8779,1330940.4511,3,0,0,0,0,0,0,0,0,0,0,0,10,-2,3,-11,0,0,0,0,0,0
wsbw,CA,-1778963.8779,1355940.4511,5,0,0,0,0,0,0,0,148,-71,-58,-16,-1,-2,0,0,0,0,0,0,0,0
wsbw,CA,-1753963.8779,1355940.4511,13,0,16,6,12,4,177,180,-179,-21,223,-308,7,-64,-53,0,0,0,0,6,-6,0
wsbw,CA,-1728963.8779,1355940.4511,20,0,9,36,-8,73,214,242,-378,3,479,-428,-186,152,-193,-10,4,-6,19,12,10,-14
wsbw,CA,-1703963.8779,1355940.4511,8,0,0,0,8,-7,-1,0,27,138,-2,-101,-9,-2,-51,0,0,0,0,0,0,0
wsbw,CA,-1678963.8779,1355940.4511,13,0,0,9,5,1,-15,3,58,180,128,-198,56,39,-264,11,46,-59,0,0,0,0
wsbw,CA,-1653963.8779,1355940.4511,5,0,0,0,0,0,0,0,0,0,15,47,-55,104,-107,-4,0,0,0,0,0,0
wsbw,CA,-1628963.8779,1355940.4511,3,0,0,0,0,0,0,0,0,0,68,-65,-3,127,-127,0,0,0,0,0,0,0
wsbw,CA,-1803963.8779,1380940.4511,5,0,0,0,0,0,0,5,24,1,-30,4,-4,3,-3,0,0,0,0,0,0,0
wsbw,CA,-1778963.8779,1380940.4511,7,0,0,0,0,0,42,47,178,-124,-120,1,-1,-23,0,0,0,0,0,0,0,0
wsbw,CA,-1753963.8779,1380940.4511,10,0,0,2,-2,32,177,399,9,-299,164,-124,-274,-2,-82,0,0,0,0,0,0,0
wsbw,CA,-1728963.8779,1380940.4511,12,0,0,117,-108,190,149,197,-25,-199,225,-302,-227,75,-92,0,0,0,0,0,23,-23
wsbw,CA,-1703963.8779,1380940.4511,6,0,0,0,0,0,0,0,69,17,-19,12,-11,17,-85,0,0,0,0,0,0,0
wsbw,CA,-1678963.8779,1380940.4511,10,0,0,9,26,-35,0,39,121,383,-281,-131,70,80,-240,-41,0,0,0,0,0,0
wsbw,CA,-1653963.8779,1380940.4511,8,0,0,0,10,-1,-9,0,12,193,66,-146,179,-10,-294,0,0,0,0,0,0,0
