SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
dfb,USA,-2150000,6e+05,3,0,2,-2,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfb,USA,-2125000,7e+05,6,0,0,1,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,-2,15,-15,0
dfb,USA,-2125000,675000,7,0,3,-2,-1,0,0,0,0,1,-1,0,1,8,-9,0,0,0,0,1,-1,2,-2,0
dfb,USA,-2125000,650000,5,0,1,-1,0,1,0,-1,0,0,0,0,0,3,-3,0,0,0,0,0,0,3,-3,0
dfb,USA,-2125000,625000,5,1,0,-1,1,3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-7,0
dfb,USA,-2125000,550000,3,1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfb,USA,-2100000,775000,4,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,-1,0,0,0,2,-2,0
dfb,USA,-2100000,750000,8,0,3,-3,1,0,-1,0,3,-3,0,0,2,-2,1,-1,1,-1,0,3,-3,0,0,0
dfb,USA,-2100000,725000,10,0,0,1,0,-1,0,2,-1,-1,0,0,1,1,0,-2,0,2,-1,0,-1,0,0,0
dfb,USA,-2100000,7e+05,9,0,1,-1,0,0,0,0,2,-1,-1,0,0,1,0,-1,3,-1,0,-1,-1,0,0,0
dfb,USA,-2100000,675000,10,0,2,0,4,-4,-1,-1,0,3,-3,0,0,7,-6,-1,0,0,4,-4,1,-1,0,0
dfb,USA,-2100000,650000,8,0,1,0,-1,9,-8,-1,0,0,0,0,0,6,-5,-1,0,0,1,-1,0,2,-2,0
dfb,USA,-2100000,550000,4,0,16,-10,3,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfb,USA,-2100000,525000,3,0,1,-1,2,-2,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0
dfb,USA,-2075000,825000,15,0,1,1,-2,0,0,1,0,0,-1,1,0,7,-6,0,-1,1,1,-2,0,-1,0,0
