SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
dftm,USA,-1950000,25000,3,0,0,0,0,0,104,-14,-87,-3,0,0,0,0,0,0,0,0,0,0,0,0
dftm,USA,-1950000,-25000,3,0,0,0,0,0,104,284,-376,-12,0,0,0,0,0,0,0,0,0,0,0,0
dftm,USA,-1950000,-50000,3,0,0,0,0,0,268,335,-458,-145,0,0,0,0,0,0,0,0,0,0,0,0
dftm,USA,-1950000,-75000,3,0,0,0,0,0,247,-82,-135,-30,0,0,0,0,0,0,0,0,0,0,0,0
dftm,USA,-1800000,-475000,4,0,0,0,0,0,0,0,0,0,15,-2,11,-18,-6,0,0,0,0,0,0,0
dftm,USA,-1750000,8e+05,3,0,24,-3,7,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dftm,USA,-1725000,8e+05,3,0,401,-161,-234,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dftm,USA,-1700000,650000,3,0,0,18,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,-152,-27
dftm,USA,-1650000,1200000,3,2,-1,-1,0,0,0,0,0,0,0,10,-10,0,0,0,0,0,0,0,0,0
dftm,USA,-1625000,1250000,3,0,0,0,0,0,0,0,0,15,65,-69,-11,0,0,0,0,0,0,0,0,0
dftm,USA,-1600000,1250000,4,0,0,0,0,0,0,0,0,4,160,-154,-10,0,0,0,0,0,0,0,42,-42
dftm,USA,-1600000,875000,4,20,-19,3,-4,0,0,0,0,0,0,0,0,41,-41,0,0,0,0,0,0,0
dftm,USA,-1600000,5e+05,3,79,-14,-65,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dftm,USA,-1575000,9e+05,5,2982,-2030,-847,-105,0,0,0,0,0,0,0,192,-150,-42,0,0,0,0,0,0,0
dftm,USA,-1575000,875000,5,1979,-1190,-789,0,0,0,0,0,0,0,0,1,70,-71,0,0,0,0,28,-28,0
dftm,USA,-1575000,775000,6,1932,-1999,-81,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,-75
dftm,USA,-1575000,725000,3,0,0,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3
dftm,USA,-1575000,550000,3,27,13,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dftm,USA,-1575000,525000,8,702,-349,-699,24,106,-130,0,0,0,0,0,0,0,0,0,0,0,1,26,-27,4
dftm,USA,-1550000,9e+05,5,357,350,-353,-354,0,0,0,0,0,0,0,396,123,-519,0,0,0,0,0,0,0
dftm,USA,-1550000,775000,7,3147,-4027,-108,-20,0,0,0,0,7,-7,0,0,0,0,0,0,0,0,0,38,229
dftm,USA,-1550000,350000,5,0,0,0,0,3,-3,0,3,-3,6,-6,9,2,-11,0,0,0,0,0,0,0
dftm,USA,-1525000,850000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,-6
dftm,USA,-1525000,775000,4,1586,-1618,-31,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dftm,USA,-1525000,750000,3,97,-97,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-12
dftm,USA,-1500000,1025000,5,0,16,-14,-2,0,0,0,0,0,0,1,34,-32,-3,0,0,0,0,0,0,0
dftm,USA,-1500000,1e+06,3,11,79,-90,0,0,0,0,0,0,0,0,5,-5,0,0,0,0,0,0,0,0
dftm,USA,-1500000,825000,4,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,50,-77
dftm,USA,-1500000,375000,11,0,56,-44,395,-94,41,-351,189,-192,22,-16,35,-37,-4,0,0,0,0,0,0,0
dftm,USA,-1500000,350000,7,0,194,-183,72,-25,-39,-19,0,0,1,-1,0,3,-3,0,0,0,0,0,0,0
dftm,USA,-1475000,1075000,4,-6,0,0,0,0,0,0,0,0,0,356,530,-886,2,-2,0,0,0,0,0,0
dftm,USA,-1475000,1050000,3,0,0,0,0,0,0,0,0,0,0,60,286,-345,-1,0,0,0,0,0,0,0
dftm,USA,-1475000,1025000,5,0,347,-343,-4,0,0,0,0,0,0,124,2282,-1178,-1228,0,0,0,0,0,0,0
dftm,USA,-1475000,1e+06,5,528,1617,-1802,-343,0,0,0,0,0,0,0,757,-171,-586,0,0,0,0,0,0,0
