SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fe,USA,-2200000,4e+05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,2,155,-157,0
fe,USA,-2200000,375000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,4,-4,0
fe,USA,-2175000,450000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,2,62,-64,0
fe,USA,-2175000,425000,7,0,0,0,0,0,0,0,0,0,0,0,1,7,-8,5,-5,0,8,-8,27,18,-20,-25
fe,USA,-2175000,4e+05,10,0,0,0,0,0,0,0,0,0,1,0,-1,49,-48,2,-3,0,50,113,-66,354,-18,-433
fe,USA,-2175000,375000,7,0,0,0,0,0,0,0,0,0,0,0,0,9,-8,-1,0,1,20,-21,1,20,83,-104
fe,USA,-2175000,350000,12,0,0,0,0,0,0,0,0,5,12,-17,1,64,-56,-9,2,8,1,2,77,-4,126,-212
fe,USA,-2175000,325000,4,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,2,33,-35,71,-71,0
fe,USA,-2175000,3e+05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-2,-3,0,33,-33,64,-64,0
fe,USA,-2175000,275000,5,0,0,0,0,0,0,0,0,1,-1,0,0,2,-2,0,10,-10,0,44,-44,45,-45,0
fe,USA,-2175000,250000,5,0,0,0,0,0,0,0,0,0,0,0,4,-4,0,1,20,-21,0,44,-44,79,-79,0
fe,USA,-2175000,225000,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,2,-2,67,-67,0
fe,USA,-2150000,675000,4,0,0,0,0,1,-1,14,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
fe,USA,-2150000,650000,5,0,0,0,0,0,0,9,-4,-5,0,0,0,0,1,-1,5,-5,0,0,0,0,4,-4
fe,USA,-2150000,6e+05,3,0,0,0,0,0,0,3,-2,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
fe,USA,-2150000,525000,7,0,0,0,0,0,0,0,0,0,0,0,0,13,-13,13,-13,0,98,-74,23,-24,119,-142
fe,USA,-2150000,5e+05,9,0,0,0,0,0,0,0,0,0,0,0,1,24,-25,2,-2,17,45,24,5,78,232,-401
fe,USA,-2150000,475000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,47,-47,0,12,18,-30
fe,USA,-2150000,450000,11,0,0,0,0,0,0,0,3,19,-22,0,0,0,20,-12,32,-25,7,-7,9,34,189,-247
fe,USA,-2150000,425000,6,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,0,0,54,18,-72,58,-49,4,-13
fe,USA,-2150000,4e+05,12,0,0,0,0,0,0,0,105,-105,0,67,-65,12,0,0,-2,97,-29,-80,64,314,-230,-148
fe,USA,-2150000,375000,12,0,0,0,0,0,0,0,0,0,2,-2,16,59,-74,8,-4,130,-60,519,-438,361,71,-588
fe,USA,-2150000,350000,14,0,0,0,0,0,0,0,55,-42,1,9,-18,20,-17,1,-9,141,-120,740,-602,62,162,-383
fe,USA,-2150000,325000,14,0,0,0,0,0,0,0,60,-35,4,-29,2,144,-128,14,40,-61,141,147,-68,-84,84,-231
fe,USA,-2150000,3e+05,15,0,0,0,0,0,0,0,143,42,-147,-28,15,173,-91,-90,-16,2,412,-118,63,162,118,-640
fe,USA,-2150000,275000,15,0,0,0,0,0,0,0,206,-16,-179,-1,7,274,-108,-173,54,-61,473,75,-270,153,343,-777
fe,USA,-2150000,250000,14,0,0,0,0,0,0,0,68,4,-71,-1,12,60,23,-91,100,-102,105,-7,40,-26,88,-202
fe,USA,-2150000,225000,11,0,0,0,0,0,0,0,17,-2,-15,0,2,31,-13,-19,19,-20,3,210,-174,76,-115,0
fe,USA,-2125000,675000,8,0,0,0,0,1,2,4,79,-71,-15,0,0,0,0,0,0,0,0,0,0,7,41,-39
fe,USA,-2125000,650000,8,0,0,0,0,4,-3,0,58,-45,-14,0,0,0,0,0,0,1,-1,0,0,2,-1,-1
fe,USA,-2125000,625000,11,0,0,0,1,2,-3,24,0,-21,5,-8,0,1,0,-1,0,0,0,6,-6,0,9,-8
fe,USA,-2125000,6e+05,4,0,0,0,0,0,0,12,-12,0,0,0,0,0,0,0,0,0,1,0,1,-2,0,0
fe,USA,-2125000,550000,16,0,0,0,0,0,8,66,-53,-21,0,2,0,35,-28,15,-22,49,-28,-16,259,-263,323,-323
fe,USA,-2125000,525000,14,0,0,0,0,0,0,5,-4,-1,5,-5,10,19,-15,5,-11,205,-138,463,-258,-280,369,-368
fe,USA,-2125000,5e+05,15,0,0,0,16,-16,0,0,217,-210,-6,-1,2,10,109,-10,-65,219,-142,202,-213,-97,789,-804
fe,USA,-2125000,475000,11,0,0,0,0,0,0,0,80,-80,2,-2,0,34,174,-142,-33,165,-120,53,-85,-46,141,-141
