SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ftc,USA,-50000,1070000,3,0,0,0,295,654,-935,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,-50000,1045000,4,0,0,0,755,218,-329,-644,17,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,-25000,1070000,3,0,0,0,23,1744,-1742,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,-25000,1045000,3,0,0,0,163,2007,-1611,-559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,-25000,1020000,4,0,0,36,1750,27,-1794,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,-25000,995000,3,0,38,-38,854,104,-958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,-25000,970000,3,0,185,-185,204,-191,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,0,1070000,3,0,0,108,-108,40,-40,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,0,1045000,4,0,0,259,-162,76,-154,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,0,1020000,5,0,0,68,2726,1108,-3655,-247,50,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,0,995000,5,0,4,-4,2449,-790,-1330,-329,0,0,0,7,-7,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,0,970000,5,0,16,-16,1123,-685,-124,-307,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,0,945000,4,0,0,3,264,-209,-58,0,0,0,0,0,0,0,0,0,0,0,6,-6,0,0,0,0
ftc,USA,0,920000,4,0,102,13,392,-507,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0
ftc,USA,0,895000,4,0,121,38,-143,-16,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,0,870000,3,0,0,0,77,-77,0,0,0,0,0,1,-1,0,0,0,17,-17,0,0,0,0,0,0
ftc,USA,0,845000,3,0,0,0,5,0,-5,0,0,0,0,0,0,0,0,6,-6,0,0,0,0,0,0,0
ftc,USA,0,820000,5,0,0,0,2,9,-11,0,0,0,0,0,0,3,-3,0,7,-7,5,-5,0,0,0,0
ftc,USA,0,795000,10,0,0,0,7,-4,4,-7,0,0,0,0,0,200,-177,64,145,-223,86,-95,1,-1,0,0
ftc,USA,0,770000,14,0,4,56,108,-135,234,-262,-4,-1,13,-13,0,60,80,536,264,-839,48,-149,0,0,0,0
ftc,USA,0,745000,12,0,0,7,7,-14,45,-40,6,-11,0,0,13,18,1,13,31,-59,-7,-10,0,0,0,0
ftc,USA,0,720000,10,0,0,0,6,5,14,-9,-14,-2,0,0,23,-5,1,17,17,-53,0,0,0,0,0,0
ftc,USA,0,695000,7,0,0,0,0,0,0,5,-2,-3,0,4,-4,6,-1,5,0,-10,0,0,0,0,0,0
ftc,USA,25000,1070000,3,0,0,452,-26,-416,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,25000,1045000,5,0,0,359,-241,-36,-38,-44,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,25000,1020000,6,0,0,567,3032,933,-486,-4023,-14,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftc,USA,25000,995000,7,0,106,-106,4057,-20,-261,-3776,0,0,28,-28,0,0,0,31,-31,0,0,0,15,-15,0,0
ftc,USA,25000,970000,6,0,184,-184,4441,-1411,-2362,-661,-7,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0
