SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
jpbw,USA,25000,1045000,3,-7,0,0,0,0,6,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,25000,870000,5,-95,0,0,0,0,24,15,21,-54,-6,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,50000,1020000,5,-233,0,0,0,0,0,0,0,147,-127,-19,-1,70,-70,0,0,0,0,0,0,0,0,0
jpbw,USA,50000,895000,6,-159,0,0,0,0,12,46,33,-70,-19,-2,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,50000,870000,3,-9,0,0,0,0,0,0,3,3,-6,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,50000,845000,7,-145,0,0,0,0,8,71,-46,-14,-13,-6,0,0,0,0,0,0,22,-22,0,0,0,0
jpbw,USA,50000,820000,8,-341,0,0,0,0,0,214,-51,-137,-12,-14,0,0,0,0,0,4,38,-42,2,-2,0,0
jpbw,USA,75000,1045000,4,-178,0,0,0,0,0,0,36,127,-161,-2,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,75000,1020000,6,-589,0,0,0,0,0,2,108,413,-504,-13,-6,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,75000,895000,9,-1260,0,0,0,45,500,-125,8,-370,37,-95,0,0,0,0,0,0,0,50,10,-60,0,0
jpbw,USA,75000,870000,6,-968,0,0,0,0,437,33,-199,-204,-65,-2,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,75000,845000,6,-289,0,0,0,0,0,101,76,-121,-51,-5,0,0,0,0,0,0,3,-3,0,0,0,0
jpbw,USA,75000,820000,5,-624,0,0,0,0,0,319,-46,-108,-146,-19,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,75000,795000,6,-1074,0,0,0,0,0,417,322,-658,-72,-9,0,0,0,0,0,0,7,-7,0,0,0,0
jpbw,USA,75000,770000,5,-383,0,0,0,0,0,0,351,-322,-29,0,0,0,0,0,0,0,12,-12,29,-29,0,0
jpbw,USA,1e+05,920000,3,-13,0,0,0,0,0,0,6,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,1e+05,895000,6,-268,0,0,0,0,55,-5,68,-79,0,-39,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,1e+05,870000,6,-329,0,0,0,0,0,165,-37,-22,-102,-2,-2,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,1e+05,845000,7,-74,0,0,0,0,0,31,-12,-6,-8,-5,0,0,0,0,0,5,11,-16,0,0,0,0
jpbw,USA,1e+05,820000,11,-754,0,0,0,0,0,453,2,-287,-18,-15,-135,0,0,0,21,-5,56,-70,34,-36,0,0
jpbw,USA,1e+05,795000,7,-355,0,0,0,0,0,31,262,-275,-18,0,0,0,0,0,0,0,7,3,10,-20,0,0
jpbw,USA,1e+05,770000,8,-508,0,0,0,0,0,19,374,-339,-54,0,0,0,0,0,0,0,25,4,6,-21,-14,0
jpbw,USA,1e+05,745000,8,-195,0,0,0,0,46,-46,2,37,-34,-5,0,0,0,0,0,0,37,-4,38,-71,0,0
jpbw,USA,125000,920000,3,-22,0,0,0,0,0,0,1,21,-22,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,125000,870000,4,-77,0,0,0,0,0,0,2,63,-55,-10,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,125000,820000,3,-3,0,0,0,0,0,1,-1,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,125000,795000,5,-372,0,0,0,0,0,139,84,-172,-51,0,0,0,0,0,0,0,0,3,-3,0,0,0
jpbw,USA,125000,770000,8,-230,0,0,0,0,6,25,123,-124,-22,-8,0,0,0,0,0,0,20,-20,2,-2,0,0
jpbw,USA,125000,745000,7,-395,0,0,0,0,41,-41,201,-52,-137,-12,0,0,0,0,0,0,0,28,5,-33,0,0
jpbw,USA,125000,720000,3,-6,0,0,0,0,0,3,-3,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,125000,695000,4,-26,1,-1,0,0,0,18,-18,0,0,7,-7,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,150000,970000,4,-102,0,0,0,0,0,0,10,76,-62,-24,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,150000,895000,3,-19,0,0,0,0,0,0,10,-1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,150000,845000,3,-4,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,3,-3,0,0,0,0
jpbw,USA,150000,820000,3,-6,0,0,0,0,0,0,2,-2,4,-4,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,150000,795000,3,-65,0,0,0,0,0,35,3,-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,150000,770000,5,-21,0,0,0,0,0,4,6,-4,-6,0,0,0,0,0,0,0,0,0,1,-1,0,0
jpbw,USA,175000,970000,3,-38,0,0,0,0,0,0,0,25,-4,-21,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,2e+05,895000,3,-86,0,0,0,0,0,0,0,71,-49,-22,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,225000,1020000,3,-456,0,0,0,0,0,0,0,408,-330,-78,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,225000,995000,3,-311,0,0,0,0,0,0,0,258,-163,-95,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,225000,770000,3,-8,0,0,0,0,0,0,0,6,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,225000,745000,4,-50,0,0,0,0,0,0,31,-12,-16,-3,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,225000,670000,5,-829,0,0,0,0,0,0,199,515,-714,3,-3,0,0,0,0,0,0,0,0,0,17,-17
jpbw,USA,250000,995000,3,-245,0,0,0,0,0,0,0,201,-139,-62,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,250000,970000,3,-137,0,0,0,0,0,0,0,132,-101,-31,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,250000,895000,3,-11,0,0,0,0,0,0,0,9,-6,-3,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,250000,720000,3,-70,0,0,0,0,0,0,0,60,-50,-10,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,250000,695000,5,-746,0,0,0,0,0,38,36,653,-687,-40,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,250000,670000,4,-246,0,0,0,0,0,0,42,162,-204,0,0,0,0,0,0,0,0,0,0,0,9,-9
jpbw,USA,275000,995000,3,-276,0,0,0,0,0,0,0,210,-106,-104,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,275000,970000,3,-583,0,0,0,0,0,0,0,418,-205,-213,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,275000,720000,4,-594,0,0,0,0,0,70,424,-451,-43,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,3e+05,770000,4,-500,0,0,0,0,0,109,334,-383,-60,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,3e+05,745000,9,-3934,0,0,0,0,0,372,2945,-2719,-494,-104,243,-224,-19,0,0,0,19,11,-30,0,0,0
jpbw,USA,3e+05,720000,6,-1898,0,0,0,0,0,259,1436,-1080,-615,0,52,-52,0,0,0,0,2,-2,0,0,0,0
jpbw,USA,3e+05,695000,3,-342,0,0,0,0,0,0,290,-94,-196,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,325000,795000,3,-101,0,0,0,0,0,0,24,53,-77,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,325000,770000,9,-6122,0,0,0,0,0,799,5096,-3713,471,-2645,126,-117,353,-370,0,0,0,0,0,0,0,0
jpbw,USA,325000,745000,7,-2877,0,0,0,0,0,774,1590,-1648,-632,-84,0,0,0,0,0,0,22,0,-22,0,0,0
jpbw,USA,325000,720000,4,-1258,0,0,0,0,0,46,1102,-318,-830,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,325000,695000,3,-67,0,0,0,0,0,0,39,-3,-36,0,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,350000,820000,6,-518,0,0,0,0,0,0,0,29,480,-504,-5,0,141,-130,-11,0,0,0,0,0,0,0
jpbw,USA,350000,795000,6,-1312,0,0,0,0,0,0,382,-169,441,-642,-12,0,255,-255,0,0,0,0,0,0,0,0
jpbw,USA,350000,770000,4,-64,0,0,0,0,0,0,50,-40,0,-10,0,0,0,0,0,0,0,0,0,0,0,0
jpbw,USA,4e+05,520000,4,-572,0,0,0,0,0,0,0,0,0,0,353,6,-359,213,-213,0,0,0,0,0,0,0
jpbw,USA,4e+05,495000,3,-251,0,0,0,0,0,0,0,0,0,0,0,0,7,244,-251,0,0,0,0,0,0,0
