SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
mpb,USA,-2175000,350000,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,5,-4,-1,0,0,0
mpb,USA,-2150000,625000,5,0,0,0,2,0,-2,6,-6,0,0,1,-1,2,-2,0,0,0,0,0,0,0,0,0
mpb,USA,-2150000,6e+05,7,0,0,2,-1,0,1,30,-32,2,-2,0,0,62,-62,0,0,0,0,0,0,0,0,0
mpb,USA,-2150000,575000,4,0,0,1,-1,1,-1,5,-5,0,0,0,0,6,-6,0,0,0,0,0,0,0,0,0
mpb,USA,-2150000,550000,3,0,0,0,0,0,1,3,-4,0,0,0,0,0,0,0,0,0,0,0,13,-13,0,0
mpb,USA,-2150000,525000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,0,71,-71,13,-13,0,0
mpb,USA,-2150000,5e+05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-3,0,29,-29,26,-26,0,0
mpb,USA,-2150000,450000,3,0,0,0,0,0,0,0,0,0,0,0,9,-9,0,0,0,0,7,-6,-1,0,0,0
mpb,USA,-2150000,4e+05,6,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,3,-2,10,-12,27,-27,0,0,0
mpb,USA,-2150000,375000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,40,-33,546,-553,0,0,0
mpb,USA,-2150000,350000,7,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,7,-7,8,224,-231,-2,0,0
mpb,USA,-2150000,325000,6,0,0,0,0,0,0,0,0,0,0,0,0,11,146,-135,-13,-9,63,-62,-1,0,0,0
mpb,USA,-2150000,3e+05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-18,0,43,-43,24,-24,0,0
mpb,USA,-2150000,275000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,-14,-1,115,-113,-2,0,0,0
mpb,USA,-2150000,250000,6,0,0,0,0,0,0,0,0,0,0,0,6,-5,-1,10,-4,-6,58,-50,-8,0,0,0
mpb,USA,-2150000,225000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,7,-8,33,-32,-1,0,0,0
mpb,USA,-2125000,650000,6,0,0,0,4,0,-1,-1,-2,0,0,2,-2,5,-5,0,0,0,0,0,0,0,0,0
mpb,USA,-2125000,625000,10,-1,3,1,-1,8,-11,14,-13,2,-3,1,-1,15,-15,0,0,0,0,0,0,0,0,0
mpb,USA,-2125000,6e+05,12,1,2,3,2,-8,0,24,-22,1,1,-1,-2,44,-44,-1,0,0,0,0,0,0,0,0
mpb,USA,-2125000,575000,10,0,1,6,2,-8,-1,4,-3,0,-1,1,0,22,-23,0,0,0,0,0,0,0,0,0
mpb,USA,-2125000,550000,13,-1,2,1,-1,0,5,2,-9,0,3,-1,3,19,-24,10,-10,1,-1,0,0,0,0,0
mpb,USA,-2125000,525000,7,0,0,0,0,0,0,0,0,0,0,0,7,-6,0,3,-4,27,-10,143,-160,0,0,0
mpb,USA,-2125000,5e+05,7,0,0,0,0,0,0,0,0,0,0,0,16,-15,-1,7,5,-7,33,50,-88,0,0,0
mpb,USA,-2125000,475000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,21,-26,0,0,11,-11
mpb,USA,-2125000,450000,5,0,0,0,0,0,0,0,0,0,0,0,10,-10,0,1,0,2,-3,493,-493,0,0,0
mpb,USA,-2125000,425000,4,0,0,0,0,0,0,0,0,0,0,0,20,-18,-2,0,43,-43,6,-6,0,0,0,0
mpb,USA,-2125000,4e+05,8,0,0,0,0,0,0,0,0,0,0,0,3,0,-2,12,-9,-2,37,142,-181,0,0,0
mpb,USA,-2125000,375000,4,0,0,0,0,0,0,0,0,0,0,0,17,-17,2,-2,3,-3,0,58,-58,0,0,0
mpb,USA,-2125000,350000,5,0,0,0,0,0,0,0,0,0,0,0,14,-14,23,6,-22,-7,53,-53,0,0,0,0
mpb,USA,-2125000,325000,6,0,0,0,0,0,0,0,0,0,0,0,0,4,131,132,-266,1,41,-43,0,0,0,0
mpb,USA,-2125000,3e+05,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,322,-324,0,76,103,-143,-36,0,0
mpb,USA,-2125000,275000,6,0,0,0,0,0,0,0,0,0,0,0,3,-2,52,32,-85,0,126,-124,-2,0,0,0
mpb,USA,-2125000,250000,7,0,0,0,0,0,0,0,0,0,0,1,5,-6,9,11,-19,0,5,-6,0,0,0,0
mpb,USA,-2100000,650000,12,-3,4,-2,5,-5,-1,1,-2,1,0,0,0,19,-20,0,0,0,0,0,0,0,0,0
mpb,USA,-2100000,625000,12,1,2,1,8,17,-26,5,-4,-3,0,-1,1,58,-59,0,0,0,0,0,0,0,0,0
mpb,USA,-2100000,6e+05,14,0,3,2,3,-5,2,21,-21,-5,3,-2,-2,48,-47,-1,0,0,0,0,0,0,0,0
mpb,USA,-2100000,575000,14,0,8,-6,2,25,-20,-2,-3,-3,-1,1,0,55,-57,0,0,0,0,0,0,0,0,0
mpb,USA,-2100000,550000,17,1,4,0,-3,30,-20,-11,4,2,-5,-1,2,59,-61,3,-4,24,-23,-1,0,0,0,0
mpb,USA,-2100000,525000,7,0,0,0,0,0,1,-1,1,-1,0,0,0,5,-2,10,-13,1,-1,491,-491,0,0,0
mpb,USA,-2100000,5e+05,6,0,0,0,0,0,0,0,0,0,0,0,8,-8,0,65,-52,-12,89,677,-767,0,0,0
mpb,USA,-2100000,475000,6,0,0,0,0,0,0,0,0,0,0,0,4,-3,1,-2,0,49,-41,418,-426,0,0,0
mpb,USA,-2100000,450000,9,0,0,0,0,0,0,0,0,0,0,0,36,-33,5,232,-229,0,21,309,-341,0,18,-18
mpb,USA,-2100000,425000,7,0,0,0,0,0,0,0,0,0,0,0,10,-9,50,5,27,-34,-49,43,-43,0,0,0
mpb,USA,-2100000,4e+05,6,0,0,0,0,0,0,0,0,0,0,0,34,-34,0,229,-227,91,-80,-13,0,0,6,-6
mpb,USA,-2100000,375000,5,0,0,0,0,0,0,0,0,0,0,1,-1,0,14,2,-16,0,16,-16,0,0,10,-10
mpb,USA,-2075000,650000,7,-2,0,3,0,-1,-1,-1,0,0,0,1,-1,11,-11,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,625000,9,0,1,0,3,12,-14,2,-4,1,0,-1,0,10,-10,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,6e+05,8,0,1,0,5,-5,4,-4,-1,0,0,2,-2,10,-10,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,575000,7,0,1,-1,0,26,-5,-21,3,-3,1,-1,1,15,-16,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,550000,10,1,2,6,-9,10,-3,-7,1,0,0,-1,2,25,-27,0,0,0,0,0,0,0,0,0
mpb,USA,-2075000,525000,14,-1,0,1,0,0,17,-15,-3,0,2,-2,14,3,-16,108,-109,9,-4,341,-346,0,0,0
mpb,USA,-2075000,5e+05,7,0,0,0,0,0,0,0,0,0,0,0,3,-1,-1,20,-17,-4,31,536,-567,0,0,0
mpb,USA,-2075000,475000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-6,0,0,40,-40,0,0,0
mpb,USA,-2075000,450000,7,0,0,0,0,0,0,0,0,0,0,0,17,-17,17,83,-99,26,8,-30,-5,0,0,0
mpb,USA,-2075000,425000,8,0,0,0,0,0,0,0,0,0,0,0,6,-6,16,2,-18,16,369,-143,-241,-1,2,-2
mpb,USA,-2075000,4e+05,5,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,8,12,-20,58,254,-312,0,0,0
mpb,USA,-2050000,7e+05,4,-1,0,1,1,-2,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0
mpb,USA,-2050000,625000,8,0,0,3,1,6,-10,4,-3,-1,2,-2,0,18,-17,-1,0,0,0,0,0,0,0,0
mpb,USA,-2050000,6e+05,5,0,4,-3,-1,11,-11,1,-1,0,0,0,0,19,-19,0,0,0,0,0,0,0,0,0
mpb,USA,-2050000,550000,9,0,0,2,0,2,0,-4,1,0,-1,1,-1,25,-24,-1,0,0,0,0,0,0,0,0
mpb,USA,-2050000,525000,7,0,0,0,0,0,2,-2,0,1,0,-1,10,-3,-7,25,-25,0,0,176,-176,0,0,0
mpb,USA,-2050000,5e+05,3,0,0,0,0,0,0,0,0,0,0,0,1,27,-28,0,0,0,0,53,-53,0,0,0
mpb,USA,-2050000,450000,11,0,0,0,0,0,0,0,0,0,2,8,2,2,99,22,-132,10,5,-17,22,-23,0,0
mpb,USA,-2050000,425000,7,0,0,0,0,0,0,0,0,0,0,2,6,-7,56,94,-145,-6,0,4,-4,0,0,0
mpb,USA,-2050000,4e+05,6,0,0,0,0,0,0,0,0,0,0,0,1,4,-2,28,-30,-1,0,15,-15,0,0,0
mpb,USA,-2050000,375000,3,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,47,-42,-5,0,0,0
mpb,USA,-2025000,7e+05,4,1,-1,1,-1,0,0,0,0,1,-1,0,0,5,-5,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,675000,7,0,0,0,1,-2,0,0,1,-1,0,0,0,5,-5,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,650000,11,-2,1,2,-1,1,-3,1,-1,1,0,1,1,33,-36,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,625000,10,0,1,2,-3,2,-1,0,0,-1,2,-2,2,9,-9,-2,0,0,0,0,0,0,0,0
mpb,USA,-2025000,6e+05,3,0,0,0,3,1,-4,0,0,0,0,0,0,11,-11,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,575000,6,0,1,-1,1,3,-3,-1,1,-1,0,0,0,9,-9,0,0,0,0,0,0,0,0,0
mpb,USA,-2025000,550000,7,0,0,2,-1,4,-5,5,-5,0,1,1,-2,30,-30,0,0,0,0,0,0,0,0,0
