SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
sb,USA,-1950000,1225000,7,21,-17,4,11,16,-35,0,5,-5,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
sb,USA,-1950000,1200000,3,32,-22,-7,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1950000,1175000,3,3,-2,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1925000,1225000,4,0,2,-1,-1,2,-2,0,0,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1925000,1200000,3,0,6,-4,-2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1900000,1200000,3,0,4,-4,5,-5,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1800000,1075000,3,-1,0,0,23,-17,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1800000,1e+06,3,0,0,0,0,0,5,12,-17,92,-92,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1775000,1075000,8,-44,0,1,21,-17,52,-57,2,16,-18,0,0,4,-4,0,0,0,0,0,0,0,0,0
sb,USA,-1750000,1275000,3,0,0,1,-1,24,-24,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1750000,1175000,3,0,0,1,-1,0,0,7,-7,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1750000,1125000,4,0,0,1,-1,1,-1,31,-30,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1750000,1100000,3,-2,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-6
sb,USA,-1725000,1300000,4,0,0,0,7,-7,0,1,-1,1,-1,0,0,0,0,0,0,0,0,5,-5,0,0,0
sb,USA,-1725000,1275000,6,0,0,0,39,-39,1,2,0,6,-9,0,20,-20,0,0,0,0,0,0,0,0,0,0
sb,USA,-1725000,1250000,7,-3,0,0,3,-3,3,-3,2,4,-6,0,17,-17,0,0,0,0,12,-12,0,0,0,0
sb,USA,-1725000,1225000,4,0,0,1,3,-4,0,0,2,-2,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
sb,USA,-1725000,1200000,6,0,0,0,15,-14,7,-8,0,6,-6,0,34,-34,0,0,0,0,2,-2,0,0,0,0
sb,USA,-1725000,1175000,8,-5,-9,0,37,42,-77,32,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1725000,1150000,8,37,-35,3,26,-4,-20,46,-53,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1725000,1075000,3,0,0,3,-3,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,4,-4
sb,USA,-1700000,1300000,6,0,0,0,0,0,0,0,0,0,0,10,-10,4,-4,15,-14,-1,0,3,37,-40,0,0
sb,USA,-1700000,1275000,22,-25,2,7,282,-139,-101,41,228,15,-137,121,576,-551,-166,590,-410,368,-416,111,91,-454,-5,-53
sb,USA,-1700000,1250000,20,-12,0,2,71,-58,-5,98,27,-43,-78,68,47,-120,4,169,-175,58,-14,-39,-4,-7,-1,0
sb,USA,-1700000,1225000,15,0,-2,3,28,28,-59,12,34,2,-28,-15,100,-105,4,3,19,-26,18,-18,0,0,0,0
sb,USA,-1700000,1200000,14,-1,0,8,1,1,-10,6,29,-6,-2,-27,79,-61,13,15,-16,-30,1,-1,0,0,0,0
sb,USA,-1700000,1175000,10,-2,0,20,-20,11,-11,2,-2,16,13,-29,4,-4,17,-14,-3,0,0,0,0,6,-6,0
sb,USA,-1700000,1150000,6,-1,-7,3,29,17,-49,13,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1675000,1275000,22,-79,0,3,155,-117,-37,13,26,305,4,105,462,-511,35,669,-372,-2,-562,773,-880,-63,3,-5
sb,USA,-1675000,1250000,18,-4,0,9,95,-71,37,-70,194,-68,86,45,323,-561,71,291,-168,-28,-137,115,-134,-29,0,0
sb,USA,-1675000,1225000,16,-9,7,-6,25,-19,0,0,1,5,29,-39,8,-8,18,-21,0,16,-13,-3,0,0,0,0
sb,USA,-1675000,1200000,4,0,0,2,-2,21,-21,0,4,2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1675000,1175000,5,2,-2,2,-2,0,0,0,0,1,15,-16,0,0,0,0,0,0,0,0,0,10,-10,0
sb,USA,-1675000,775000,4,-5,3,27,-28,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sb,USA,-1650000,1275000,19,-3,5,-5,10,44,65,80,100,-129,171,-61,67,-287,39,452,-244,104,-145,91,-348,-9,0,0
sb,USA,-1650000,1250000,18,-6,5,-5,146,362,-190,-29,325,-522,20,-84,137,-165,32,159,-124,-18,-5,36,-72,-8,0,0
sb,USA,-1650000,1225000,19,-13,9,6,45,473,-389,62,271,-392,128,-196,95,-49,-60,137,-58,-76,-3,13,-16,0,0,0
sb,USA,-1650000,1200000,7,0,0,0,2,-2,0,0,6,44,-44,-6,27,-27,0,33,-33,4,-4,0,0,0,0,0
sb,USA,-1625000,1275000,17,0,0,0,28,47,50,51,5,-74,57,-95,65,-108,-14,328,-189,-37,-84,12,-42,0,0,4
sb,USA,-1625000,1250000,18,0,0,0,23,-17,54,1,89,1,1,-87,12,-58,-7,149,-27,-46,-29,35,-85,-9,0,2
sb,USA,-1625000,1225000,6,-11,0,0,0,0,0,3,-3,37,-13,-24,1,-1,0,24,-24,0,0,0,0,0,0,0
sb,USA,-1625000,8e+05,3,0,30,-30,1,-1,0,0,0,0,0,0,0,36,-36,0,0,0,0,0,0,0,0,0
sb,USA,-1600000,1200000,6,0,0,0,52,-51,18,-19,0,1,-1,1,-1,0,0,0,3,-3,0,0,0,0,0,0
sb,USA,-1600000,1175000,5,0,0,0,27,-21,3,23,-32,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0
sb,USA,-1575000,1225000,5,0,0,0,0,1,-1,1,1,-2,27,-27,0,0,0,0,26,-26,0,0,0,0,0,0
