SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sm,USA,1350000,90000,4,0,0,0,0,0,0,0,0,26,-4,-9,-5,-8,0,0,0,0,0,0,0,0,0
sm,USA,1375000,290000,4,21,69,-47,-43,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0
sm,USA,1375000,265000,4,0,35,37,-72,0,3,-3,0,0,0,14,-14,0,0,0,0,0,0,0,0,0,0
sm,USA,1375000,140000,3,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0
sm,USA,1375000,115000,3,0,0,0,0,0,0,0,0,14,22,-8,-28,0,0,0,0,0,0,0,0,0,0
sm,USA,1400000,315000,5,9,46,-18,-37,0,0,0,0,0,0,0,1,-1,0,0,47,-47,0,0,0,0,0
sm,USA,1400000,290000,6,18,167,89,-274,0,2,-2,0,0,0,13,-12,-1,0,0,0,0,0,0,0,0,0
sm,USA,1400000,265000,5,0,41,63,-104,0,0,0,0,0,11,43,-53,-1,0,0,0,0,0,0,0,0,0
sm,USA,1400000,240000,3,0,0,0,0,0,0,0,0,51,21,114,-186,0,0,0,0,0,0,0,0,0,0
sm,USA,1400000,215000,4,0,0,0,0,0,0,0,0,97,-57,26,-61,-5,0,0,0,0,0,0,0,0,0
sm,USA,1400000,190000,4,0,0,0,0,0,0,0,0,60,-13,-44,2,-5,0,0,0,0,0,0,0,0,0
sm,USA,1400000,165000,3,0,0,0,0,0,0,0,0,6,11,-12,-5,0,0,0,0,0,0,0,0,0,0
sm,USA,1400000,140000,4,0,0,0,0,0,0,0,0,34,0,-25,-7,-2,0,0,0,0,0,0,0,0,0
sm,USA,1400000,115000,7,0,0,29,-29,22,-22,0,0,40,-8,-16,-14,-2,0,0,0,7,-7,0,0,0,0
sm,USA,1400000,90000,5,0,0,31,-31,6,-6,0,0,4,1,-2,-3,0,0,0,0,0,0,0,0,0,0
sm,USA,1425000,365000,3,0,0,0,0,0,0,0,0,6,-5,-1,0,0,0,0,56,-56,0,0,0,0,0
sm,USA,1425000,315000,5,0,0,5,-5,0,0,0,0,2,14,-13,0,-3,0,0,0,0,0,0,0,0,0
sm,USA,1425000,290000,7,0,1,44,-45,0,0,0,0,5,57,18,-65,-10,-5,0,0,0,0,0,0,0,0
sm,USA,1425000,265000,5,0,0,0,0,0,0,0,0,26,359,-178,-75,-79,-53,0,0,0,0,0,0,0,0
sm,USA,1425000,240000,5,0,0,6,-6,0,0,0,0,49,106,107,-258,-4,0,0,0,0,0,0,0,0,0
sm,USA,1425000,215000,6,0,0,26,-26,2,-2,0,0,6,44,7,-55,-2,0,0,0,0,0,0,0,0,0
