SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wbbb,USA,-1950000,1200000,3,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbbb,USA,-1925000,1225000,14,0,3,-3,2,0,2,-2,10,9,17,8,-46,17,-12,0,-5,33,-30,-3,0,0,0,0
wbbb,USA,-1925000,1200000,6,0,0,0,0,0,0,0,1,-1,1,4,-5,0,0,3,-3,1,-1,0,0,0,14,-14
wbbb,USA,-1900000,1225000,16,0,3,2,9,-13,-1,3,4,11,16,15,-37,36,-43,-5,0,16,-16,6,22,8,-36,0
wbbb,USA,-1900000,1200000,18,2,0,-1,-1,0,0,140,-114,30,141,-77,-70,3,-31,-17,-5,1,26,-13,-9,-2,28,-31
wbbb,USA,-1900000,1175000,5,0,0,0,2,-2,0,0,0,0,4,-2,-2,0,0,0,1,0,-1,0,0,0,0,0
wbbb,USA,-1900000,950000,3,0,0,0,1,-1,2,-2,0,0,0,0,0,0,18,-18,0,0,0,0,0,0,0,0
wbbb,USA,-1875000,1200000,13,0,1,-1,0,0,0,28,-28,0,44,-25,-7,-2,-9,2,-3,0,5,20,-24,14,-13,-2
wbbb,USA,-1875000,950000,3,0,-1,0,0,0,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbbb,USA,-1850000,1e+06,7,0,0,0,0,0,2,2,-2,12,5,-17,-2,0,0,0,0,4,-4,0,0,0,0,0
wbbb,USA,-1850000,975000,7,-2,0,0,0,10,-10,0,0,2,-2,0,0,0,0,0,0,6,-5,-1,0,4,-4,2
wbbb,USA,-1850000,950000,3,-3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wbbb,USA,-1825000,1075000,10,0,0,2,-2,4,1,0,-4,-1,18,-14,-4,0,1,-1,0,0,0,0,0,1,0,-1
wbbb,USA,-1825000,1050000,7,0,0,3,-3,0,0,3,4,0,-7,0,1,-1,0,0,0,0,0,0,7,-7,0,1
wbbb,USA,-1825000,1025000,9,0,0,1,-1,0,1,6,-7,2,13,-15,0,2,-2,0,0,0,0,9,-9,3,-3,1
wbbb,USA,-1825000,1e+06,16,-5,0,4,33,-11,10,112,-72,-44,93,-46,-79,10,-10,0,15,-15,1,-1,30,-20,-10,5
wbbb,USA,-1825000,975000,12,0,240,-240,166,-48,-40,547,-551,-36,-35,26,-17,-7,-5,0,0,0,0,0,0,0,0,1
wbbb,USA,-1800000,1150000,3,0,0,0,0,0,0,0,3,-3,0,0,2,-2,0,0,0,0,0,0,1,-1,0,0
wbbb,USA,-1800000,1125000,3,0,0,0,0,0,0,0,1,-1,0,7,-7,0,0,1,-1,0,0,0,0,0,0,0
wbbb,USA,-1800000,1075000,14,0,1,-1,9,-4,23,-22,-6,13,211,-115,-103,-6,19,-19,0,0,0,51,-47,4,-8,1
wbbb,USA,-1800000,1050000,19,-1,1,0,0,29,-28,1,16,-19,16,-1,-9,1,-7,0,9,-8,8,67,-54,-14,8,-16
wbbb,USA,-1800000,1025000,21,-7,4,-4,52,-53,10,68,21,-69,93,-120,-3,4,-3,-1,6,3,-8,2,-2,12,17,-23
wbbb,USA,-1800000,1e+06,17,15,0,-14,19,-20,0,74,15,-89,7,2,-9,0,22,-15,7,-8,-6,2,13,12,-20,16
wbbb,USA,-1800000,975000,3,0,0,0,0,22,-22,0,0,0,0,0,3,-3,0,2,-2,0,0,0,0,0,0,0
wbbb,USA,-1800000,950000,3,-3,0,0,0,0,11,20,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbbb,USA,-1775000,1300000,5,0,0,0,1,-1,0,1,-1,0,1,5,-6,0,0,0,0,0,0,0,0,5,-5,0
wbbb,USA,-1775000,1275000,4,6,-6,0,0,0,0,5,-5,0,0,0,0,0,0,0,0,0,3,-3,0,4,-4,0
wbbb,USA,-1775000,1150000,3,0,0,0,0,0,0,0,0,5,-5,0,0,0,5,-5,0,0,0,0,0,0,0,2
wbbb,USA,-1775000,1125000,11,0,0,1,-2,0,5,-5,0,7,-3,-2,-2,0,1,-1,0,0,0,0,0,0,25,62
wbbb,USA,-1775000,1100000,9,2,-1,-1,0,0,0,3,2,-5,2,1,1,-4,0,0,0,0,0,0,0,1,0,-1
wbbb,USA,-1775000,1075000,18,-43,-1,0,63,-49,161,-167,10,-9,216,-215,7,21,-45,15,-9,-6,0,0,9,-9,0,2
wbbb,USA,-1775000,1050000,12,0,3,-5,38,-33,73,-52,10,-13,113,-136,0,2,-2,0,0,0,0,0,0,3,-3,0
wbbb,USA,-1775000,1025000,11,7,-6,1,-2,2,-2,37,63,-100,1,-1,0,0,1,5,-6,0,0,0,32,-32,2,-2
wbbb,USA,-1775000,950000,5,-4,15,-13,30,-32,0,44,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wbbb,USA,-1750000,1275000,7,2,-2,0,2,-2,4,-4,0,12,-12,0,0,0,0,0,0,1,-1,0,0,1,0,-1
wbbb,USA,-1750000,1225000,8,15,-14,-1,0,0,8,-1,-7,12,-12,0,0,0,0,1,1,-2,0,0,0,0,2,-2
wbbb,USA,-1750000,1200000,12,0,0,0,1,-1,9,19,-28,2,4,-4,1,-3,0,1,0,-1,1,-1,4,-4,0,3
