SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wpb,USA,-2175000,425000,6,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,-1,5,23,-28,2,-2,0
wpb,USA,-2175000,4e+05,4,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,12,-12,0,1,-1
wpb,USA,-2175000,375000,5,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,1,16,-2,-15,0,1,-1
wpb,USA,-2175000,350000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,5,-5,0,89,-84,-5
wpb,USA,-2175000,325000,6,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,4,-3,0,3,-4,16,-16,0
wpb,USA,-2175000,275000,9,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,1,0,5,12,-17,50,-51,0
wpb,USA,-2175000,250000,8,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,-7,0,21,-4,-13,92,-96,0
wpb,USA,-2175000,225000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,20,-15,-5,19,-19,0
wpb,USA,-2175000,175000,3,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,3,-3,15,-15,0,0,0,0
wpb,USA,-2175000,150000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-7,2,-2,0,0
wpb,USA,-2150000,6e+05,3,0,0,0,0,12,-12,1,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0
wpb,USA,-2150000,525000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,32,-49,0,131,-131
wpb,USA,-2150000,5e+05,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,31,-31,0,6,-6,0
wpb,USA,-2150000,475000,6,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,1,3,8,-12,12,14,-26,0
wpb,USA,-2150000,450000,4,0,0,0,0,0,0,0,0,0,0,0,12,-12,2,-2,11,-6,-5,0,0,0,0,0
wpb,USA,-2150000,425000,6,0,0,0,0,0,0,0,0,0,0,0,13,-7,-5,-1,1,-1,41,48,-89,0,0,0
