SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
wsbw,USA,-1850000,975000,4,0,0,0,0,0,0,0,0,59,-59,0,0,7,-7,12,-8,-4,0,0,0,0,0,0
wsbw,USA,-1850000,950000,3,12,-12,0,0,0,0,0,0,14,-14,0,0,0,0,62,-62,0,0,0,0,0,0,0
wsbw,USA,-1825000,1050000,4,0,0,0,270,-258,-12,14,-14,34,-34,0,0,0,0,0,0,0,0,0,0,0,0,0
wsbw,USA,-1825000,1025000,6,0,0,5,175,-99,-81,0,0,4,0,15,-19,0,0,0,0,0,0,0,0,0,0,0
wsbw,USA,-1825000,1e+06,14,379,-473,2024,-720,-1468,92,-71,11,-22,-7,-18,0,0,0,21,67,-79,-9,0,0,0,0,0
wsbw,USA,-1825000,975000,14,4283,-3397,625,-1421,-1485,209,-243,-7,929,-95,-740,-94,0,99,113,-143,-69,0,0,0,0,0,0
wsbw,USA,-1825000,950000,7,111,-113,47,1,-50,0,0,0,22,-22,0,0,0,2,-2,0,0,0,0,0,0,0,0
wsbw,USA,-1800000,1075000,13,0,0,71,222,117,169,-217,109,436,-371,-368,-135,-20,-13,0,68,-68,131,-131,0,0,0,0
wsbw,USA,-1800000,1050000,16,0,0,801,1313,-91,1127,-846,-628,2008,-1976,-1391,-317,13,3,-16,68,-22,-2,-24,-20,9,-9,0
wsbw,USA,-1800000,1025000,15,50,105,4555,-2008,-2320,1300,1157,211,521,-2830,-720,6,-27,3,-3,0,0,26,-26,0,1,-1,0
wsbw,USA,-1800000,1e+06,17,5194,-2343,4160,-2936,-4926,229,481,-105,798,-940,-468,-26,0,56,82,-118,30,-50,0,0,16,-16,0
wsbw,USA,-1800000,975000,6,5920,-5924,-821,-1692,-1124,0,0,0,0,0,0,0,0,4,-4,0,0,0,0,0,0,0,0
wsbw,USA,-1800000,950000,9,2619,-3611,-324,-739,0,0,0,0,0,2,-2,6,81,-87,5,-5,11,-11,0,0,0,0,0
wsbw,USA,-1775000,1125000,13,0,0,0,90,-90,0,19,83,177,70,139,-77,252,-92,173,-560,-127,-37,-20,0,0,0,0
wsbw,USA,-1775000,1100000,17,0,0,0,52,-52,55,107,34,248,145,310,-468,400,211,-293,-536,-58,34,-156,-7,-25,-1,0
wsbw,USA,-1775000,1075000,18,0,0,19,193,-184,300,-93,862,308,-177,-515,-305,151,169,45,-508,-219,66,-95,-10,-7,0,0
wsbw,USA,-1775000,1050000,19,0,1,92,481,-156,776,243,948,296,-1782,-881,196,199,-60,-54,-184,-115,40,-33,-7,14,-13,-1
wsbw,USA,-1775000,1025000,16,12,77,852,381,-1220,339,711,659,-47,-1557,-160,-38,-9,19,-17,-2,0,9,-9,0,26,-26,0
wsbw,USA,-1775000,1e+06,7,756,-859,223,-94,-307,0,46,-46,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0
wsbw,USA,-1775000,975000,5,1652,-1946,200,-360,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wsbw,USA,-1775000,950000,7,223,-735,46,-502,-287,0,0,0,0,0,0,5,-5,0,0,0,2,-2,0,0,0,0,0
wsbw,USA,-1750000,1175000,10,0,0,1,-1,0,0,0,45,-27,-6,21,67,-27,0,86,-85,-74,0,0,0,0,0,0
wsbw,USA,-1750000,1150000,12,0,0,0,0,0,0,43,56,172,-107,433,-293,-88,157,10,-281,-84,-18,36,-36,0,0,0
wsbw,USA,-1750000,1125000,14,0,0,0,0,0,78,187,432,1437,-193,525,-721,-612,102,-227,-866,-66,54,-40,-90,0,0,0
wsbw,USA,-1750000,1100000,15,0,0,0,0,0,329,207,1269,1224,-634,1261,-641,-58,81,-398,-1306,-713,-212,-346,-55,-8,0,0
wsbw,USA,-1750000,1075000,14,0,0,0,0,0,8,-8,106,513,-266,-10,185,181,118,119,-527,-239,722,-796,-91,-15,0,0
wsbw,USA,-1750000,1050000,10,0,0,0,3,-3,0,0,0,13,5,-18,2,-2,1,4,-4,3,30,-18,-16,0,0,0
wsbw,USA,-1750000,7e+05,9,0,0,0,0,128,-31,34,-131,325,202,-458,-69,313,191,-13,-491,0,0,0,0,0,0,0
wsbw,USA,-1750000,675000,7,0,0,0,0,0,8,-8,0,64,390,-395,-59,185,507,176,-868,0,0,0,0,0,0,0
