SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
CA,-2103963.8779,1580940.4511,1999,4.48,4.53,6.05,11.19,12.33,14.78,19.53,20.39,18.51,11.92,6.77,4.98,0.86,0.08,0.31,1.5,3.85,7.78,9.58,11.41,7.95,4.8,2.92,0.78,406.29999,611.07001,300.79001,102.88,94.6,117.7,28.86,105.72,80.79,219.09,450.76001,363.13
CA,-2103963.8779,1580940.4511,2000,3.1,6.25,7.71,11.19,13.3,17.77,19.8,19.76,17.59,12.27,6.63,3.91,-0.75,0.29,1.55,2.92,4.62,8.05,10.49,10.37,8.8,5.72,1.9,-0.06,242.94,192.8,241.81,140.21001,143.8,102.53,94.18,67.6,109.68,270.5,209.94,214.42
CA,-2103963.8779,1580940.4511,2001,5.67,6.13,7.87,10.31,13.08,15.32,19.45,18.89,17.15,11.06,7.12,3.97,1.04,-0.69,1.04,2.27,4.77,7.32,9.87,10.88,9.11,4.94,3.01,-0.04,207.97,115.53,225.09,187.36,133.41,83.73,17.56,233.7,103.78,322.26001,469.04999,385.39001
CA,-2103963.8779,1580940.4511,2002,4.46,5.96,5.47,11.3,13.14,17.61,20.36,21.77,18.02,12.52,8.74,5.57,0.8,0.18,-0.47,2.31,4.54,8.5,10.21,10.63,8.89,5.31,3.79,1.88,320.57001,214.45,194.66,108.18,71.32,97.07,34.1,17.34,115.69,62.05,482.92999,358.64999
CA,-2103963.8779,1580940.4511,2003,7.17,6.95,7.32,9.92,13.58,19.27,21.08,21.17,18.82,12.55,5.6,4.65,2.79,0.66,1.78,2.72,5.2,8.74,10.91,10.68,9.44,7,-0.26,0.41,399.95001,76.01,408.22,253.86,129.32001,53.25,62.08,52.6,113.1,489.59,220.97,412.07999
CA,-2103963.8779,1580940.4511,2004,4.33,7.52,8.98,14.2,15.91,20.21,22.29,22.09,16.44,12.1,7.2,5.42,0.56,1.47,2.18,3.47,6.59,8.97,11.75,12.37,8.95,5.91,3.38,1.75,367.60001,152.86,245.50999,55,76.11,56.83,56.38,139.63,160.07001,277.42001,538.71997,288.17999
CA,-2103963.8779,1580940.4511,2005,4.95,7.88,9.89,11.88,16.44,16.97,19.59,21.58,17.41,10.94,5.83,5.36,0.54,-0.34,2.83,3.55,7.66,9.25,10.88,11.47,8.33,6.3,1.61,1.31,432.88,101.48,296.51001,268.51999,175.14999,74.5,133.78999,58.1,105.04,476.06,333.22,361.63
CA,-2103963.8779,1580940.4511,2006,5.35,5.53,6.47,10.72,15.7,18.81,21.07,21.19,19.16,12.53,5.14,4.48,1.83,-1.02,0.32,3.12,5.78,8.98,11.19,10.42,9.05,4.97,0.7,0.72,540.02002,176.27,292.38,129.83,72.8,47.16,51.47,14.95,82.96,181.02,556.65997,474.73001
CA,-2103963.8779,1580940.4511,2007,4.33,5.63,6.95,9.76,14.45,15.82,20.96,19.83,16.83,10.53,6.23,3.19,-0.52,1.34,1.42,2.7,5.11,8.09,11.37,10.81,8.6,5.34,1.62,-0.66,502.14999,280.16,377.98001,211.13,76.95,130.28,92.83,79.91,139.53999,400.26999,355.54001,391.25
CA,-2103963.8779,1580940.4511,2008,2.99,6.11,6.22,8.83,14.73,15.76,19.88,19.74,17.87,10.91,8.14,2,-1.16,0.35,0.2,1.12,5.86,7.4,9.93,10.4,8.76,4.85,3.91,-1.98,332.51001,209.83,197.08,71.51,79.85,65.59,60.34,154.66,32.61,282.07001,371.67001,217.71001
CA,-2103963.8779,1580940.4511,2009,3.45,5.48,5.52,11.03,14.36,19.21,23.14,20.85,17.83,11.63,6.54,2.98,-1.33,-1.06,-0.48,2.08,5.01,9.31,11.06,10.99,9.41,5.27,2.2,-1.47,297.10999,111.1,223.3,98.64,114.63,48.09,29.31,45.04,175.44,296.60999,610.77002,150.96001
CA,-2103963.8779,1580940.4511,2010,6.87,7.93,8.06,10.54,13.25,16.01,22.03,21.23,16.6,12.37,5.5,4.11,3.18,2.64,1.87,2.69,5.22,8,10.03,10.65,9.64,6.68,1.24,0.57,399.92001,226.73,267.69,195.87,115.64,73.83,5.39,43.97,200.46001,369.73999,297.20999,495.67001
CA,-2103963.8779,1580940.4511,2011,4.27,3.94,6.64,8.45,12.44,16.08,17.89,20.42,18.7,11.21,5.58,4.15,0.36,-1.07,1.05,0.94,4.98,8.42,10.07,10.66,9.77,5.35,0.87,0.35,306.06,266.20001,352.54001,154.41,125.85,43.84,85.09,59.38,245.07001,255.36,384.29001,240.35001
CA,-2103963.8779,1580940.4511,2012,3.62,6.02,5.68,10.36,14.04,14.87,20.06,21.06,19.54,11.98,6.83,3.17,-0.77,0.55,-0.38,2.81,4.84,7.73,10.41,11.36,8.54,5.37,2.93,0.13,530.72998,226.24001,328.76001,162.45,83.38,157.49001,36.07,27.51,25.49,301.82001,380.62,345.35999
CA,-2103963.8779,1580940.4511,2013,3.82,5.63,8.38,11.21,14.95,17.06,22.36,20.75,18.3,12.42,6.64,3.56,-0.26,1.64,1.53,3.3,6.6,9.29,10.57,11.99,10.39,5.75,2,-0.36,154.27,307.54999,178.19,157.37,129.64,93.14,4.57,115.61,201.84,75.51,197.52,143.22
CA,-2103963.8779,1580940.4511,2014,5.61,3.82,7.55,10.8,15.93,17.81,21.73,23.23,19.58,13.03,7.61,5.53,1,-1.69,1.75,3.52,7.52,8.7,11.33,11.83,10.13,8.7,2.07,1.31,175.45,211.94,302.39001,163.57001,77.38,54.3,68.74,18.27,97.49,503.42999,326.57999,360.34
CA,-2103963.8779,1580940.4511,2015,7.09,9.31,9.88,10.98,17.45,20.53,22.69,21.6,16.15,13.95,6.45,4.73,2.69,3.56,3.85,2.97,7.22,9.66,11.8,11.51,8.77,7.7,0.54,0.87,236.05,234.69,330.73999,161.71001,17.61,27.47,38.28,118.79,180.66,260.34,224.48,483.79999
CA,-2103963.8779,1580940.4511,2016,4.73,7.55,8.93,13.76,18.06,17.89,20.41,22.97,16.81,11.3,8.19,1.88,0.1,2.14,2.55,5.34,6.79,8.94,11.61,11.75,8.52,6.26,4.55,-2.44,358.69,324.64999,403.89001,128.71001,26.04,105.7,53.97,119.94,129.64999,407.75,709.28998,294.41
CA,-2103963.8779,1580940.4511,2017,3.86,4.61,6.21,10.08,15.5,18.02,21.23,23.37,19.5,12.56,6.49,3.91,-0.98,-1.36,0.73,3.26,6.1,8.44,10.37,11.79,10,5.02,2.27,-0.47,230.5,224.19,353.57001,234.32001,133.2,91.33,23.6,33.02,103.53,296.73999,548.78998,126.22
CA,-2103963.8779,1580940.4511,2018,5.2,4.8,7.53,9.64,17.61,16.93,23.14,22.61,16.7,12.58,8.09,5.01,1.47,-0.92,0.41,3.23,7.23,8.78,11.24,11.45,9.11,5.59,3.47,0.45,564.90002,196.00999,151.86,176.22,36.64,134.36,22.23,11.37,242.55,193.74001,387.67001,541.13
