SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
CA,-1678963.8779,1280940.4511,1999,0.68,2.76,6.01,12.13,14.69,19.26,23.48,25.51,20.32,11.94,5.43,0.28,-7.93,-8.24,-6.07,-3.15,0.18,4.56,5.77,8.53,1.58,-2.42,-2.85,-7.29,35.28,32.67,27.16,17.82,41.25,44.85,27.87,48.05,8.78,21.09,49.17,32.81
CA,-1678963.8779,1280940.4511,2000,-1.47,2.34,6.82,14.19,15.42,20.4,24.85,25.39,19.04,12.44,0.93,-3.56,-11.01,-8.06,-4.33,-1.22,1.36,4.92,6.58,5.96,2.77,-1.83,-7.75,-11.72,42.11,24.71,29.47,27.45,35.1,39.76,23.68,16.22,23.62,20.66,21.99,29.34
CA,-1678963.8779,1280940.4511,2001,-0.67,1.29,7.26,10.85,18.51,18.83,25.07,26.74,22.49,10.53,5.21,-0.97,-9.15,-10.69,-5.07,-2.22,1.79,4.24,7.47,7.62,3.99,-2.2,-3.87,-9.01,18.67,13.92,29.82,29.04,23.94,57.38,33.8,19.07,14.93,32.21,38.26,43.43
CA,-1678963.8779,1280940.4511,2002,0.04,2.84,3.27,11.82,14.91,22.56,26.9,25.43,20.56,12.96,4.79,0.4,-8.91,-9.16,-8.01,-1.93,1.45,5.83,7.97,6.15,3,-3.7,-5.14,-6.3,36.78,21.36,24.27,19.08,46.07,22.71,14.41,16.4,12.83,4.87,23.17,53.87
CA,-1678963.8779,1280940.4511,2003,0.4,3.79,7.05,11.19,15.8,22.74,28.3,27.2,22,14.31,0.79,-1.59,-6.93,-8.49,-4.67,-0.94,1.89,6.11,8.37,7.46,4.1,0.57,-9.07,-10.13,51.69,14.29,37.99,45.44,28.7,22.83,3.1,3.84,15.71,46.69,36.93,29.42
CA,-1678963.8779,1280940.4511,2004,-2.17,2.87,9.44,15.21,16.72,22.71,26.93,26.05,18.14,12.94,3.83,0.23,-10.3,-7.91,-4.14,-1.2,2.18,5.8,8.36,9.39,3.58,-0.64,-5.1,-7.62,53.72,20.16,26.49,21.14,63.01,65.67,12.04,77.03,42.92,34.46,29.16,43.33
CA,-1678963.8779,1280940.4511,2005,-2.8,4.88,8.96,13.28,18.56,19.09,25.44,27.03,19.42,11.97,1.18,-3.27,-11.38,-10.07,-4.17,-1.36,3.69,5.43,7.25,6.7,2.63,0.28,-6.27,-11.98,40.04,6.26,29.93,26.62,46.34,85.68,15.56,12.97,14.89,35.1,43.57,33.24
CA,-1678963.8779,1280940.4511,2006,2.05,2.25,6.46,12.3,17.95,21.75,27.96,25.69,21.85,12.98,1.34,-2.15,-6,-10.69,-5.58,-0.75,1.99,6.69,9.21,6.21,3.96,-1.34,-7.13,-11.33,61.25,29.47,21.54,43.21,52.55,52.55,20.91,4.25,14.46,17.68,72.1,45.93
CA,-1678963.8779,1280940.4511,2007,-2.69,2.41,7.99,11.9,18.61,20.3,28.18,25.05,20.16,10.73,2.87,-2.06,-13.16,-6.93,-4.24,-1.94,1.87,5.4,9.91,6.57,3.3,-1.56,-6.97,-10.84,29.06,30.03,24.44,14.87,21.87,53.43,27.77,8.73,20.94,27.26,23.51,52.76
CA,-1678963.8779,1280940.4511,2008,-2.91,3.24,5.68,9.35,18.47,20.34,26.25,25.11,20.96,11.93,3.77,-5.08,-12.99,-9.02,-6.13,-4.31,3.27,4.71,7.48,7.12,2.32,-2.07,-4.49,-14.3,34.38,15.23,20.21,18.63,28.57,50.46,12.39,49.34,9,18.6,43.98,42.34
