SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
CA,1196036.1221,755940.451099999,1999,-4.73,0.04,3.06,11.84,19.88,23.55,25.54,23.23,21.32,11.62,7.19,0.74,-14.81,-10.5,-7.33,0.45,6.9,12.59,15.71,12.77,10.42,3.13,-0.19,-7.6,126.25,42.31,15.64,24.77,68.19,82.08,88.5,59,102.12,95.05,84.1,114.98
CA,1196036.1221,755940.451099999,2000,-4.55,-0.56,6.16,9.56,16.69,20.54,22.97,23.04,18.2,13.77,4.91,-5.6,-15.03,-11.51,-4.03,-0.66,6.29,10.34,12.86,12.94,8.68,4.22,-2.13,-14.95,55.1,53.38,40.48,43.3,87.52,95.83,69.22,86.03,84.71,41.04,112.9,115.31
CA,1196036.1221,755940.451099999,2001,-2.77,-2.86,1.94,11.09,17.89,22.87,24.22,25.9,18.64,12.81,8.63,2.73,-12.42,-13.01,-8.03,0.27,7.22,11.63,13.25,15.01,9.75,4.79,1.41,-3.98,61.56,81.91,39.21,42.24,103.5,55.94,20.89,90.96,140.39999,175.59,92.78,109.82
CA,1196036.1221,755940.451099999,2002,-0.45,-0.4,1.12,9.25,13.5,21.44,26.12,25.14,22.79,10.18,3.74,-0.09,-8.18,-11.21,-9.3,-0.07,3.9,11.39,14.91,13.91,12.09,1.86,-3.45,-7.99,49.31,89.8,78.91,80.05,91.14,74.55,37.99,47.99,62.95,77.16,91.32,65.83
CA,1196036.1221,755940.451099999,2003,-7.03,-6.12,1.53,7.42,15.91,22.2,23.8,24.61,19.8,11.15,6.34,0.68,-17.4,-18.27,-9.78,-3.46,5.13,9.99,13.99,14.45,10.26,3.36,-0.61,-7.04,95.51,53.66,67.76,59.98,86.24,68.88,77.64,60.21,105.18,115.51,128.74001,71.27
CA,1196036.1221,755940.451099999,2004,-9.5,-1.58,3.4,9.61,14.9,20.18,23.63,22.06,22.24,13.32,6.32,-2.38,-19.35,-12.81,-5.63,-0.97,4.93,9.34,13.43,12.35,11.02,4.75,-0.89,-11.81,91.45,41.15,90.38,44.02,140.86,48.08,81.42,59.71,23.12,103.38,79.69,131.21001
CA,1196036.1221,755940.451099999,2005,-5.71,-1.41,1.48,11.24,16.33,24.73,26.83,25.14,22.16,13.74,6.63,-2.21,-16.53,-11.59,-10.87,0.19,4.44,13.95,14.93,14.59,11.35,5.85,-1.69,-9.53,84.6,42.99,39.36,74.51,22.99,55.1,43.94,77.25,84.77,43.8,139.85001,97.43
CA,1196036.1221,755940.451099999,2006,-0.13,-3.75,3.42,11.93,18.13,22.82,25.88,24.02,18.09,10.62,6.35,2.36,-8.05,-13.68,-6.89,0.47,7.28,11.66,15.84,12.91,8.81,2.95,0.48,-4.36,92.71,106.76,49.97,63.23,67.73,37.76,80.11,44.29,91.58,150.71001,76.79,98.15
CA,1196036.1221,755940.451099999,2007,-2.6,-6.01,3.13,9.18,18.18,23.41,23.89,24.76,21.28,15.83,4.79,-1.75,-11.65,-16.32,-7.59,-0.27,5.6,11.43,13.08,13.69,10.49,6.99,-2.94,-9.37,76.44,63.94,62.17,73.28,47.47,61.57,76.02,48.24,53.66,100.07,82.35,106.66
CA,1196036.1221,755940.451099999,2008,-1.38,-3.89,0.23,12.43,14.78,21.64,23.98,23.76,19.75,12.08,4.85,-2.23,-9.74,-13.87,-9.84,1.01,3.63,12.08,14.34,12.68,8.98,2.58,-2.1,-11.84,138.39,83.97,65.51,61.54,105.02,97.51,78.41,72.49,88.05,67.93,106.57,168.81
CA,1196036.1221,755940.451099999,2009,-6.99,-2.17,2.99,10.01,15.86,20.93,21.64,22.78,20.45,10.43,8.76,-1.57,-18.13,-13.11,-7.85,-0.32,4.1,10.09,12.31,13.16,9.46,2.88,0.78,-9.43,73.24,85,51.89,100.97,71.9,69.79,80.48,72.44,51.29,137.39999,51.06,104.39
CA,1196036.1221,755940.451099999,2010,-3.71,-2.43,8.39,13.9,19.73,20.86,25.9,25,18.13,12.87,7.05,-2.64,-12.07,-11.14,-3.7,2.07,7.68,11.45,15.46,15.11,9.7,3.3,-1.42,-8.62,50.1,26.33,7.06,42.72,52.53,113.57,40.5,78.02,149.88,54.33,70.04,73.98
CA,1196036.1221,755940.451099999,2011,-6.27,-2.69,1.26,9.19,17.5,21.61,26.77,24.84,20.65,13.82,8.39,1.29,-16.07,-13.2,-9.08,-1.01,6.75,10.75,15.51,14.37,10.12,5.24,0.91,-6.71,78.59,46.41,62.93,127.47,72.59,77.23,54.86,66.46,82.3,127.85,97.24,69.37
CA,1196036.1221,755940.451099999,2012,-1.28,0.27,9.22,9.76,19.94,23.34,27.23,24.54,19.47,12.78,5.19,0.83,-10.95,-8.8,-2.19,-0.64,7.12,12.55,15.08,14.38,8.95,4.93,-2.08,-7.17,86.41,44.73,52.4,53.41,20.69,74.71,33.65,99.71,96.07,136.92999,47.79,68.85
CA,1196036.1221,755940.451099999,2013,-2.15,-3.56,1.77,8.03,18.39,21.42,25.03,23.83,19.36,13.79,4.06,-4.98,-12.43,-12.67,-6.43,-1.39,6.12,11.23,14.39,13.06,8.28,4.65,-3.73,-13.26,146.78999,74.62,48.08,126.98,89.37,60.82,70.24,74.88,71.8,152.89999,100.96,92.6
CA,1196036.1221,755940.451099999,2014,-6.8,-6.36,-1.7,8.22,16.72,22.67,22.34,22.86,19.53,12.34,3.13,0.1,-16.5,-16.38,-14.01,-1.67,5.44,11.3,12.55,12.68,9.21,4.87,-4.06,-6.97,118.44,45.55,54.94,91.02,68.67,78.1,103.31,110.64,100.64,123.05,104.34,61.68
