SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
CA,-1628963.8779,1530940.4511,1999,-1,1.13,3.36,9,11.74,15.37,19.22,21.86,15.63,7.59,2.61,-1.57,-7.27,-6.92,-5.63,-2.94,0.17,4.5,6.55,8.65,1.84,-1.89,-3.53,-7.17,101.6,57.69,50.68,36.51,87.6,112.9,105.08,53.01,47.98,53.44,73.18,72.99
CA,-1628963.8779,1530940.4511,2000,-3.87,-0.38,4.06,9.24,12.29,17.09,20.18,20.4,14.51,8.1,-0.98,-4.9,-11.32,-9.12,-5.03,-2.08,0.75,4.57,7.48,5.92,2.99,-0.7,-6.04,-11.16,75.36,30.05,65.24,52.27,68.36,74.46,93.42,40.76,55.28,56.91,27.04,74.73
CA,-1628963.8779,1530940.4511,2001,-1.42,-2.01,4.08,8.11,14.03,16.05,20.44,21.83,17.53,6.32,3.57,-3.23,-8.19,-12.05,-5.8,-2.65,1.42,3.63,7.31,7.11,3.67,-2.26,-3.45,-9.85,32.65,26.62,65.61,33.87,44.87,84.88,97.08,34.23,35.83,68.96,52.23,82.39
CA,-1628963.8779,1530940.4511,2002,-2.57,-0.23,-0.72,7.95,11.72,19.9,22.37,21.52,15.08,7.82,2.58,-0.93,-9.2,-9.34,-11.18,-3.23,0.67,5.13,7.91,5.64,2.64,-3.26,-4.37,-6.34,75.79,44.18,54.06,41.89,95.77,49.26,33.17,43.05,40.9,20.29,40.53,61.39
CA,-1628963.8779,1530940.4511,2003,-0.46,0.77,3.22,8.91,12.71,19.49,24.7,24.12,17.04,9.99,-2.24,-2.16,-6.88,-8.13,-5.91,-1,1.41,5.33,7.33,6.84,2.76,0.18,-10.43,-9.1,60.13,21.08,71.61,66.33,59.17,61.06,11.25,10.92,34.73,85.18,73.14,42.38
CA,-1628963.8779,1530940.4511,2004,-4.78,0.89,5.84,12.48,14.04,20.81,23.59,22.24,13.23,7.8,1.09,-1.7,-11.33,-7.95,-4.45,-1.76,2.26,5.65,8.37,8.78,3.3,-0.9,-4.58,-7.44,90.84,28.25,51.92,41.69,93.53,62.1,44.25,100.09,87.58,69.15,84.02,77.65
CA,-1628963.8779,1530940.4511,2005,-5.66,1.5,5.87,11.23,16.67,15.97,19.97,22.09,13.57,7.78,-0.39,-3.59,-12.36,-9.34,-4.31,-2.2,2.89,5.59,7.5,6.39,2.52,0.45,-5.26,-10.31,82.9,24.95,42.32,20.06,57.64,135.62,60.92,39.65,83.24,97.12,71.17,39.23
CA,-1628963.8779,1530940.4511,2006,1.01,-0.84,4.1,10.4,15.02,19.34,23.99,22.08,17.6,8.47,-1.39,-1.79,-5.01,-10.25,-6.53,-1.52,1.75,6.2,8.87,6.23,4.07,-2.01,-7.86,-8.58,96.24,36.73,30.45,31.94,79.11,62.04,50.44,34.15,55.02,38,127.93,68.21
CA,-1628963.8779,1530940.4511,2007,-3.62,0.11,4.68,8.62,15.91,17.16,24.06,20.57,14.56,7.35,0.19,-3.89,-11.79,-7.39,-4.44,-3.04,0.97,5.46,8.48,5.79,2.42,-0.69,-6.78,-11.07,79.17,38.42,55.21,25.56,18.66,93.5,32.54,42.76,68.71,70.33,52.62,90.44
CA,-1628963.8779,1530940.4511,2008,-3.99,1.14,3.03,5.85,14.95,17.65,22.04,21.43,16.72,7.92,2.91,-7.82,-12.4,-9.35,-7.35,-4.73,2.66,4.52,7.05,6.99,1.96,-1.66,-3.9,-15.47,62.11,47.49,36.04,38.71,39.38,61.3,38.12,54.22,27.01,55.13,59.37,101.59
CA,-1628963.8779,1530940.4511,2009,-4.18,-1.31,0.79,8.65,14.66,19.75,25.33,23.27,18.62,5.6,2.88,-7.06,-11.96,-11.63,-9.15,-3.8,0.92,4.3,8.19,7.55,4.62,-2.48,-3.88,-14.75,61.83,51.14,38.87,20.91,39.87,38.94,32.67,25.03,52.71,96.25,61.52,53.31
CA,-1628963.8779,1530940.4511,2010,0.51,2.51,6.26,10,12.85,17.11,23,20.93,13.91,10.3,-1.56,-2.18,-6.16,-4.12,-4.18,-2.57,0.68,5.05,6.71,6.78,4.48,0.2,-8.16,-8.5,35.02,26.13,42.77,27.32,65.4,80.23,32.18,55.69,87.98,25.04,70.72,41.14
CA,-1628963.8779,1530940.4511,2011,-2.93,-3.79,3.35,6.51,12.88,16.6,19.19,21.81,19.04,7.82,0.32,-1.53,-10.04,-13.36,-6.14,-3.63,1.04,5.34,6.84,6.29,4.25,-0.68,-7.44,-8.91,104.63,58.94,58.65,31.4,92.49,84.56,96.55,20.59,35.37,55.93,77.02,45.01
CA,-1628963.8779,1530940.4511,2012,-2.65,-0.03,3.27,9.07,13.58,15.21,23.25,23.34,19.19,7.87,1.8,-2.23,-10.51,-9.12,-6.05,-1.43,0.93,5.04,8.4,7.61,2.68,-1.26,-4.22,-7.94,72.21,52.99,84.01,74.31,37.64,147.17999,70.87,21.43,17.12,70.51,71.56,88.21
CA,-1628963.8779,1530940.4511,2013,-3.44,1.57,4.76,8.13,15.93,17.86,23.8,22.91,17.74,8.04,-1.2,-4.73,-9.86,-6.27,-5.84,-2.36,2.37,5.6,7.84,8.68,5.28,-1.38,-7.15,-10.64,64.79,32.46,54.7,63.19,76.22,95.86,24.04,50.12,91.44,21.66,91.64,88.16
CA,-1628963.8779,1530940.4511,2014,-1.6,-4.83,1.89,8.64,14.2,17.81,24.48,22.88,16.69,10.32,-0.98,-1.91,-8.05,-16.03,-7.54,-2.4,2.87,4.75,8.19,8.69,3.8,2.34,-8.13,-8.37,52.9,35.78,73.61,52.11,108.19,60.19,62.78,49.94,56.11,62.03,95.82,72.79
CA,-1628963.8779,1530940.4511,2015,-1.04,3.47,7.17,10.01,17.83,21.62,23.84,22.85,14.43,10.06,-1.11,-2.24,-6.58,-4.48,-3.5,-2.64,2.13,6.72,8.37,7.57,2.64,0.44,-8.29,-8.05,98.36,51.4,67.13,23.43,43.33,82.84,35.65,50.39,66,54.74,91.74,99.62
CA,-1628963.8779,1530940.4511,2016,-1.33,2.75,6.45,13.88,15.63,19.12,20.52,23.04,14.01,7.35,4.9,-6.96,-7.41,-5.06,-3.58,0,2.58,5.76,8.68,7.6,3.23,0.45,-0.62,-13.93,63.78,51.48,54.16,27.7,81,55.39,90.4,54.68,98.08,108.61,86.78,83.83
CA,-1628963.8779,1530940.4511,2017,-5.49,-2.74,2.81,7.65,15.65,19.27,24.54,24.59,17.28,7.35,0.67,-6.11,-13.09,-11.88,-5.11,-1.72,2.17,5.08,7.41,7.12,4.47,-1.77,-5.75,-10.92,38.44,68.64,99.74,78.69,71.58,30.43,12.81,18.62,39.59,66.15,73.95,75.24
CA,-1628963.8779,1530940.4511,2018,-1.57,-4.54,2.51,7.09,19.32,17.79,23.32,21.5,12.96,7.58,1.66,-0.86,-8.14,-14.69,-5.91,-2.03,3.61,5.07,7.67,7.15,2.88,-2.3,-3.85,-6.86,108.4,122.54,45.64,54.69,29.17,98.21,39.01,53.16,91.79,64.95,88.3,61.35
CA,-1628963.8779,1530940.4511,2019,-0.31,-8.19,5.25,9.08,17.42,18.08,20,21.8,14.71,5.95,0.42,-2.49,-7.66,-18.52,-9.5,-3.35,2.93,5.03,7.88,7.13,5.2,-2.76,-6.01,-8.51,46.34,35.6,34.32,36.63,30.37,64.97,106.77,44.61,101.44,45.58,71.02,86.51
CA,-1628963.8779,1530940.4511,2020,-3.05,-0.52,2.53,8,13.65,15.54,20.22,21.27,18.28,6.04,1.36,-1.06,-8.33,-7.73,-6.89,-2.83,2.68,5.61,7.79,7.2,5.33,-1,-5.7,-7.2,127.74,26.57,22.9,8.22,81.42,77.51,94.87,29.93,35.06,124.89,66.92,62.07
CA,-1628963.8779,1555940.4511,1999,-3.3,-2.16,-1.09,3.49,6.01,10.1,13.83,16.81,10.81,3.73,-0.52,-3.48,-8.76,-8.8,-8.32,-5.4,-2.16,2.13,4.65,7.03,0.64,-3.43,-6,-8.79,151.61,96.59,69.7,59.57,95.47,123.56,104.65,71.22,57.91,67.04,107.35,88.62
CA,-1628963.8779,1555940.4511,2000,-5.83,-3.27,-0.55,3.59,6.67,11.74,14.88,15.01,9.77,4.03,-4.18,-6.99,-12.46,-10.77,-7.97,-4.57,-1.54,2.36,5.66,4.75,1.54,-2.24,-8.58,-12.86,99.97,40.1,98.75,61.17,79.87,97.36,98.55,50.81,71.6,61.24,37.46,84.22
CA,-1628963.8779,1555940.4511,2001,-3.21,-5.08,-0.44,2.46,8.09,10.57,15.05,16.54,12.58,1.97,-0.23,-5.46,-9.3,-13.69,-8.35,-5.11,-0.73,1.42,5.84,6.16,2.54,-4,-6.03,-11.33,51.25,40.69,102.77,52.92,58.55,95.69,112.39,46.86,45.71,90.53,75.55,98.34
CA,-1628963.8779,1555940.4511,2002,-4.73,-3.32,-5.43,2.32,5.93,14.41,16.91,16.09,9.82,3.76,0.07,-3.32,-10.55,-11.08,-13.95,-5.6,-1.95,3.08,6.19,4.55,1.53,-4.43,-6.32,-8.53,100.47,74.39,92.55,67.81,106.58,61.58,40.2,53.65,61.68,29.43,55.79,72.91
CA,-1628963.8779,1555940.4511,2003,-2.28,-1.95,-1.68,3.31,6.89,13.78,18.97,18.43,11.96,5.75,-5.4,-4.42,-8.09,-9.81,-9.03,-3.51,-1.32,3.23,6.26,5.97,1.69,-1.28,-12.59,-10.68,81.05,37.45,113.62,89.16,67.64,67.7,20.17,20.77,49.2,116.38,105.8,59.04
CA,-1628963.8779,1555940.4511,2004,-6.65,-1.93,1.07,6.64,8.2,15.36,18.11,17.11,8.28,3.66,-1.82,-3.67,-12.67,-9.59,-6.92,-3.69,-0.13,3.69,6.92,7.3,1.49,-2.93,-7.16,-9.33,108.05,43.31,84.63,54.54,106.11,74.95,53.95,115.95,106.27,95.3,110.89,93.73
CA,-1628963.8779,1555940.4511,2005,-7.18,-1.29,1.15,5.31,10.87,10.72,14.41,16.67,8.64,3.61,-3.3,-5.48,-13.08,-10.79,-6.85,-4.45,0.95,3.15,5.8,5.52,0.99,-1.55,-7.81,-11.52,110.38,37.15,70.5,31.55,64.4,134.94,81.61,49.62,106.98,111.93,88.2,53.35
CA,-1628963.8779,1555940.4511,2006,-1.61,-4.04,-0.61,4.68,9.3,13.85,18.43,16.58,13.1,4.34,-5.13,-4.04,-6.6,-12.24,-9.34,-3.8,-0.16,3.99,7.52,5.21,2.92,-3.65,-10.78,-10.15,121.37,61.41,45.26,52.33,86.7,69.13,57.29,43.68,65.62,52.98,165.73,86.1
CA,-1628963.8779,1555940.4511,2007,-5.34,-2.77,0.11,2.96,9.93,11.84,18.7,15.11,9.67,3.2,-3.37,-6.27,-12.52,-9.13,-6.86,-5.38,-0.91,3.17,7.11,4.65,0.97,-2.56,-9.39,-12.9,116.36,62,96.87,44.86,23.99,99.55,47.18,54.49,80.13,88.69,79.47,115.78
CA,-1628963.8779,1555940.4511,2008,-5.92,-2.05,-1.79,0.17,9.13,12.06,16.42,16.17,11.92,4,-0.07,-10,-13.51,-10.62,-10.01,-7.16,0.43,2.31,5.58,5.74,0.76,-3.32,-6.37,-16.99,79.05,75.85,55.62,57.45,44.45,71.99,48.35,73.17,38.19,66.17,82.76,116.34
