SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
CA,-1353963.8779,1180940.4511,1999,-3.24,-2.73,1.47,5.26,7.93,11.36,16.1,18.09,12.14,5.99,2.39,-2.47,-8.03,-7.09,-6.64,-5.02,-0.88,2.92,5.46,8.37,1.91,-1.16,-2.68,-7.26,179.53,191.75,114.87,69.41,100.29,124.91,64.72,68.84,30.97,123.76,174.8,166.78999
CA,-1353963.8779,1180940.4511,2000,-4.26,-1.44,0.61,6.13,8.38,12.89,18.68,18.66,10.91,6.86,-3.74,-4.88,-9.78,-7.93,-5.88,-3.53,-0.07,2.91,6.98,6.2,2.33,-1.05,-9.49,-11.72,152.73,111.85,157.24001,81.77,83.81,109.5,31.44,20.82,114.67,32.95,53.05,98.61
CA,-1353963.8779,1180940.4511,2001,-2.32,-4.31,1.64,3.03,11.01,12.25,18.07,20.54,15.38,4.51,1.92,-4.4,-8.34,-12.03,-6.82,-4.48,0.76,3.2,6.55,7.78,4.41,-1.96,-3.5,-9.85,50.9,72.69,92.6,156.14,46.73,122.69,43.45,6.05,30.19,154.60001,118.86,139.50999
CA,-1353963.8779,1180940.4511,2002,-3.93,-2.81,-3.27,3.66,7.43,13.49,19.81,16.7,11.67,4.34,1.15,-2.23,-9.12,-10.17,-12.83,-5.46,-1.45,3.69,8.12,5.35,3.14,-4.54,-4.54,-6.85,210.27,169.03999,149.45,120.74,155.21001,127.61,37.19,40.01,74.96,30.93,133.45,130.33
CA,-1353963.8779,1180940.4511,2003,-1.06,-2.36,-0.01,5.54,8.9,14.57,21.87,21.08,13.31,7.68,-3.6,-3.19,-7.17,-9.82,-7.49,-2.91,-0.06,3.94,8.6,8.25,3.45,0.12,-10.29,-9.42,126.99,77.48,243.88,102.87,86.22,85.52,8.82,15.72,53.39,126.85,186.41,115.65
CA,-1353963.8779,1180940.4511,2004,-4.34,-0.46,3.15,8.32,8.13,13.51,18.85,17.03,9.96,5.75,0.12,-2.11,-10.08,-7.77,-4.87,-2.56,0.16,3.59,7.76,7.79,2.79,-1.54,-5.79,-7.44,161.92999,62.32,94.69,79.45,119.64,99,62.05,160.16,126.15,124.4,136.34,142.27
CA,-1353963.8779,1180940.4511,2005,-3.64,0.37,1.61,5.78,10.49,11.73,18.23,17.75,10.92,5.99,-1.36,-4.12,-10.27,-9.16,-6.42,-3.75,0.75,3.5,7.13,5.71,2.04,-0.04,-5.89,-10.32,115.51,60.12,136.63,60.72,106.1,221.78,31.23,51.99,134.35001,140.37,122.38,143.92
CA,-1353963.8779,1180940.4511,2006,-1.43,-3.64,0.68,6.41,11.43,14.77,21.21,18.44,14.44,5.63,-1.92,-2.75,-4.94,-11.6,-8.18,-2.32,0.92,5,9.11,6.34,4.14,-1.95,-7.46,-8.7,271.48001,144.34,80.66,84.2,106.72,162.03999,30.57,33.13,63.17,62.05,319.07001,119.21
CA,-1353963.8779,1180940.4511,2007,-4.43,-1.87,2.74,5.36,11.17,14.18,23.36,18.37,12.16,5.52,-1.09,-5.09,-11.75,-7.97,-3.95,-3.37,1.03,3.85,9.72,6.28,2.48,-0.86,-7.76,-10.04,158.92999,119.11,147,111.45,144.78999,99.86,22.77,29.96,59.15,119.79,92.54,224.03999
CA,-1353963.8779,1180940.4511,2008,-5.02,-0.98,-0.13,2.77,10.05,13.55,18.79,17.43,13.29,6.6,1.99,-8.2,-11.58,-7.45,-8.04,-6.54,0.8,2.93,6.75,6.94,2.9,-1.06,-3.91,-15.1,185.99001,143.89999,117.56,96.93,125.5,115.05,37,67.79,86.35,55.03,100.71,161.42
