SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
USA,-1950000,25000,1999,6.17,4.79,6.04,6.7,13.64,17.87,22.26,20.69,21.03,18.4,11.08,7.67,-4.8,-7.26,-5.94,-4.64,0.43,4.28,8.39,6.53,6.36,2.99,-1.21,-5.16,231.46001,252.33,70.78,106.88,18.27,14.58,2.82,15.94,15.81,33.33,83.47,10.99
USA,-1950000,25000,2000,3.91,4.66,8.11,11.64,14.55,21.11,22.17,22.84,19.47,12.24,6.99,9,-4.3,-5.59,-4.85,-1.22,2.26,6.36,7.29,8.41,5.07,0.38,-5.69,-3.23,304.37,302.63,48.44,60.26,55.47,27.06,0.45,15.98,22.42,78.76,30.09,28.29
USA,-1950000,25000,2001,4.81,2.32,10.32,7.87,19.19,20.37,21.9,25.17,21.54,17.71,8.23,3.16,-8.11,-8.16,-3.43,-4.49,4.49,6.62,8.3,10.16,6.5,3.56,-2.54,-6.57,127.89,169.16,91.45,127.57,6.31,0.6,16.51,1.95,17.1,38.84,183.44,254.86
USA,-1950000,25000,2002,4.57,9.09,6.89,10.51,14.21,21.11,25.35,23.6,20.16,14.38,10.04,3.06,-7.96,-5.19,-6.45,-2.17,0.46,5.79,10.29,7.89,5.94,0.79,-1.44,-6.48,69.87,60.19,121.73,52.74,29.09,2.58,3.97,2.42,13.56,6.69,189.67,297.57999
USA,-1950000,25000,2003,10.51,5.26,8.97,5.4,14.74,21.07,24.97,22.02,21.92,18.53,5.97,4.23,-1.79,-7.12,-3.8,-4.92,1.13,6.07,10.38,8.88,7.39,4.03,-5.14,-5.92,29.14,66.46,80.98,158.16,46.14,2.25,24.8,22.91,13.5,9.02,82.87,284.53
USA,-1950000,25000,2004,5.79,3.31,12.84,11.18,14.64,20.04,23.3,23.1,19.66,11.7,7.46,6.91,-6.73,-8.07,-1.34,-0.79,1.5,5.76,9.11,8.29,4.83,-0.27,-4.53,-4.25,85.14,221.35001,32.85,14.72,23.77,5.8,4.42,9.68,7.23,174.8,89.5,205
USA,-1950000,25000,2005,5.57,5.73,7.95,8.77,13.61,15.89,25.21,23.36,17.75,14.55,10.43,6.36,-5.7,-5.37,-4.62,-4.01,1.17,3.05,10.57,8.77,3.39,1.32,-0.62,-3.8,263.97,129.81,204.45,69.7,118.72,18.07,4.72,9.17,13.64,22.28,74.91,453.14999
USA,-1950000,25000,2006,5.51,7.45,2.34,8.63,15.66,20.9,24.53,22.65,20.27,13.5,9.16,6.45,-6.28,-6.24,-9.09,-2.46,2,6.66,10.62,7.39,5.07,0.48,-2.04,-5.28,202.14,138.78,238.19,177.8,32.31,2.34,9.86,3.88,3.67,30.32,80.04,107.98
USA,-1950000,25000,2007,5.47,5.37,11.32,10.69,16.16,20.45,25.06,23.93,17.82,13.46,12.22,4.18,-8.4,-4.99,-2.8,-1.58,1.95,5.53,9.94,9.5,4.1,0.74,-0.94,-7.03,38.93,224.07001,33.08,51.47,17.74,4.16,3.58,9.03,21.98,34.5,15.67,118.5
USA,-1950000,25000,2008,2.78,6.47,8.07,9.94,13.35,20.13,24.21,24.36,21.31,15.15,11.02,5.88,-7.73,-6.5,-4.91,-2.86,1.28,5.29,9.58,9.67,5.92,1.41,-0.68,-6.3,299.10001,169.42,29.58,8.15,38.46,0.18,6.4,2.22,0.17,61.37,130.44,139.53
USA,-1950000,25000,2009,8.87,4.66,7.03,9.95,16.59,16.4,24.08,22.28,22.01,13.04,10.62,4.78,-4.76,-6.25,-6.1,-3.47,3.59,4.1,9.74,7.67,7.06,-0.17,-2.01,-7.29,125.62,190.05,163.06,35.68,78.54,24.68,6.91,13.76,4.45,136.94,46.08,148.53
USA,-1950000,25000,2010,5.75,5.84,7.33,7.48,9.98,17.89,23.68,21.88,21.48,12.89,7.9,5.24,-5.23,-5.4,-6.01,-5.31,-1.98,5.25,9.05,7.23,5.67,2.25,-4.28,-4.38,201.84,144.8,106.89,145.28,59.17,2.59,6.12,1.54,0.6,200.2,174.50999,369.45001
USA,-1950000,25000,2011,8.84,4.25,5.22,8.43,10.48,16.3,21.85,23.12,21.24,15.12,8.3,7.1,-5.18,-8.89,-4.82,-3.71,-1.59,3.04,7.35,7.73,6.81,2.17,-3.57,-5.75,62,177.95,340.95999,65.38,66.08,76.42,7.65,2.73,27.06,72.32,41.94,1.21
USA,-1950000,25000,2012,8.99,6.24,6.62,10.74,15.7,19.24,23.43,24.81,22.31,15.44,9.59,3.12,-3.44,-6.12,-4.24,-2.04,1.57,5.01,8.68,10.34,7.61,2.26,-1.62,-6.87,165.77,52.22,158.57001,80.8,7,19.45,1.52,30.98,2.85,41.96,188.97,314.82001
USA,-1950000,25000,2013,6.39,6.4,9.97,12.07,14.54,20.63,24.47,22.27,18.93,13.74,10.31,8.36,-7.97,-7.42,-2.46,-1.06,1.83,6.63,10.44,7.81,5.53,-0.12,-1.57,-5.95,34.71,18.49,64.47,31.89,23.44,10.66,13.8,5.92,24.57,23.69,22.84,42.43
USA,-1950000,25000,2014,10.63,7.16,8.89,11.59,14.79,20.52,24.29,21.95,20.45,17.5,11.06,5.63,-2.5,-3.7,-3.47,-1.64,2.02,5.98,10.21,8.43,6.66,3.26,-0.76,-4.5,67.07,188.56,105.65,44.96,27.25,2.76,37.68,16.96,32.48,16.84,79.35,137.37
