SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
USA,25000,1045000,1997,-13.24,-5.82,-1.5,7.35,14.82,24.84,25.09,24.19,20.81,11.12,-1.68,-1.82,-23.91,-19.6,-14.7,-4.4,1.54,11.27,13.22,10.39,7.24,0.53,-9.24,-9.6,11.54,7.94,18.91,29.05,47.69,76.23,111.46,42.74,67.99,70.04,16.13,7.61
USA,25000,1045000,1998,-8.43,0.29,1.43,14.86,20.67,20.73,25.62,26.82,22.08,12.18,0.68,-6.85,-17.06,-6.79,-8.91,0.13,6,10.2,12.65,12.6,6.83,2.05,-6.24,-16.03,21.42,29.23,10.34,25.2,114.7,117.93,62.85,59.92,13.56,107.48,23.74,9.41
USA,25000,1045000,1999,-11.16,-2.02,3.07,12.49,17.95,22.62,25.96,24.24,17.02,10.48,6.4,-2.37,-22.17,-13.49,-8.24,-0.74,6.41,10.24,13.47,10.89,5.9,-1.13,-4.7,-13.33,21.43,15.85,17.04,37.55,125.07,127.88,84.8,80.3,92.92,17.72,6.43,15.51
USA,25000,1045000,2000,-9.28,-1.57,6.56,10.85,18.88,20.5,26.15,24.78,18.19,13.39,0.36,-14.27,-21.34,-13.96,-5.13,-2.54,4.29,8.84,12.77,11.81,5.11,0.46,-6.79,-24.99,15.73,22.26,20.19,22.54,53.78,165.83,47.95,137.17,49.32,64.33,79.06,26.84
USA,25000,1045000,2001,-5.48,-10.55,0.84,10.67,19.02,23.11,26.42,26.35,20.2,10.05,6.48,-4.06,-16.27,-22.62,-10.57,-0.16,6.11,10.48,13.13,12.59,6.08,-0.44,-2.54,-12.87,6.66,14.23,7.84,61.36,105.18,84.34,134.28999,74.48,40.39,54.46,14.49,15.28
USA,25000,1045000,2002,-6.91,-1.46,-3.61,8.44,15.03,24.24,27.35,23.99,20.62,4.92,-0.48,-3.82,-16.5,-14.02,-14.95,-3.21,0.46,11.49,14.12,11.86,7.87,-3.99,-9.43,-12.81,11.29,6.27,14.33,32.74,59.88,259.23001,78.72,126.43,38.75,21.67,7.49,16.03
USA,25000,1045000,2003,-10.03,-10.13,-0.45,11.83,19.67,23.56,26.02,27.26,18.19,12.76,-1.81,-3.77,-19.89,-22.75,-13.07,-1.98,4.86,9.96,12.14,13.38,6.7,1.19,-10.64,-13.52,7.8,11.33,13.73,21.45,71.38,99.49,52.36,64.09,92.37,31.74,13.68,26.45
USA,25000,1045000,2004,-14.63,-4.65,1.5,9.72,13.99,20.39,24.34,20.24,20.78,11.33,4.33,-6.65,-25.6,-15.77,-10.24,-2.38,2.47,7.8,12.1,8.37,9.13,1.83,-5.4,-18.08,35.33,7.92,37.47,28.27,158.98,44.14,88.45,97.28,97.91,72.91,6.59,36.48
USA,25000,1045000,2005,-12.02,-4.25,0.39,13.97,16.19,22.65,26.31,23.44,21.2,12.59,1.94,-5.22,-23.37,-16.84,-12.43,0.79,4.81,12.36,13.37,11.27,7.69,1.53,-6.39,-12.54,33.31,9.31,6.55,20.15,77.53,157.60001,82.87,87.02,31.05,73.08,53.46,22.27
USA,25000,1045000,2006,-2.58,-8.14,1.35,15.67,18.66,24.65,29.15,25.55,19.68,9.21,1.99,-2.81,-10.34,-20.83,-8.56,1.62,6.29,10.65,13.79,11,6.43,-1.34,-7.92,-12.37,23.58,10.66,42.78,25.28,45.65,45.26,36.9,81.33,44.45,40.96,14.92,21.98
USA,25000,1045000,2007,-7.72,-11.54,2.5,10.36,19.68,24.11,27.29,23.99,19.66,12.46,0.93,-8.67,-18.43,-22.59,-9.1,-3.28,6.14,12.24,13.55,10.77,6.18,1.66,-7.5,-18.33,6.61,20.93,32.8,29.83,90.45,138.23,82.25,42.62,35.65,90.3,13.82,24.23
USA,25000,1045000,2008,-9.6,-9.12,-0.78,9.26,15.86,22.04,24.57,24.94,19.16,12.19,1.49,-12.2,-21.36,-23.3,-12.51,-3.43,1.21,8.87,11.66,11.49,7.15,1.41,-6.57,-23.39,4.86,13.97,12.61,38.06,44.3,108.98,86.26,60.21,92.74,75.04,48.48,29.92
USA,25000,1045000,2009,-13.5,-6.83,-0.64,9.12,15.25,21.59,22.61,23.01,23.65,7.55,6.98,-9.88,-25.94,-18.87,-11.81,-1.37,1.9,8.98,9.95,10.84,10.18,-0.02,-3.35,-17.95,18,30.51,60.08,33.37,80.83,82.35,54.71,89.24,47.34,38.82,15.33,30.44
USA,25000,1045000,2010,-8.89,-5.04,6.65,15.8,18.58,21.41,26.58,25.91,16.66,15.16,2.23,-9.13,-19.11,-19.14,-4.47,1.04,6.26,10.7,13.47,12.69,5.69,2.16,-7.66,-17.56,20.58,11.81,13.56,23.38,147.83,92.14,117.14,66.26,139.89,51.29,33.52,17.19
