SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
USA,-1950000,1225000,1997,4.81,6.79,6.3,10.07,15.78,15.44,19.02,21.47,18.21,11.35,8.88,5.81,-0.09,0.07,-0.19,1.25,5.67,7.15,9.51,11.02,9.24,5.09,2.95,0.74,415.59,177.57001,505.59,198.91,154.23,162.19,77.62,79.21,250.97,378.54001,266.20001,288.5
USA,-1950000,1225000,1998,4.57,6.84,8.22,11.09,13.65,16.61,20.59,21.41,19.61,12.24,7.21,3.87,-0.15,1.41,1.2,1.4,5.35,7.79,11.36,10.12,8.75,4.97,2.88,-0.67,453.23999,303.5,202.52,53.33,98.09,47.85,63.44,8.31,22.64,182.11,630.04999,557.31
USA,-1950000,1225000,1999,4.91,4.85,6.18,10.96,11.85,14.24,18.58,19.68,18.88,12.14,7.69,5.85,0.42,-0.44,-0.66,0.09,2.31,6.24,8.32,10.32,7.59,3.94,2.49,0.98,479.89001,642.44,328.19,76.64,103.32,88.66,40.92,59.3,25.44,246.98,457.12,430.97
USA,-1950000,1225000,2000,3.36,6.35,7.06,11.33,12.07,16.81,18.57,18.99,17.14,11.86,6.21,4.87,-1.59,-0.15,-0.06,2.25,3.85,7.03,9.23,9.02,8.08,4.45,0.3,-0.43,330.07999,171.85001,192.09,90.38,152.61,106.99,44.54,22.63,81.07,204.87,147.24001,203.87
USA,-1950000,1225000,2001,5.9,5.8,7.74,9.4,13.81,14.67,18.2,19.3,17.35,10.88,7.64,4.27,0.43,-1.75,0.18,0.92,3.72,5.49,8.59,10.01,8.29,4.01,2.4,-0.6,209.63,105.08,180.57001,171.82001,94.41,85.35,28.16,150.37,53.99,216.25999,427.09,463.51001
USA,-1950000,1225000,2002,4.12,5.74,5.23,10.12,11.7,17.7,19.87,20.94,17.72,12.19,9.78,5.49,-0.26,-0.89,-1.6,1.32,2.88,7.25,9.21,9.41,7.52,4.18,3.48,0.87,437.10999,269.34,247.23,158.27,83.49,67.46,17.25,10.92,48.78,34.99,275.09,420.12
USA,-1950000,1225000,2003,8,6.83,7.23,8.69,13.17,18.95,21.11,20.91,19.31,12.7,5.7,4.48,2.45,-0.41,1,1.51,3.6,7.95,9.95,9.65,8.76,6.23,-0.6,-0.29,401.67999,84.71,469.12,182.85001,65.34,27.63,22.87,6.32,56.15,530.08002,364.51001,314.07999
USA,-1950000,1225000,2004,4.89,6.96,9.04,13.63,13.85,18.55,21.35,21.07,15.69,12.02,7.74,5.68,0.04,0.6,1.43,2.5,5.15,7.96,10.62,11.63,7.25,5.16,2.09,1.02,296.12,172.44,205.67999,54.42,99.67,55.03,27.72,138.52,127.22,225.37,241.53999,313.42001
USA,-1950000,1225000,2005,5.26,8.06,9.34,10.74,14.95,15.39,19.59,21.58,16.66,11.31,6.8,5.79,0.21,-0.95,1.73,2.5,6.4,7.12,9.43,10.4,6.73,5.12,1.11,0.58,339.32001,69.92,256.57999,192.46001,159.64,74.42,65.66,32.33,74.04,255,250.56,366.04999
USA,-1950000,1225000,2006,5.55,5.58,6.58,10.29,14.54,17.6,20.82,20.37,19,12.38,5.63,5,1.03,-1.73,-0.65,1.7,4.37,7.76,10.06,9.04,8.25,4.27,0.84,-0.26,645.53998,176.2,293.84,118.21,87.41,67.29,21.49,11.25,67.63,78.2,749.34998,380.10001
USA,-1950000,1225000,2007,4.82,6.29,7.7,9.35,14,15.01,20.1,18.95,15.91,10.69,6.63,3.17,-1.16,0.63,0.92,1.49,3.73,6.19,10.39,9.39,7.37,3.67,0.84,-1.34,357.32999,250.84,380.60001,130.50999,57.65,74.93,91.52,38.37,101.24,240.92999,196.81,478.20001
USA,-1950000,1225000,2008,3.11,6.3,5.7,7.61,13.27,14.73,19.16,19.3,18.24,11.13,8.87,2.31,-2.34,-0.32,-1.34,-0.77,4.74,5.83,8.82,9.94,8.09,3.89,3.48,-2.51,317.69,163.92,207.27,134.19,51.3,65.65,33.96,114.85,34.92,182.25999,357.09,271.29999
USA,-1950000,1225000,2009,5.59,5.94,5.23,10.1,13.84,17.95,22.74,19.96,18.45,11.12,6.9,3.49,-0.69,-1.47,-2.02,0.61,3.72,7.93,10.81,10.27,8.3,4.07,1.69,-2.12,260.39999,100.45,239.42999,107.6,142.28999,26.91,13.42,40.62,112.5,301.57001,648.35999,183.22
USA,-1950000,1225000,2010,6.77,7.69,8.18,9.08,11.57,14.46,20.35,20.17,15.85,12.25,5.49,4.35,2.5,1.62,0.45,1.33,3.17,6.21,9.18,9.71,8.42,4.89,0.03,-0.01,469.87,206.52,245.13,224.16,193.59,81.54,8.25,47.26,180.3,277.92999,286.76001,521.40002
USA,-1950000,1225000,2011,5.14,3.88,6.14,7.02,11.02,14.69,17.13,19.85,19.23,11.05,5.84,5.06,-0.02,-2.16,-0.08,-0.77,2.75,6.2,8.43,9.7,9.24,3.96,-0.49,-0.79,324.48001,262.44,472.06,209.75999,151.92,40.98,52.77,26.73,126.3,185.60001,349.85999,174.3
USA,-1950000,1225000,2012,4.51,5.95,5.56,10.02,13.08,13.58,18.57,20.82,19.63,11.87,7.22,3.28,-1.29,0.05,-1.18,1.94,3.42,5.68,9.35,10.18,7.82,4.74,2.02,-0.27,375.79001,235.37,450.44,166.27,96.57,131.19,41.82,10.84,10.74,328.64999,387.67001,482.82001
USA,-1950000,1225000,2013,4.81,5.72,7.88,9.81,13.8,16.43,20.76,19.98,17.17,12.79,7.63,3.65,-1.2,-0.01,0.44,1.92,5.3,7.54,9.77,10.44,9.05,4.19,1.51,-1.82,207.21001,209.17,284.51001,199.31,154.47,74.25,3.67,75.4,273.85001,57.02,147.88,108.28
USA,-1950000,1225000,2014,7.45,3.8,7.83,10.27,14.76,16.4,21.27,21.75,19.16,13.47,7.69,5.86,0.95,-2.46,1,2.23,5.7,7.29,10.38,11.14,9.03,7.27,1.08,0.68,220.05,318.23001,380.5,170.94,106.16,46.48,22.92,36.95,100.85,416.60999,257.37,420.04999
USA,-1950000,1225000,2015,8.22,9.25,10.29,10.56,15.44,20.54,22,21.54,15.97,14.26,6.67,4.36,1.96,2.99,2.34,1.13,6.09,8.84,11.07,10.35,6.97,6.87,0.07,-0.1,270.20001,258.42001,265.66,110.94,21.24,14.39,31.43,83.44,116.08,207.92999,356.85999,564.03003
USA,-1950000,1225000,2016,5.63,8.17,8.46,13.73,15.78,17.07,18.49,21.4,16.3,10.59,8.53,2.07,0.39,2.08,1.56,4.5,5.42,7.39,9.64,10.49,7.29,5.07,3.85,-3.22,407.79001,292.23999,427.76001,64.24,37.46,79.31,41.38,26.48,82.22,555.76001,521.65002,253.44
USA,-1950000,1225000,2017,3.38,4.55,6.29,8.9,14.35,16.92,20.1,23.13,19.02,12.47,6.15,5.19,-2.69,-1.75,0.19,1.65,4.74,7.06,9.25,11.26,9.07,3.87,1.22,-0.38,198.74001,317.44,395.45999,254.92999,105.21,70.4,4.37,10.52,57.64,229.44,570.38,220.82001
USA,-1950000,1225000,2018,6.03,4.45,7.38,10.01,16.17,16,22.08,21.52,16.2,12.74,8.6,5.19,1.32,-1.99,-0.6,2.15,6.24,7.07,10.53,10.7,7.33,4.84,2.9,-0.05,515.09998,162.92,122.18,260.07001,23.52,74.28,8.11,23.18,135.88,166.05,342.76001,485.09
USA,-1950000,1225000,2019,6.63,1.46,9.09,9.95,16.3,16.56,18.18,20.09,15.29,10.02,8.09,4.96,1.23,-4.5,-0.31,2.48,6.34,7.1,9.79,11.12,8.49,2.98,2.1,1.17,311.09,163.31,41.37,153.05,45.05,34.73,56.97,48.74,193.78,214.5,110.97,280.64999
USA,-1950000,1225000,2020,4.58,5.38,6.01,10.69,13.86,15.05,18.35,19.56,19.18,12.02,6.66,5.77,0.13,-0.51,-1.11,2.18,5.39,6.97,9.29,9.75,10.75,5.43,1.22,1.06,571.62,229.55,151.78,63.36,124.83,91.49,20.46,60.73,138.46001,173.78,386.60999,410.38
USA,-1950000,1200000,1997,5.01,6.91,6.56,10.2,16.06,15.65,19.17,21.64,18.43,11.53,9.11,5.97,0.14,0.16,-0.04,1.39,5.82,7.18,9.49,11.06,9.36,5.18,3.15,0.8,437.44,190.73,537.09998,214.27,155.63,160.72,79.23,78.33,262.98001,392.73001,276.39001,285.67001
USA,-1950000,1200000,1998,4.83,7.02,8.4,11.25,13.62,16.59,20.75,21.52,19.79,12.44,7.31,3.99,0.1,1.48,1.31,1.48,5.38,7.81,11.39,10.13,8.8,5.03,2.94,-0.62,485.84,317.10001,224.34,62.24,102.3,49.67,58.99,7.44,23.94,185.74001,651.34998,577.21002
USA,-1950000,1200000,1999,5.07,4.97,6.4,11.15,12.05,14.42,18.71,19.78,19.02,12.3,7.93,6.06,0.59,-0.34,-0.57,0.1,2.36,6.31,8.34,10.36,7.68,4.16,2.65,1.18,495.14001,666.40997,345.76999,85.57,112.42,93.04,43.39,60.97,23.07,248.03,491.01001,443.70001
USA,-1950000,1200000,2000,3.49,6.55,7.25,11.68,12.27,17.07,18.69,19.1,17.3,12.01,6.32,5.13,-1.47,-0.04,-0.02,2.37,3.95,7.1,9.24,9.05,8.19,4.6,0.42,-0.17,350.39001,185.22,194.00999,98.94,157.73,112.78,39.75,23.92,87.89,204.73,152.32001,203.99001
