SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
USA,1350000,90000,1997,0.66,4.47,7.99,10.92,15.98,22.11,24.61,22.49,19.34,14.62,4.66,2.01,-9.14,-5.19,-2.79,-0.89,3.38,10.63,12.9,11.76,7.98,2.14,-1.88,-4.92,76.57,58.88,168.97,52.38,140.63,104.2,69.7,133.39999,101.87,44.5,181.13,87.33
USA,1350000,90000,1998,3.86,4.02,7.25,14.42,20.23,21.27,24.31,24.77,22.92,14.91,9.21,5.79,-3.27,-3.46,-1.74,2.11,9.22,12.11,13.37,13.33,10.27,3.63,-1.07,-3.72,126.99,124.99,103.25,138.74001,99.32,187.00999,81.24,92.83,75.82,53.5,20.9,60.05
USA,1350000,90000,1999,2.17,3.81,4.15,14.69,20.33,23.73,27.43,24.29,21.02,14.91,11.25,3.19,-7.52,-6.3,-6.69,2.02,6.21,11.1,15.07,12,8.31,1.74,0.57,-5.76,150.17,66.18,132.84,144.27,71.83,54.75,84.61,65.39,99.12,78.26,95.92,73.08
USA,1350000,90000,2000,0.29,5.28,10.4,13.28,20.47,23.41,22.37,22.09,19.34,16.17,5.78,-2.53,-9.31,-5.05,-1.87,1.16,8.09,12.73,12.27,12.9,8.81,3.94,-2.89,-11.47,50.56,121.46,89.65,124.68,142.62,138.98,119.28,127.66,111.66,47.09,62.3,61.15
USA,1350000,90000,2001,-0.7,4.47,3.09,15.82,18.72,22.72,23.24,24.59,19.51,15.35,12.75,5.69,-8.19,-5.68,-5.37,2.73,6.37,11.05,11.75,14.33,7.82,2.63,0.66,-2.93,66.47,60.98,104.69,89.73,95,136.25999,131.24001,83.4,70.05,39.55,48.59,89.18
USA,1350000,90000,2002,3.18,4.93,8.49,14.91,18.06,23.87,25.68,25.48,22.81,12.5,5.81,0.26,-4.91,-6.49,-3.63,2.51,4.98,12,14.84,13.52,9.74,4.21,-1.43,-7.42,71.85,39.24,102.82,135.32001,159.36,108.27,101.28,86.37,95.32,111.64,88.4,88.5
USA,1350000,90000,2003,-4.24,-1.66,8.95,14.36,16.51,20.41,23.91,24.38,18.79,13.56,11.3,1.34,-11.4,-9.17,-3.32,2.06,7.16,10.47,13.58,14.27,9.78,2.14,0.65,-6.4,79.17,129.67999,60.61,73.28,196.03,177.46001,147.47,164.34,204.60001,94.31,147.62,101
USA,1350000,90000,2004,-2.72,1.67,8.44,13.1,21.98,21.6,23.34,22.68,20.93,14.45,9.79,2.98,-11.72,-9.04,-2.19,2.38,9.65,11.35,13.82,12.16,10.44,3.99,0.79,-6.04,120.8,79.59,109.76,160.69,149.19,131.07001,132.48,124.87,178.35001,79.26,100.34,88.58
USA,1350000,90000,2005,2.32,3.13,3.34,14.96,16.61,24.09,25.59,25.06,23.32,14.66,10.42,-0.87,-7.08,-6.62,-5.55,2.23,4.05,12.52,14.94,14.7,10.1,4.88,-0.88,-7.93,178.03999,77.9,130.89,75.17,95.8,74.08,95.65,81.72,29.29,138.00999,124.84,78.14
USA,1350000,90000,2006,5.98,1.17,6.47,16.07,17.37,21.94,24.78,25.45,17.86,12.91,9.89,6.85,-3.5,-6.87,-3.99,2.39,5.32,10.58,14.72,14.12,9.13,2.6,0.07,-3.21,125.83,42.03,51.3,120.95,105.92,160.03999,106.1,63.64,114.56,132.13,92.92,56.76
USA,1350000,90000,2007,2.78,-4.08,9.02,10.69,21.33,23.55,23.38,25.21,22.55,18.39,7.77,3.27,-5.75,-12.83,-2.85,0.79,6.92,11.04,11.98,14.68,9.3,6.35,-1.81,-4.22,100.92,73.71,131.78999,130.49001,60.52,101.47,116.22,199.14999,60.66,90.73,106.18,174.81
USA,1350000,90000,2008,1.08,2.17,6.75,15.5,17.03,23.58,24.5,22.77,21.19,13.71,6.09,4.02,-7.71,-7.72,-4.22,3.24,4.4,12.03,13.32,11.36,9.62,2.01,-2.84,-6.46,84.16,115.98,113.01,97.96,191.28999,153.89999,144.3,61.72,81.42,44.14,52.67,196.89999
USA,1350000,90000,2009,-2.58,2.57,8.24,13.95,18.78,22.1,22.09,24.22,19.79,12.37,10.5,0.37,-11.04,-7.75,-3.1,1.41,7.26,11.14,11.66,13.85,9.59,2.86,1.58,-7.46,113.45,50.47,46.9,105.28,158.06,138.06,87.4,88.57,65.7,124.09,30.81,126.77
USA,1350000,90000,2010,-3,-3.18,8.49,17.23,20.22,24.32,26.44,25.09,22.45,14.99,8.56,-4.15,-8.61,-9.49,-2.55,2.69,7.89,13.15,14.24,13.8,8.75,3.4,-2.29,-9.4,112.21,119.15,95.98,56.53,133.17,110.26,102.47,62.82,81.46,87.63,101.05,88.18
USA,1350000,90000,2011,-2.78,3.53,6.9,14.4,19.79,23.16,26.77,24.21,19.91,12.92,11.4,4.9,-10.25,-7.05,-3.81,3.63,8.82,12.03,14.98,13.28,11.24,3.76,0.51,-3.76,57.41,101.36,116.27,197.2,163.12,121.5,107.69,115.02,198.22,157.67999,110.68,106.28
USA,1350000,90000,2012,2.83,4.25,14.17,13.56,21.93,23.12,26.69,24.45,20.67,14.42,5.93,4.95,-6.76,-4.9,0.92,0.95,9.87,10.68,15.62,12.76,8.92,3.66,-3.3,-2.68,109.34,58.27,132.10001,53.55,127.95,80.38,136.2,78.66,124.75,164.28999,18.08,167.10001
USA,1350000,90000,2013,1.86,-0.05,2.48,14.81,18.96,22.52,24.56,22.44,20.29,14.71,6.15,3.4,-6.6,-8.1,-5.1,2.03,6.75,12.4,14.81,12.26,8.27,4.91,-3.53,-4.58,95.94,72.69,85.76,73.74,112.43,152.22,149.94,201.12,47.26,63.45,76.53,131.99001
USA,1350000,90000,2014,-1.97,-0.12,4.17,14.56,19.2,23.37,23.52,22.8,20.81,14.26,5.24,3.47,-13.05,-10.39,-7.89,1.08,7.07,12.37,12.75,11.97,9.16,4.88,-3.46,-3.47,60.26,114.25,73.65,83.21,164.86,133.14,129.28999,100.74,53.45,122.36,67.51,97.8
USA,1350000,90000,2015,-1.34,-3.49,5.85,14.5,21.76,22.36,24.46,23.9,22.34,14.34,11.98,9.81,-9.8,-14.67,-5.82,2.05,8.74,13.05,14.05,11.99,11.31,3.39,0.57,0.27,79.02,58.56,143.17,147.74001,76.84,228.23,111.8,58.29,106.38,85.16,62.11,113.78
USA,1350000,90000,2016,-0.78,2.56,11.16,14.53,17.25,23.56,25.57,26.24,23.62,16.4,10.35,2.6,-11.09,-6.69,-0.48,0.87,6.96,12.15,14.9,15.41,11.07,4.99,-1.06,-5.49,80.89,79.48,74.57,82.97,151.39999,127.34,113.64,99.51,93.78,126.82,36.46,162.89999
USA,1350000,90000,2017,3.15,7.46,6.52,17.14,18.05,22.94,24.76,22.91,20.83,17.63,8.09,1.23,-4.17,-2.83,-4.02,4.95,7.25,11.56,14.52,11.92,9.96,5.78,-1.59,-7.28,145.16,68.27,138.92999,142.64999,175.74001,131.89,230.07001,93.96,48.46,145.53999,86.8,59.17
USA,1350000,90000,2018,-1.24,6.68,3.51,10.83,22.74,22.4,24.99,24.14,21.74,14.5,4.97,3.1,-10.99,-3.74,-5.82,-0.42,11.03,12.55,13.92,15.07,13.96,5.54,-2.22,-4.41,76.66,211.35001,98.48,154.17,178.56,199.92999,106.03,148.14999,296.20001,124.77,129.86,119.3
USA,1350000,90000,2019,0.26,4.35,5.87,15.31,20.7,22.12,25.73,24.3,23.66,16.88,6.38,4.63,-8.27,-5.59,-4.93,3.43,10.12,11.37,14.87,12.74,10.44,5,-3.6,-4.55,115.16,148.88,64,114.14,175.32001,171.87,132.88,96.55,43.6,122.36,53.2,137.69
USA,1375000,115000,1997,1.19,5.67,8.95,12.49,17.64,23.91,26.59,24.37,21.19,15.95,5.76,3.13,-8.54,-5.16,-2.29,-0.12,3.98,11.19,13.6,12.27,8.48,2.59,-1.64,-4.5,54.86,47.25,124.45,33.46,118.56,87.49,59.8,113.46,89.84,39.62,192.60001,66.55
USA,1375000,115000,1998,4.87,5.01,8.58,15.91,22,23.13,26.22,26.39,24.85,16.16,10.36,6.97,-2.72,-3.18,-1.35,2.62,9.88,12.62,14.04,13.62,10.79,4.06,-0.75,-3.25,103.02,105.42,83.84,138,105.54,148.47,78.5,71.67,53.69,46.2,13.07,31.07
USA,1375000,115000,1999,2.56,4.79,5.51,15.45,21.8,25.35,29.32,26.09,22.35,16,12.33,4.05,-7.28,-5.97,-5.78,2.18,6.65,11.7,15.76,12.62,9.08,1.93,1.09,-5.22,124.07,43.08,110.19,127.15,60.58,53.58,68.46,71.71,95.25,63.11,76.15,49.08
USA,1375000,115000,2000,1.41,6.24,11.61,14.48,22.04,25.32,24.22,23.95,20.94,17.52,6.73,-1.82,-8.69,-4.96,-1.49,1.62,8.2,13.05,12.66,13.21,9.04,4.05,-2.5,-10.73,39.53,83.37,70.07,105.24,122.57,116.23,92.14,107.59,101.9,42.44,55.45,50.31
USA,1375000,115000,2001,0.22,5.35,4.58,16.82,20.35,24.56,25.25,26.58,21.51,16.96,13.74,6.5,-7.67,-5.37,-4.62,2.78,6.52,11.52,12.03,14.56,7.9,2.53,0.37,-2.66,55.72,38.67,97.99,86.39,76.57,112.06,79.63,70.22,60.35,33.27,45.74,61.46
USA,1375000,115000,2002,4.48,6.36,9.46,16.31,19.56,25.6,27.68,27.3,24.11,13.71,7.25,1,-4.07,-5.83,-3.09,2.89,5.54,12.53,15.32,13.96,10.24,4.46,-0.93,-6.91,50.31,26.86,97.89,116.73,137.69,98.47,67.67,81.9,93.09,114.95,79.26,82.89
USA,1375000,115000,2003,-2.98,-0.65,9.76,15.27,17.83,22.15,25.91,26.16,20.42,14.69,12.14,2.12,-10.63,-8.79,-3.29,2.19,7.52,10.99,14.07,14.71,10.06,2.14,0.72,-6.04,66.22,106.63,58.65,71.96,181.48,158.63,93.67,147.56,176.22,78.01,111.73,86.71
USA,1375000,115000,2004,-1.88,2.24,9.66,14.35,23.79,23.34,25.26,24.52,22.28,15.43,10.86,3.74,-11.06,-9.12,-2.03,2.81,10.05,11.58,14.42,12.66,10.74,3.99,1.05,-5.71,103.34,62.16,83.66,155.17999,123.43,105.73,127.34,109.6,188.89,57.84,80.3,67.27
USA,1375000,115000,2005,2.57,4.03,4.54,16.25,18.13,25.9,27.63,26.83,24.99,15.73,11.33,0.13,-6.9,-6.36,-4.93,2.41,4.24,12.83,15.33,14.87,10.2,5.52,-0.82,-7.57,136.37,56.92,109.18,58,70.05,67.37,85.92,69.48,22.84,130.11,104.82,57.57
USA,1375000,115000,2006,6.35,2.46,7.81,17.33,19.23,23.92,26.89,27.23,19.41,14.37,10.83,7.84,-3.07,-6.38,-3.26,2.8,5.84,11.26,15.44,14.21,9.63,3.06,0.64,-3.15,97.04,34.12,29,97.4,90.69,139.17,95.08,53.41,104.27,110.91,86.44,45.2
USA,1375000,115000,2007,3.84,-2.76,9.77,12.24,22.98,25.41,25.65,26.71,24.15,19.62,8.6,3.69,-5.16,-11.92,-2.99,1.39,7.13,11.57,12.73,14.78,9.85,6.75,-1.63,-3.85,67.54,52.68,99.74,108.38,45.58,94.51,80.92,184.53,53.57,74.41,83.27,133.74001
USA,1375000,115000,2008,2.09,2.59,7.92,16.57,18.73,25.6,26.67,24.78,22.51,14.99,7,3.96,-6.83,-7.23,-3.65,3.68,4.81,12.64,14.01,11.72,9.98,2.34,-1.91,-5.84,56.85,91.8,99.56,98.55,170.03,119.44,112.79,62.28,86.76,35.54,53.64,169.17999
USA,1375000,115000,2009,-1.69,3.91,9.18,15.29,20.2,23.72,24.15,26.1,21.24,13.77,11.11,1.22,-10.36,-7.25,-2.76,1.74,7.56,11.61,12.31,14.32,10.12,3.17,1.51,-6.94,83.17,30.94,37.14,91.41,156.77,112.56,83.33,73.79,58.28,125.06,34.75,120.08
USA,1375000,115000,2010,-1.5,-1.59,9.96,18.63,21.42,26.11,28.49,26.7,24.16,16.4,9.45,-2.24,-7.88,-8.89,-1.9,3.11,8.4,13.67,15.03,14.22,9.22,3.99,-1.78,-8.4,83.68,94.43,84.41,50.6,137,81.65,108.51,56.52,72.72,98.33,83.54,80.1
USA,1375000,115000,2011,-1.87,4.26,8.18,15.69,21.45,25.04,29.09,26,21.29,14.3,12.31,5.74,-9.83,-6.89,-3.22,3.88,9.23,12.39,15.41,13.58,11.76,3.95,0.38,-3.53,42.39,86.4,131.07001,181.21001,157.27,78.75,77.52,101.14,213.85001,138.7,90.44,87.08
USA,1375000,115000,2012,3.56,5.57,15.23,15.23,23.45,24.8,28.52,26.03,22.08,15.66,7,5.52,-6.23,-4.15,1.18,1.46,10.23,10.93,16.1,13.32,9.19,4.1,-2.89,-2.72,85.97,45.82,102.82,46.92,137.02,73.31,130.53999,75.9,112.93,154.92,14.63,123.97
USA,1375000,115000,2013,2.68,1.1,3.88,16,20.46,24.45,26.68,24.24,21.92,16.1,7.05,3.82,-6.11,-7.49,-4.4,2.59,6.99,12.95,15.49,12.73,8.5,5.15,-3.08,-4.52,76.18,52.77,71.45,70.71,98.15,127.06,121.11,163.52,45.38,67.04,62.76,103.98
USA,1375000,115000,2014,-1.48,0.58,5.28,15.44,20.77,25.04,25.58,24.41,22.4,15.81,6.42,4.05,-12.61,-9.93,-7.25,1.5,7.49,12.79,13.51,12.26,9.63,5.5,-2.88,-2.99,38.75,91.97,57.88,77.59,135.57001,127.34,104.83,77.92,36.88,101.72,52.82,69.55
USA,1375000,115000,2015,-0.62,-2.39,6.95,15.81,23.42,24.11,26.38,25.77,24.01,15.49,12.92,9.93,-9.21,-13.92,-5.5,2.55,9.31,13.64,14.65,12.47,11.61,3.4,0.88,0.46,61.49,41.75,105.19,117.6,75.16,220.84,90.91,45.78,95.56,80.72,47.46,93.31
USA,1375000,115000,2016,0.14,3.39,12.3,15.59,18.83,25.26,27.75,28.05,25.01,17.61,11.5,3.44,-10.29,-6.28,-0.45,1.18,7.55,12.75,15.68,15.89,11.64,5.19,-0.63,-4.78,73.51,60.99,51.02,58,127.44,113.61,81.92,84.84,93.07,92.97,25.41,117.37
USA,1375000,115000,2017,3.69,8.72,7.55,18.43,19.34,24.84,26.73,24.6,22.52,18.96,8.87,2.17,-4.08,-2.64,-3.73,5.39,7.71,12.18,15.25,12.53,10.32,6.14,-1.48,-6.51,116.72,58.56,120.11,117.36,173.41,117.13,190.39999,85.1,46.13,139.82001,66.43,41.95
USA,1375000,115000,2018,-0.13,7.13,4.59,12.21,24.15,24.02,26.82,25.97,23.04,15.95,5.93,3.62,-10.45,-3.81,-5.34,0.13,11.09,12.9,14.35,15.56,14.33,5.94,-1.54,-4,57.5,162.73,76.8,126.09,157.62,188.78999,114.33,138.81,293.03,108.66,120.07,107.61
USA,1375000,115000,2019,0.81,4.82,7.01,16.23,22.11,23.98,27.82,26,25.04,17.74,7.5,4.6,-7.86,-5.33,-4.33,4.07,10.42,12.07,15.67,13.58,11.19,5.39,-3.1,-4.13,93.78,121.2,60.65,108.34,161.03,127.24,121.22,88.63,40.52,105.94,42.23,104.36
USA,1375000,140000,1997,0.24,4.47,7.62,11.4,16.23,22.46,24.98,22.8,19.68,14.83,4.79,2.12,-9.34,-5.46,-3.06,-0.35,3.85,11.12,13.31,12.23,8.54,2.82,-1.87,-4.87,57.05,51.41,124.64,37.14,136.8,95.12,62.12,126.58,96.01,39.07,219.62,66.77
USA,1375000,140000,1998,3.87,4.07,7.67,14.64,20.84,21.57,24.55,24.93,23.28,14.9,9.27,5.91,-3.22,-3.41,-1.7,2.5,9.82,12.28,13.7,13.67,10.74,4.31,-0.57,-3.3,105.25,104.43,87.31,143.78999,109.99,154.49001,88.04,78.08,48.28,57.06,16.58,40.42
USA,1375000,140000,1999,1.8,3.77,4.48,14.36,20.68,23.78,27.73,24.29,20.98,14.83,11.3,3.07,-7.83,-6.17,-6.16,2.21,6.8,11.77,15.71,12.59,9.49,2.27,1.16,-5.56,140.48,44.18,116.7,133.02,63.8,59.6,77.11,85.91,111.27,60.74,82.5,50.26
