SOURCE,X,Y,YEAR,maxtJan,maxtFeb,maxtMar,maxtApr,maxtMay,maxtJun,maxtJul,maxtAug,maxtSep,maxtOct,maxtNov,maxtDec,mintJan,mintFeb,mintMar,mintApr,mintMay,mintJun,mintJul,mintAug,mintSep,mintOct,mintNov,mintDec,pcpJan,pcpFeb,pcpMar,pcpApr,pcpMay,pcpJun,pcpJul,pcpAug,pcpSep,pcpOct,pcpNov,pcpDec
USA,-1950000,1200000,1997,5.01,6.91,6.56,10.2,16.06,15.65,19.17,21.64,18.43,11.53,9.11,5.97,0.14,0.16,-0.04,1.39,5.82,7.18,9.49,11.06,9.36,5.18,3.15,0.8,437.44,190.73,537.09998,214.27,155.63,160.72,79.23,78.33,262.98001,392.73001,276.39001,285.67001
USA,-1950000,1200000,1998,4.83,7.02,8.4,11.25,13.62,16.59,20.75,21.52,19.79,12.44,7.31,3.99,0.1,1.48,1.31,1.48,5.38,7.81,11.39,10.13,8.8,5.03,2.94,-0.62,485.84,317.10001,224.34,62.24,102.3,49.67,58.99,7.44,23.94,185.74001,651.34998,577.21002
USA,-1950000,1200000,1999,5.07,4.97,6.4,11.15,12.05,14.42,18.71,19.78,19.02,12.3,7.93,6.06,0.59,-0.34,-0.57,0.1,2.36,6.31,8.34,10.36,7.68,4.16,2.65,1.18,495.14001,666.40997,345.76999,85.57,112.42,93.04,43.39,60.97,23.07,248.03,491.01001,443.70001
USA,-1950000,1200000,2000,3.49,6.55,7.25,11.68,12.27,17.07,18.69,19.1,17.3,12.01,6.32,5.13,-1.47,-0.04,-0.02,2.37,3.95,7.1,9.24,9.05,8.19,4.6,0.42,-0.17,350.39001,185.22,194.00999,98.94,157.73,112.78,39.75,23.92,87.89,204.73,152.32001,203.99001
USA,-1950000,1200000,2001,6.01,5.98,7.99,9.53,14.2,14.8,18.26,19.54,17.49,11.09,7.8,4.44,0.56,-1.65,0.27,0.97,3.79,5.53,8.57,10.06,8.33,4.1,2.54,-0.51,214.82001,110.55,187.53999,184.09,97.11,96.15,31.03,145.61,53.11,223.73,462.28,479.56
USA,-1950000,1200000,2002,4.22,6,5.46,10.29,11.9,17.84,20.05,21,17.88,12.32,9.97,5.63,-0.1,-0.8,-1.47,1.42,2.98,7.27,9.25,9.41,7.57,4.31,3.66,0.95,463.64999,268.03,251.92999,171.25999,88.46,71.74,16.7,10.99,48.73,36.2,281.59,430.07999
USA,-1950000,1200000,2003,8.16,6.94,7.44,8.87,13.42,19.04,21.34,21.02,19.4,12.9,5.81,4.63,2.58,-0.32,1.13,1.58,3.67,7.96,9.93,9.65,8.82,6.35,-0.39,-0.15,426.60001,96.41,489.42999,194.5,64.84,28.78,20.73,6.54,57.97,516.19,385.39001,315
USA,-1950000,1200000,2004,5.03,7.07,9.27,13.79,13.98,18.63,21.5,21.16,15.86,12.21,7.86,5.83,0.23,0.72,1.49,2.52,5.22,7.96,10.58,11.64,7.32,5.23,2.09,1.06,320.64999,188.03,208.12,60.58,107.27,56.94,26.11,143.33,130.21001,230.49001,234.17999,309.56
USA,-1950000,1200000,2005,5.48,8.25,9.63,10.83,15.11,15.51,19.86,21.66,16.76,11.53,6.96,5.91,0.48,-0.81,1.8,2.56,6.46,7.12,9.39,10.36,6.74,5.26,1.27,0.73,335.10001,69.3,265.51999,207.19,167.06,80.36,66.18,31.03,75.55,257.45999,261.16,382.26999
USA,-1950000,1200000,2006,5.71,5.77,6.81,10.62,14.75,17.75,20.95,20.45,19.13,12.47,5.84,5.2,1.18,-1.6,-0.54,1.74,4.4,7.81,10.03,8.99,8.32,4.36,0.99,-0.09,696.26001,179.36,300.42001,128.69,93.23,69.09,21.3,11.32,68.05,79.69,777.19,382.23999
