YEAR,CA_1196036.1221_755940.451099999,CA_1221036.1221_755940.451099999,CA_1021036.1221_780940.451099999,CA_1171036.1221_780940.451099999,CA_1196036.1221_780940.451099999,CA_1221036.1221_780940.451099999,CA_1246036.1221_780940.451099999,CA_1096036.1221_805940.451099999,CA_1446036.1221_805940.451099999,CA_1021036.1221_830940.451099999,CA_1396036.1221_830940.451099999,CA_1146036.1221_855940.451099999,CA_1496036.1221_855940.451099999,CA_1071036.1221_930940.451099999,CA_171036.122099999_955940.451099999,CA_196036.122099999_955940.451099999,CA_146036.122099999_980940.451099999,CA_171036.122099999_980940.451099999,CA_196036.122099999_980940.451099999,CA_221036.122099999_980940.451099999,CA_246036.122099999_980940.451099999,CA_271036.122099999_980940.451099999,CA_96036.1220999993_1005940.4511,CA_121036.122099999_1005940.4511,CA_171036.122099999_1005940.4511,CA_196036.122099999_1005940.4511,CA_221036.122099999_1005940.4511,CA_246036.122099999_1005940.4511,CA_96036.1220999993_1030940.4511,CA_121036.122099999_1030940.4511,CA_146036.122099999_1030940.4511,CA_171036.122099999_1030940.4511,CA_196036.122099999_1030940.4511,CA_221036.122099999_1030940.4511,CA_246036.122099999_1030940.4511,CA_271036.122099999_1030940.4511,CA_121036.122099999_1055940.4511,CA_146036.122099999_1055940.4511,CA_171036.122099999_1055940.4511,CA_196036.122099999_1055940.4511,CA_221036.122099999_1055940.4511,CA_246036.122099999_1055940.4511,CA_71036.1220999993_1080940.4511,CA_96036.1220999993_1080940.4511,CA_121036.122099999_1080940.4511,CA_146036.122099999_1080940.4511,CA_171036.122099999_1080940.4511,CA_196036.122099999_1080940.4511,CA_221036.122099999_1080940.4511,CA_246036.122099999_1080940.4511,CA_271036.122099999_1080940.4511,CA_96036.1220999993_1105940.4511,CA_121036.122099999_1105940.4511,CA_146036.122099999_1105940.4511,CA_171036.122099999_1105940.4511,CA_196036.122099999_1105940.4511,CA_221036.122099999_1105940.4511,CA_246036.122099999_1105940.4511,CA_271036.122099999_1105940.4511,CA_171036.122099999_1130940.4511,CA_196036.122099999_1130940.4511,CA_221036.122099999_1130940.4511,CA_121036.122099999_1155940.4511,CA_146036.122099999_1155940.4511,CA_171036.122099999_1155940.4511,CA_196036.122099999_1155940.4511,CA_121036.122099999_1180940.4511,CA_146036.122099999_1180940.4511,CA_171036.122099999_1180940.4511,CA_196036.122099999_1180940.4511,CA_221036.122099999_1180940.4511,CA_246036.122099999_1180940.4511,CA_271036.122099999_1180940.4511,CA_296036.122099999_1180940.4511,CA_321036.122099999_1180940.4511,CA_121036.122099999_1205940.4511,CA_146036.122099999_1205940.4511,CA_171036.122099999_1205940.4511,CA_196036.122099999_1205940.4511,CA_221036.122099999_1205940.4511,CA_246036.122099999_1205940.4511,CA_271036.122099999_1205940.4511,CA_296036.122099999_1205940.4511,CA_321036.122099999_1205940.4511,CA_121036.122099999_1230940.4511,CA_146036.122099999_1230940.4511,CA_171036.122099999_1230940.4511,CA_196036.122099999_1230940.4511,CA_221036.122099999_1230940.4511,CA_246036.122099999_1230940.4511,CA_271036.122099999_1230940.4511,CA_296036.122099999_1230940.4511,CA_321036.122099999_1230940.4511,CA_71036.1220999993_1255940.4511,CA_96036.1220999993_1255940.4511,CA_121036.122099999_1255940.4511,CA_146036.122099999_1255940.4511,CA_171036.122099999_1255940.4511,CA_196036.122099999_1255940.4511,CA_221036.122099999_1255940.4511,CA_246036.122099999_1255940.4511,CA_271036.122099999_1255940.4511,CA_96036.1220999993_1280940.4511,CA_121036.122099999_1280940.4511,CA_146036.122099999_1280940.4511,CA_171036.122099999_1280940.4511,CA_196036.122099999_1280940.4511,CA_221036.122099999_1280940.4511,CA_246036.122099999_1280940.4511,CA_121036.122099999_1305940.4511,CA_146036.122099999_1305940.4511,CA_171036.122099999_1305940.4511,CA_196036.122099999_1305940.4511,CA_446036.122099999_1305940.4511,CA_146036.122099999_1330940.4511,CA_171036.122099999_1330940.4511,CA_396036.122099999_1330940.4511,CA_371036.122099999_1355940.4511,CA_396036.122099999_1355940.4511,CA_371036.122099999_1380940.4511
2000,2.73220813257677,2.7727613792116,1.73619335145883,2.66927803808801,2.80717870637723,2.88905749701543,2.88065461964456,2.23169078379591,2.47093978289068,1.92442698704128,2.82566648768341,2.46828295562765,2.70616732232791,2.42380502079471,0.760202812978694,0.854355799039916,0.918933685358352,0.894836758618639,0.951834517215185,1.01488543416978,1.05350992942135,1.13737952469808,1.07360276668295,1.07130589755982,1.08387380755729,1.13614152472896,1.20001704414961,1.27008615935618,1.12328308280332,1.1782693839346,1.20482095347401,1.24559726376576,1.30706365437418,1.40572386095664,1.48027591021297,1.49922694580616,1.2760462862659,1.32285659232431,1.36734683128184,1.46153833190634,1.57734898642206,1.6433345743712,1.21221824106856,1.29760882188141,1.37846876560466,1.39851160045978,1.42134983209057,1.5476327325135,1.71355638257644,1.77175562616542,1.66418290003879,1.39216028332413,1.44112186754353,1.49443305526978,1.50501354281112,1.59643951795279,1.69189775670354,1.68339685587106,1.58287038675458,1.56599106959393,1.59081335311803,1.62369038646899,1.65536953643807,1.65586423291206,1.62198327606573,1.57517366339954,1.78519060511118,1.79454171446285,1.7465589121096,1.65077351731399,1.65252523554646,1.64879661602819,1.63044502108853,1.61277393277406,1.62912153631629,1.90633377885621,1.97452497012702,1.9076525523246,1.82255590603551,1.75915463147199,1.72587652119828,1.71456966883101,1.70035938886199,1.70321519584449,1.99374970371601,2.05840970144535,2.01954653558626,1.92951838420535,1.85699940962754,1.82725965896128,1.79569788756097,1.77956179431496,1.77080647622817,1.90351516427262,1.97732209711866,2.04036853501908,2.07576634322807,2.05949122784973,2.00444764663411,1.95645139920583,1.90597597167124,1.87762043872251,2.0362310941326,2.07536537787882,2.09973628998158,2.09535432450485,2.0621575899754,2.02308033363398,1.99405401552613,2.12628941889752,2.13816841470424,2.13939198038072,2.11780206521052,2.02553373573783,2.19300905922044,2.19075072502459,2.057350196346,2.1257434753442,2.13529652961975,2.20926043762809
2001,-3.2403094096778,-3.3252598978743,-2.82300835671719,-3.26934357280204,-3.44305670294924,-3.57120887045161,-3.60429299473367,-3.1574514888279,-2.5843564931313,-3.08947213117837,-3.20883566099089,-3.17635056623577,-2.70786486166073,-3.31680828893767,-2.06709643293038,-2.20950164019676,-1.96121601308204,-2.06473423866183,-2.21613735340083,-2.38144953499637,-2.53905462236721,-2.64011040805346,-1.81928593171224,-1.91395558768697,-2.12610324210133,-2.26302509483308,-2.41237587683154,-2.52734003615204,-1.86095546174888,-1.98600549796819,-2.06581141305324,-2.18734536851108,-2.31757573617845,-2.4553829946463,-2.56523787211053,-2.60028211975302,-2.08452481476124,-2.16823902806613,-2.25895820413097,-2.39092432741897,-2.52410596128062,-2.60881245603284,-1.85834949365483,-2.04668624972846,-2.20679492524393,-2.26739181682775,-2.31502911783442,-2.4507225200982,-2.60775465636422,-2.69717234383237,-2.68252868245557,-2.12613030384842,-2.25929506451241,-2.37317539785138,-2.40802803693068,-2.51730610159222,-2.61601974489081,-2.65840385974604,-2.68014724174754,-2.4978993946708,-2.55070521265082,-2.60092462132248,-2.47363645190948,-2.5528572422212,-2.58082684481819,-2.58261971736464,-2.61003087645527,-2.70722820229084,-2.73093571129063,-2.68529432017681,-2.70903804386713,-2.73366373710635,-2.76247426889435,-2.81360413103458,-2.88774201164507,-2.72009502377402,-2.89525688139995,-2.89436746050536,-2.85201777047723,-2.81963763965713,-2.81714291611271,-2.85506029478558,-2.8935573427593,-2.94902081323731,-2.78800859868518,-2.94410548090281,-2.97884656059156,-2.92616050226181,-2.8983816253103,-2.90730441280007,-2.92025576552073,-2.95559623359463,-2.99823021217412,-2.48180579046087,-2.64554253467323,-2.79259882525527,-2.91699524180992,-2.96376448616091,-2.96512330682248,-2.96172168968814,-2.95327480051239,-2.97289535875552,-2.65410461665819,-2.77692252580507,-2.87259576608163,-2.93689247206973,-2.96546323032012,-2.97703597655515,-2.99627354202811,-2.76602829416922,-2.85094975906543,-2.91583661871041,-2.96055318016238,-3.24292511680516,-2.8428283003741,-2.9109686966391,-3.19696807459946,-3.16614391351688,-3.18752168401521,-3.16279054556585
2002,1.56796996508083,1.50894636802543,1.92564772157105,1.75823956626278,1.68676111379328,1.60801583482618,1.52446929246427,2.04778458226611,1.1449699958842,2.35687693833643,1.30740700595214,2.02852731645541,1.35706696291891,2.45301466629985,3.5304348397987,3.57246448417988,3.4398975869838,3.51522702107583,3.56979708426057,3.61275535790892,3.62701278497472,3.61163159294016,3.29083269970069,3.35304147019666,3.53393776459892,3.59226585860149,3.63559071316575,3.64009947731446,3.29308087483955,3.39446037408773,3.44907500396466,3.53765094046881,3.61284221400406,3.6671959122918,3.70030280926188,3.65787099003572,3.44149903654532,3.52035786255994,3.59752216427535,3.67060420512243,3.72860265249597,3.7439979211059,3.33601354952938,3.43632967555445,3.54078448721965,3.60411387889251,3.65439914099566,3.72549219588871,3.81662151169161,3.86866053582879,3.8356244574256,3.50533580803149,3.5880064465894,3.70094271834767,3.71087728216892,3.80101598330839,3.85934232195391,3.87510202364208,3.88139678532567,3.79130808076265,3.84355588295092,3.88138999602069,3.7446194128333,3.79768966009873,3.85046695814753,3.89532737065552,3.81133280033664,3.8848874485025,3.936672013448,3.97049178311941,4.00351662407256,4.02921365724024,4.05563642433043,4.11679083926873,4.19822080067119,3.86417520533107,3.9658927869718,4.0111942912292,4.06050140888346,4.07710252682093,4.09895297372343,4.15537853833945,4.20439178528942,4.26327785292923,3.91356421538761,4.00040407518461,4.07800034772709,4.09975026980111,4.13843086325894,4.18648238622427,4.2247173167947,4.27645295808252,4.32505128538467,3.76600192380147,3.86811940059578,3.96100959454703,4.0417194673195,4.10469313595826,4.15771627796796,4.20842165907003,4.23875652220972,4.28810295708018,3.9081415628017,3.98550891381415,4.05979736766118,4.13137858142318,4.19378535302156,4.24722450181157,4.30843878169703,4.02093735487615,4.08720191339798,4.16361119981455,4.23296865420275,4.72064369210638,4.13223749940915,4.21124572508516,4.73385327600646,4.70732060049105,4.74170447075646,4.72762663154242
2003,1.67548156731532,1.69076120256265,1.31928144126273,1.64099550303027,1.74219823313693,1.81593519719194,1.80793502596437,1.27326667878283,1.42213502554611,1.02565216890522,1.65022245300111,1.33342171634667,0.723091381893505,1.05730810135348,-0.940221481498582,-0.896197645654737,-1.10123657302099,-1.05105518928157,-0.972895617892069,-0.878597343755561,-0.745203552326698,-0.688978187617255,-1.22311551774776,-1.1938060835547,-1.15354522548186,-1.09614329942691,-1.01406451731151,-0.936951156813195,-1.24258337419517,-1.26254793570367,-1.25148716501735,-1.24166955458078,-1.20613629641178,-1.16011044736932,-1.11906574401121,-1.05109980644933,-1.30618666287202,-1.33916250238496,-1.3501287639785,-1.32451569281318,-1.28025498412382,-1.22594397990304,-1.40087971512261,-1.36854773107466,-1.37362098107764,-1.40225576336706,-1.44337895119313,-1.38879569765201,-1.36742444965341,-1.32925330538201,-1.23160509147955,-1.44127674977208,-1.4136435039218,-1.43593381404494,-1.41066961351205,-1.4035423655157,-1.38172797790819,-1.3246483901351,-1.21824526705062,-1.3820925843666,-1.36631446307436,-1.35063793824288,-1.46280251436123,-1.39266197610891,-1.35132992374138,-1.31106859327394,-1.45636996863802,-1.39416303129584,-1.33495284281628,-1.3010480889324,-1.32093281559438,-1.33358097462513,-1.32414603717848,-1.31245124222655,-1.31442990176914,-1.4688623122527,-1.39194665387584,-1.3474509512583,-1.35696587363909,-1.35523015992742,-1.36448123439295,-1.37362661611301,-1.36778401528351,-1.3650281737864,-1.49729335505499,-1.43027284206588,-1.40887126465676,-1.39768805918306,-1.40289881276832,-1.41782863581929,-1.41776595002174,-1.42056862728592,-1.41314383602579,-1.66646186965674,-1.61670519422562,-1.57019111047802,-1.51106701994289,-1.48273051445634,-1.46921752996553,-1.47580940110644,-1.47030535955531,-1.47394692104951,-1.68518052727882,-1.6335581901441,-1.58904882230977,-1.56118729689753,-1.54754595920065,-1.54285054993179,-1.54341895087056,-1.71084501134985,-1.66905720740782,-1.64539163051341,-1.62800773914649,-1.45579836227963,-1.75880091183283,-1.73136898699687,-1.59247091502059,-1.64785719967459,-1.62154780485257,-1.689891969363
2004,-0.0829066159941023,-0.0232634037890236,-0.210218893831906,-0.0246310689820808,-0.000259174764281056,0.0367333852332958,0.130623459773911,-0.0434555867590083,0.455214402811501,0.0742884160912549,0.531302217170776,0.201809392698603,1.27536223556325,0.658783608866388,1.36506252924931,1.32170977344131,1.5199739165041,1.4407710195003,1.37304927921439,1.3412840815353,1.26184056319639,1.26756373035169,1.68939112767218,1.6578092472755,1.56560953020983,1.51326035763537,1.46525487776441,1.4425451448068,1.79473443829453,1.77632388856597,1.73568029687967,1.6743462583777,1.62312636359587,1.60719905298978,1.63358996909395,1.62528146965406,1.84252704208758,1.81037633378196,1.75865821488372,1.7226591612157,1.71780277678994,1.72315978819482,2.04278844865524,1.96303373193917,1.90212287490239,1.84943623374751,1.7839388619005,1.77708400871864,1.79595727235507,1.80206426566487,1.73251905474053,2.01957797020965,1.94690136929177,1.91139758139015,1.84664687588545,1.84771468473234,1.8406766836383,1.79548504250599,1.68433954835736,1.90863696546043,1.89038104914306,1.87333363809248,2.03335670603589,1.97108730500156,1.94534838311824,1.93690757641762,2.04871572370201,1.99066015312001,1.96492736914984,1.97439546431763,1.9566752049579,1.92035346653826,1.86939204553092,1.80842296976671,1.76636883786724,2.07304013470111,1.9885736191144,1.9727086714737,2.01012791617618,2.00377564692552,1.9872567513371,1.96214566844206,1.91802916047986,1.88355035346465,2.1316152613316,2.0532163876643,2.05029325336854,2.06269431268715,2.07102356968173,2.07216849946044,2.04617611417697,2.01907509947299,1.98740413926458,2.35173959997,2.29424813012441,2.24284620658326,2.18422492988145,2.16775944464261,2.16418206062458,2.17666992417807,2.16174600565813,2.14624799595266,2.4120150724113,2.35743702572025,2.3171337281691,2.29425287084813,2.28976661328378,2.28395771478364,2.28170630739821,2.49459499498073,2.45602173032304,2.43622313802619,2.418399281745,2.13793906113284,2.60679296626865,2.58022470294821,2.36014143340589,2.51356440024611,2.47867209928644,2.64306332089449
2005,-2.30002412790103,-2.30768790744118,-2.02851811097331,-2.43700053748499,-2.46961513548502,-2.4781362719732,-2.50044592813357,-2.18472485208461,-2.59474831818214,-2.30350177480867,-2.8354044988786,-2.85235895444884,-2.81126160734174,-3.15301169330432,-3.23971095927234,-3.19385594555613,-3.17021120760016,-3.15475983149323,-3.15395220379959,-3.19761221435153,-3.2213798636246,-3.2149983658854,-3.01310590686041,-3.06070717237189,-3.13373441284736,-3.15787967853375,-3.18513689323692,-3.19861580240697,-3.03843952501132,-3.06353265897577,-3.0689339358297,-3.10419694191491,-3.13857541373406,-3.17319541221589,-3.2137536305287,-3.19215226797529,-3.07926219399209,-3.0958535669311,-3.13231549876464,-3.15994609855435,-3.18362560607074,-3.20453117370955,-3.1218013424501,-3.11236698089526,-3.11840813371259,-3.14241117809368,-3.16703176463954,-3.18110490811854,-3.22043540290844,-3.27167664120886,-3.27600045694164,-3.12423102059859,-3.13724069994805,-3.19011983474197,-3.18806165692004,-3.23730782055869,-3.27682338316278,-3.32684422716768,-3.36293211189742,-3.22766243519932,-3.26649383315616,-3.32657394979667,-3.20104054124213,-3.22442825113435,-3.25266376524929,-3.29632196837251,-3.2387197829209,-3.27013049149429,-3.30341630430233,-3.34283094533496,-3.40448773722259,-3.4566324721564,-3.48912229501758,-3.48392918511803,-3.45139492426635,-3.28387706385841,-3.31988302506024,-3.35494052681744,-3.41473945093223,-3.45592403116874,-3.50138395376197,-3.54016058276204,-3.54346479462045,-3.53238264874287,-3.34576371894236,-3.3765429153036,-3.43273844337424,-3.4731408399465,-3.52238526428893,-3.57453912406299,-3.59650611128321,-3.61082219593384,-3.61237259302441,-3.3338630974062,-3.37870127435269,-3.42523526513211,-3.46554250959953,-3.51055002625912,-3.55913464490197,-3.60861216231024,-3.63801707805071,-3.6695120168523,-3.46820347781954,-3.50153165215177,-3.54724339004871,-3.59143021245399,-3.64104740744324,-3.68124831898191,-3.72944643192919,-3.59756447979145,-3.6348710147311,-3.68109799349684,-3.72631070752037,-3.95864248072654,-3.73987182975846,-3.78319439231952,-4.07984746591836,-4.14751561548835,-4.16713433465028,-4.23792367592727
2006,-1.40725495404688,-1.41592357213316,-1.5627073126941,-1.43471830740227,-1.45511579808948,-1.49743973157513,-1.53402777427474,-1.66131543873828,-0.983692949643117,-1.50677375651779,-1.08721789089955,-1.3467172456321,-1.0230125266105,-1.20518788767426,-1.50632642458943,-1.42290463597343,-1.72897105741666,-1.64630100973013,-1.56770572958783,-1.50813897018105,-1.46557177950857,-1.48327304429343,-1.90897180444677,-1.90343940928536,-1.77534032837289,-1.70871080748289,-1.64415940499179,-1.62635229578585,-1.92721726571751,-1.96733619293711,-1.99860695784635,-1.93224008473983,-1.8529116754794,-1.79394574477515,-1.73726175885942,-1.75496785796342,-2.02810625017811,-2.05545456709183,-2.00313308621098,-1.94629020585575,-1.89694900526442,-1.86639844987611,-1.95107008945316,-2.00463551676564,-2.05565912646107,-2.05632765636727,-2.04159430979544,-2.00112963260652,-1.94590988460353,-1.86294245162197,-1.81561571376058,-2.05735562324647,-2.07663613640095,-2.03563969839048,-2.05792758860879,-1.99243451524044,-1.93093419526967,-1.85070349005093,-1.76130174862995,-2.04221915062415,-1.9869461470083,-1.90856734576516,-2.06210332410575,-2.05842572263391,-2.03105352383253,-1.9846709472865,-2.03619299699733,-2.01300504843588,-1.98774193751388,-1.93850570409132,-1.84457021094756,-1.74201123718456,-1.64463678722774,-1.55118011935232,-1.45247468063556,-1.99408244206574,-1.97207252074982,-1.93751329408088,-1.85632738528558,-1.78924490657209,-1.70029443708625,-1.59228191018272,-1.49717937870942,-1.40405073073031,-1.92795576354688,-1.91911996864125,-1.86170604880088,-1.81164872398014,-1.73291555607688,-1.63500798743406,-1.54975635163032,-1.45343149249178,-1.35865583722544,-1.88094047621402,-1.86215287378806,-1.84150345721932,-1.82319422908667,-1.79254298667375,-1.73247317145674,-1.66071302986892,-1.59566419557725,-1.50758115245608,-1.77008422692657,-1.77901677191816,-1.76192421982616,-1.72963544917558,-1.67897671569234,-1.6216462576301,-1.54131386564736,-1.69586477961309,-1.69904665610659,-1.67168679621007,-1.62393127064723,-1.10587837333418,-1.63510409170845,-1.60536905991913,-1.10218251125666,-1.19485242257695,-1.17746989213162,-1.24676580925564
2007,1.84858017912708,1.79549319244203,1.54960369070895,1.95149000914375,1.93456774525849,1.93607383703589,1.97598187109639,1.96786828949868,2.20942282107009,1.62028723199535,2.27611579777358,2.06233376774313,1.97884597810427,1.72873426607707,1.92926319450507,1.90858160208773,2.04261073765053,2.02271800395682,2.01504075147573,2.01273452004071,2.01033153571884,1.9935131748868,2.1145824190565,2.131931608633,2.1295159258207,2.13587328302101,2.12686329272751,2.1334113255285,2.11911312258962,2.17405211209317,2.24373094370337,2.27268774262233,2.27086782954651,2.25820294018359,2.21525990221173,2.22114458031896,2.23291323264912,2.34508434634973,2.4015254218659,2.40872707802905,2.36864470141041,2.33413218172559,2.16532782226664,2.22156199825119,2.30770963544927,2.43344263429887,2.56461103896064,2.52268225124072,2.46193175884721,2.36668795600229,2.30283000018898,2.34506437438812,2.43835526358654,2.51475211429483,2.61294086013247,2.58677654230167,2.51615222670593,2.41708373816874,2.31357720178892,2.68058587500412,2.66309514431584,2.58761141639386,2.65090362824571,2.7349405783298,2.77245907567328,2.77363430266316,2.75367408721674,2.81829657523377,2.86240744220502,2.84408767268819,2.75049040116743,2.63340357512805,2.52663554949549,2.43326035698259,2.34857149254477,2.82756873893858,2.9154657151277,2.92406932688451,2.86931188289233,2.79405075723984,2.70201576754464,2.60606459145055,2.51685612072005,2.44346327822686,2.86466579560123,2.94715107970077,2.94702999138352,2.90548642127415,2.83531641386661,2.75427702017644,2.67412943352896,2.59306256901251,2.52854932098354,2.75396134732646,2.81031318738821,2.86922361142449,2.9215556459791,2.93927744101493,2.90619450392938,2.85578943620514,2.79795058145551,2.72964558893551,2.82117552873893,2.88007610274377,2.92419735772327,2.9331861145565,2.92106132928864,2.88310499413395,2.83378568169062,2.87481006862402,2.92150244707312,2.93300103076695,2.92621909212518,2.59868146325554,2.92759550103342,2.93602011779899,2.71896258972009,2.79880416013089,2.78187449040928,2.85239598619683
2008,-0.040395218827908,-0.124900843752454,0.773552088866584,0.043473995638716,0.00814841237570008,-0.0526584637166661,-0.171170344822282,0.108187705392802,-0.126384491504562,0.627396039707055,-0.263821743418426,0.0949266025997311,-0.204362165198968,0.67588351017049,3.16604884744347,2.98822083942144,3.22342254661258,3.13490981012146,3.01038278520211,2.95578052745871,2.92712851498135,2.94626134969388,3.09306883528308,3.12275885428297,3.11025397114203,3.03553311064379,2.98355310983438,2.94526698708027,3.11984475822745,3.142172394621,3.1115967414318,3.05588705562548,3.01149921172726,2.98730236611171,2.98543456604762,2.93140829490487,3.14233650312267,3.06509470167571,2.99096357956611,2.96584645971641,2.9825496367562,2.98418749419169,3.26138353846507,3.19785107774381,3.13376392825895,3.01022939714867,2.86582901208451,2.90839318751017,2.97342725635493,3.02489352429377,3.00095457974151,3.15623397166711,3.05159247968808,2.96697323021647,2.86358697266419,2.88466889125977,2.93849747889876,2.9894447958963,3.0143097104821,2.82676505229641,2.82567417714827,2.86383662942519,2.87949047853678,2.77969954754719,2.73653403693297,2.72710400261609,2.74961913339251,2.66249733155083,2.60792255324089,2.60973137053998,2.62004872752394,2.64121470097618,2.6418302690773,2.61794329935526,2.55392900790449,2.62375985399266,2.50282293470741,2.47166774936102,2.47505429661289,2.48587248986185,2.4911749435248,2.47309277167028,2.44198453099693,2.38493395140596,2.51650446289493,2.3969957208388,2.34959543880464,2.34647023729835,2.34790111751441,2.33831571254354,2.31713197589208,2.28400992813909,2.23019877728137,2.63672026281905,2.52237786947138,2.41644029489703,2.32530088732382,2.26478842314353,2.24453814134525,2.21878508213287,2.20354402345185,2.17560051626611,2.39962101116219,2.30982579064037,2.21615618892181,2.16928032681674,2.12160118839561,2.09567478588747,2.06634354228831,2.18887593935671,2.11239484186484,2.05607280539123,2.01240032135745,1.53106725517449,1.98626017901237,1.94085130500152,1.49807508009835,1.4695686200579,1.42026470715163,1.38083205661952
2009,1.85886329941009,1.93902136704651,1.80651036220509,1.71461194206273,1.77359518660508,1.84551942584536,1.93821174559448,1.72166625454644,1.26205732075518,1.85307652380574,1.40886417354856,1.54965839718147,1.08598388448465,1.48884077342688,-0.491501979544729,-0.437353630284607,-0.544311819728662,-0.526377276576166,-0.481555661127562,-0.484564632770572,-0.472440590966149,-0.431816567845576,-0.327872083740917,-0.392184019900076,-0.507045348770443,-0.494953531840488,-0.483217904912075,-0.451466386419898,-0.336347491345438,-0.392110301836495,-0.43915949365271,-0.459746897675572,-0.467867950883081,-0.469235710439528,-0.452855161184688,-0.395601597779664,-0.360803761682139,-0.394344633328493,-0.41672062976357,-0.438373857593806,-0.460326049557023,-0.442082719331215,-0.39254701494778,-0.356766231453108,-0.348417551380744,-0.358728513930321,-0.352951298271188,-0.41266515481368,-0.459784159257772,-0.463814292343882,-0.395918396011306,-0.369933907509296,-0.347950861802211,-0.364735485812082,-0.365156783784409,-0.41189675228521,-0.450550000411564,-0.450360926813161,-0.391921516410839,-0.379182652487935,-0.412771730111323,-0.433898730114167,-0.352738352561485,-0.34756471350502,-0.371560098485252,-0.39942101466236,-0.326763276546462,-0.322243062720794,-0.340583821978262,-0.364935944569714,-0.347751185585647,-0.317664962723251,-0.263451907533312,-0.186018879551357,-0.0857294468287786,-0.293861167346041,-0.274272288928693,-0.284995435932319,-0.294043127952607,-0.279533293656179,-0.247212365314269,-0.185256959852484,-0.107951351186713,-0.0187768889442621,-0.272148872813856,-0.240294906492645,-0.230852549028506,-0.227230809089208,-0.208402999188833,-0.171597085621713,-0.117189657934955,-0.0437269183589413,0.0342336735759261,-0.325981704314023,-0.287881171611794,-0.252410410860995,-0.223166201395902,-0.19764970843026,-0.180059946529951,-0.14842364033411,-0.109447966446856,-0.0542121269456661,-0.271445392383449,-0.227440596240252,-0.186137867544543,-0.162002466698099,-0.127246873868476,-0.0911517197856799,-0.0507030879552843,-0.198732354322024,-0.154149775951181,-0.121318240276375,-0.0845610101826964,0.499982076480583,-0.115245083262974,-0.0803055711275906,0.411789433954993,0.363500230972505,0.416764580289958,0.382961184333213
